Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
AAPL,"Apple Inc",183.83,"Apple Inc",NASDAQ,"Computer - Mini","Computers and Technology",N/A,N/A,N/A,N/A
AXP,"American Express Company",98.35,"American Express Company",NYSE,"Finance - Misc Services",Finance,N/A,N/A,N/A,N/A
BA,"Boeing Company",334.43,"Boeing Company",NYSE,"Aerospace - Defense",Aerospace,N/A,N/A,N/A,N/A
CAT,"Caterpillar Inc",146.37,"Caterpillar Inc",NYSE,"Machinery - Construct & Mining","Industrial Products",N/A,N/A,N/A,N/A
CSCO,"Cisco Systems Inc",45.3,"Cisco Systems Inc",NASDAQ,"Computer - Networks","Computers and Technology",N/A,N/A,N/A,N/A
CVX,"Chevron Corp",125.53,"Chevron Corp",NYSE,"Oil - International Integrated",Oils-Energy,N/A,N/A,N/A,N/A
DIS,"Walt Disney Company",101.15,"Walt Disney Company",NYSE,"Media Conglomerates","Consumer Discretionary",N/A,N/A,N/A,N/A
DWDP,"Dowdupont Inc",64.47,"Dowdupont Inc",NYSE,"Chemical - Diversified","Basic Materials",N/A,N/A,N/A,N/A
GE,"General Electric Company",14.1,"General Electric Company",NYSE,"Conglomerates - Div Operations",Conglomerates,N/A,N/A,N/A,N/A
GS,"Goldman Sachs Group",234.94,"Goldman Sachs Group",NYSE,"Finance - Investment Brokers",Finance,N/A,N/A,N/A,N/A
HD,"Home Depot",185.03,"Home Depot",NYSE,"Building Prds Retail - Wsale",Retail-Wholesale,N/A,N/A,N/A,N/A
IBM,"International Business Machines",143.91,"International Business Machines",NYSE,"Computer - Integrated Systems","Computers and Technology",N/A,N/A,N/A,N/A
INTC,"Intel Corp",52.78,"Intel Corp",NASDAQ,"Semi General","Computers and Technology",N/A,N/A,N/A,N/A
JNJ,"Johnson & Johnson",124.19,"Johnson & Johnson",NYSE,"Large Cap Pharma",Medical,N/A,N/A,N/A,N/A
JPM,"JP Morgan Chase & Co",108.43,"JP Morgan Chase & Co",NYSE,"Banks - Major Regional",Finance,N/A,N/A,N/A,N/A
KO,"Coca-Cola Company",42.36,"Coca-Cola Company",NYSE,"Beverages - Soft","Consumer Staples",N/A,N/A,N/A,N/A
MCD,"McDonald's Corp",165.03,"McDonald's Corp",NYSE,"Retail - Restaurants",Retail-Wholesale,N/A,N/A,N/A,N/A
MMM,"3M Company",199.36,"3M Company",NYSE,"Conglomerates - Div Operations",Conglomerates,N/A,N/A,N/A,N/A
MRK,"Merck & Company",57.75,"Merck & Company",NYSE,"Large Cap Pharma",Medical,N/A,N/A,N/A,N/A
MSFT,"Microsoft Corp",95.16,"Microsoft Corp",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
NKE,"Nike Inc",68.1,"Nike Inc",NYSE,"Shoes and Related Apparel","Consumer Staples",N/A,N/A,N/A,N/A
PFE,"Pfizer Inc",34.84,"Pfizer Inc",NYSE,"Large Cap Pharma",Medical,N/A,N/A,N/A,N/A
PG,"Procter & Gamble Company",72.43,"Procter & Gamble Company",NYSE,"Soap and Cleaning Products","Consumer Staples",N/A,N/A,N/A,N/A
TRV,"The Travelers Companies Inc",129.71,"The Travelers Companies Inc",NYSE,"Insurance - Proprty & Casualty",Finance,N/A,N/A,N/A,N/A
UNH,"Unitedhealth Group Inc",235.9,"Unitedhealth Group Inc",NYSE,"Medical - HMO",Medical,N/A,N/A,N/A,N/A
UTX,"United Technologies Corp",119.51,"United Technologies Corp",NYSE,"Conglomerates - Div Operations",Conglomerates,N/A,N/A,N/A,N/A
V,"Visa Inc",128.16,"Visa Inc",NYSE,"Financial Transaction Services","Business Services",N/A,N/A,N/A,N/A
VZ,"Verizon Communications Inc",48.19,"Verizon Communications Inc",NYSE,"Wireless National",Utilities,N/A,N/A,N/A,N/A
WMT,"Wal-Mart Stores",87.53,"Wal-Mart Stores",NYSE,"Retail - Supermarket",Retail-Wholesale,N/A,N/A,N/A,N/A
XOM,"Exxon Mobil Corp",76.9,"Exxon Mobil Corp",NYSE,"Oil - International Integrated",Oils-Energy,N/A,N/A,N/A,N/A
"Downloaded from Barchart.com as of 05-06-2018 12:51pm CDT"
