Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
AAC,"Aac Holdings Inc",11.51,"Aac Holdings Inc",NYSE,"Medical - Outpatient & Hm Care",Medical,N/A,N/A,N/A,N/A
AAN,"Aaron's Inc",41.57,"Aaron's Inc",NYSE,"Retail - Consumer Electronics",Retail-Wholesale,N/A,N/A,N/A,N/A
AAOI,"Applied Optoelect",31.84,"Applied Optoelect",NASDAQ,"Electronics - Semiconductors","Computers and Technology",N/A,N/A,N/A,N/A
AAON,"Aaon Inc",29.65,"Aaon Inc",NASDAQ,"Building Prdcts - Air Heating",Construction,N/A,N/A,N/A,N/A
AAT,"American Assets Trust",34.16,"American Assets Trust",NYSE,"REIT - Equity Trust Retail",Finance,N/A,N/A,N/A,N/A
AAWW,"Atlas Air Ww",67.15,"Atlas Air Ww",NASDAQ,"Transportation - Air Freight",Transportation,N/A,N/A,N/A,N/A
AAXN,"Axon Inc",44.55,"Axon Inc",NASDAQ,"Protection - Safety","Industrial Products",N/A,N/A,N/A,N/A
ABAX,"Abaxis Inc",68.99,"Abaxis Inc",NASDAQ,"Medical Products",Medical,N/A,N/A,N/A,N/A
ABCB,"Ameris Bancorp",53.2,"Ameris Bancorp",NASDAQ,"Banks - Southeast",Finance,N/A,N/A,N/A,N/A
ABCD,"Cambium Learning Grp",10.4,"Cambium Learning Grp",NASDAQ,Schools,"Consumer Discretionary",N/A,N/A,N/A,N/A
ABEO,"Abeona Therapeutics",18.4,"Abeona Therapeutics",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ABG,"Asbury Automotive Group Inc",70.55,"Asbury Automotive Group Inc",NYSE,"Retail - Wsale Auto & Trucks",Retail-Wholesale,N/A,N/A,N/A,N/A
ABM,"ABM Industries Incorporated",30.32,"ABM Industries Incorporated",NYSE,"Building - Maint & Service",Construction,N/A,N/A,N/A,N/A
ABTX,"Allegiance Banc CS",41.4,"Allegiance Banc CS",NASDAQ,"Banks - Southeast",Finance,N/A,N/A,N/A,N/A
AC,"Associated Capital Group Inc",37.5,"Associated Capital Group Inc",NYSE,"Finance - Investment Mgmt",Finance,N/A,N/A,N/A,N/A
ACBI,"Atlantic Capital",19.6,"Atlantic Capital",NASDAQ,"Banks - Northeast",Finance,N/A,N/A,N/A,N/A
ACCO,"Acco Brands Corp",11.8,"Acco Brands Corp",NYSE,"Office Supply & Forms","Industrial Products",N/A,N/A,N/A,N/A
ACET,"Aceto Cp",2.61,"Aceto Cp",NASDAQ,"Medical - Dental Suppliers",Medical,N/A,N/A,N/A,N/A
ACHN,"Achillion Pharmaceut",3.69,"Achillion Pharmaceut",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ACIA,"Acacia Communica",29.3,"Acacia Communica",NASDAQ,"Communications Components","Computers and Technology",N/A,N/A,N/A,N/A
ACIW,"Aci Worldwide Inc",23.23,"Aci Worldwide Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
ACLS,"Axcelis Tech Inc",22.15,"Axcelis Tech Inc",NASDAQ,"Electrical - Manufacturing","Computers and Technology",N/A,N/A,N/A,N/A
ACNB,"Acnb Corp",30.95,"Acnb Corp",NASDAQ,"Banks - Southwest",Finance,N/A,N/A,N/A,N/A
ACOR,"Acorda Therapeutics",23.5,"Acorda Therapeutics",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
ACRE,"Ares Commercial Real Estate Cor",13.42,"Ares Commercial Real Estate Cor",NYSE,"REIT - Mortgage Trusts",Finance,N/A,N/A,N/A,N/A
ACRS,"Aclaris Therapts",18,"Aclaris Therapts",NASDAQ,"Medical - Drugs",Medical,N/A,N/A,N/A,N/A
ACTG,"Acacia Res-Acacia",3.7,"Acacia Res-Acacia",NASDAQ,"Business Services","Business Services",N/A,N/A,N/A,N/A
ACXM,"Acxiom Cp",26.24,"Acxiom Cp",NASDAQ,"IT Services","Computers and Technology",N/A,N/A,N/A,N/A
ADC,"Agree Realty Corp",49.72,"Agree Realty Corp",NYSE,"REIT - Equity Trust Retail",Finance,N/A,N/A,N/A,N/A
