Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
A,"Agilent Technologies",67,"Agilent Technologies",NYSE,"Electronic Test Equipment","Computers and Technology",N/A,N/A,N/A,N/A
AAL,"American Airlines Gp",42.86,"American Airlines Gp",NASDAQ,"Transportation - Airline",Transportation,N/A,N/A,N/A,N/A
AAP,"Advance Auto Parts Inc",116.67,"Advance Auto Parts Inc",NYSE,"Retail - Wholesale Auto Parts",Retail-Wholesale,N/A,N/A,N/A,N/A
AAPL,"Apple Inc",183.83,"Apple Inc",NASDAQ,"Computer - Mini","Computers and Technology",N/A,N/A,N/A,N/A
ABBV,"Abbvie Inc",100.17,"Abbvie Inc",NYSE,"Large Cap Pharma",Medical,N/A,N/A,N/A,N/A
ABC,"Amerisourcebergen Corp",86.37,"Amerisourcebergen Corp",NYSE,"Medical - Dental Suppliers",Medical,N/A,N/A,N/A,N/A
ABT,"Abbott Laboratories",58.74,"Abbott Laboratories",NYSE,"Medical Products",Medical,N/A,N/A,N/A,N/A
ACN,"Accenture Plc",153.44,"Accenture Plc",NYSE,Consulting,"Business Services",N/A,N/A,N/A,N/A
ADBE,"Adobe Systems Inc",228.51,"Adobe Systems Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
ADI,"Analog Devices",90.27,"Analog Devices",NASDAQ,"Semi Analog & Mixed","Computers and Technology",N/A,N/A,N/A,N/A
ADM,"Archer Daniels Midland Company",43.86,"Archer Daniels Midland Company",NYSE,"Agriculture Operations","Consumer Staples",N/A,N/A,N/A,N/A
ADP,"Automatic Data Procs",125.36,"Automatic Data Procs",NASDAQ,Outsourcing,"Business Services",N/A,N/A,N/A,N/A
ADS,"Alliance Data Systems Corp",197.02,"Alliance Data Systems Corp",NYSE,"Financial Transaction Services","Business Services",N/A,N/A,N/A,N/A
ADSK,"Autodesk Inc",129.46,"Autodesk Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
AEE,"Ameren Corp",58.9,"Ameren Corp",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
AEP,"American Electric Power Company",69.39,"American Electric Power Company",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
AES,"The Aes Corp",12.33,"The Aes Corp",NYSE,"Utility - Electric Power",Utilities,N/A,N/A,N/A,N/A
AET,"Aetna Inc",172.26,"Aetna Inc",NYSE,"Medical - HMO",Medical,N/A,N/A,N/A,N/A
AFL,"Aflac Incorporated",44.81,"Aflac Incorporated",NYSE,"Insurance - Accident & Health",Finance,N/A,N/A,N/A,N/A
AGN,"Allergan Plc",149.3,"Allergan Plc",NYSE,"Medical - Generic Drugs",Medical,N/A,N/A,N/A,N/A
AIG,"American International Group",52.84,"American International Group",NYSE,"Insurance - Multi Line",Finance,N/A,N/A,N/A,N/A
AIV,"Apartment Investment and Management",41.06,"Apartment Investment and Management",NYSE,"REIT - Equity Trust Resident",Finance,N/A,N/A,N/A,N/A
AIZ,"Assurant Inc",87.93,"Assurant Inc",NYSE,"Insurance - Multi Line",Finance,N/A,N/A,N/A,N/A
AJG,"Arthur J. Gallagher & Co",68.94,"Arthur J. Gallagher & Co",NYSE,"Insurance - Brokers",Finance,N/A,N/A,N/A,N/A
AKAM,"Akamai Technologies",72.01,"Akamai Technologies",NASDAQ,"Internet - Services","Computers and Technology",N/A,N/A,N/A,N/A
ALB,"Albemarle Corp",100.06,"Albemarle Corp",NYSE,"Chemical - Diversified","Basic Materials",N/A,N/A,N/A,N/A
ALGN,"Align Technology I",258.97,"Align Technology I",NASDAQ,"Medical - Dental Suppliers",Medical,N/A,N/A,N/A,N/A
ALK,"Alaska Air Group",62.8,"Alaska Air Group",NYSE,"Transportation - Airline",Transportation,N/A,N/A,N/A,N/A
ALL,"Allstate Corp",94.52,"Allstate Corp",NYSE,"Insurance - Proprty & Casualty",Finance,N/A,N/A,N/A,N/A
ALLE,"Allegion Plc Ordinary Shares Wh",76.15,"Allegion Plc Ordinary Shares Wh",NYSE,"Protection - Safety","Industrial Products",N/A,N/A,N/A,N/A
ALXN,"Alexion Pharm Inc",116.81,"Alexion Pharm Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
AMAT,"Applied Materials",52.56,"Applied Materials",NASDAQ,"Semi-Eqpt Wafer Fabrication","Computers and Technology",N/A,N/A,N/A,N/A
AMD,"Adv Micro Devices",11.28,"Adv Micro Devices",NASDAQ,"Electronics - Semiconductors","Computers and Technology",N/A,N/A,N/A,N/A
AME,"Amtek Inc",71.5,"Amtek Inc",NYSE,"Electronic Test Equipment","Computers and Technology",N/A,N/A,N/A,N/A
AMG,"Affiliated Managers Group",161.72,"Affiliated Managers Group",NYSE,"Finance - Investment Mgmt",Finance,N/A,N/A,N/A,N/A
AMGN,Amgen,167.98,Amgen,NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
AMP,"Ameriprise Financial Services",134.57,"Ameriprise Financial Services",NYSE,"Finance - Investment Mgmt",Finance,N/A,N/A,N/A,N/A
AMT,"American Tower Corp",138.85,"American Tower Corp",NYSE,"REIT - Equity Trust Other",Finance,N/A,N/A,N/A,N/A
AMZN,"Amazon.Com Inc",1580.95,"Amazon.Com Inc",NASDAQ,"Internet Commerce",Retail-Wholesale,N/A,N/A,N/A,N/A
ANDV,Andeavor,139.76,Andeavor,NYSE,"Oil - Refining and Marketing",Oils-Energy,N/A,N/A,N/A,N/A
ANSS,"Ansys Inc",164.15,"Ansys Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
ANTM,"Anthem Inc",233.18,"Anthem Inc",NYSE,"Medical - HMO",Medical,N/A,N/A,N/A,N/A
AON,"AON Plc",139.49,"AON Plc",NYSE,"Insurance - Brokers",Finance,N/A,N/A,N/A,N/A
AOS,"Smith [A.O.] Corp",62.45,"Smith [A.O.] Corp",NYSE,"Machinery - Electrical","Industrial Products",N/A,N/A,N/A,N/A
APA,"Apache Corp",39.49,"Apache Corp",NYSE,"Oil - US Exploration & Product",Oils-Energy,N/A,N/A,N/A,N/A
APC,"Anadarko Petroleum Corp",66.58,"Anadarko Petroleum Corp",NYSE,"Oil - US Exploration & Product",Oils-Energy,N/A,N/A,N/A,N/A
APD,"Air Products and Chemicals",162.76,"Air Products and Chemicals",NYSE,"Chemical - Diversified","Basic Materials",N/A,N/A,N/A,N/A
APH,"Amphenol Corp",85.35,"Amphenol Corp",NYSE,"Electronics - Connectors","Computers and Technology",N/A,N/A,N/A,N/A
APTV,"Aptiv Plc",92.59,"Aptiv Plc",NYSE,"Technology Services","Business Services",N/A,N/A,N/A,N/A
ARE,"Alexandria Real Estate Equities",128.55,"Alexandria Real Estate Equities",NYSE,"REIT - Equity Trust Other",Finance,N/A,N/A,N/A,N/A
ARNC,"Arconic Inc",17.22,"Arconic Inc",NYSE,"Mining - Non Ferrous","Basic Materials",N/A,N/A,N/A,N/A
ATVI,"Activision Blizzard",69.84,"Activision Blizzard",NASDAQ,"Toys & Game & Hobby","Consumer Discretionary",N/A,N/A,N/A,N/A
AVB,"Avalonbay Communities",164.35,"Avalonbay Communities",NYSE,"REIT - Equity Trust Resident",Finance,N/A,N/A,N/A,N/A
AVGO,"Broadcom Ltd",230.52,"Broadcom Ltd",NASDAQ,"Electronics - Semiconductors","Computers and Technology",N/A,N/A,N/A,N/A
AVY,"Avery Dennison Corp",105.73,"Avery Dennison Corp",NYSE,"Office Supply & Forms","Industrial Products",N/A,N/A,N/A,N/A
AWK,"American Water Works",85.72,"American Water Works",NYSE,"Utility - Water Supply",Utilities,N/A,N/A,N/A,N/A
AXP,"American Express Company",98.35,"American Express Company",NYSE,"Finance - Misc Services",Finance,N/A,N/A,N/A,N/A
AYI,"Acuity Brands Inc",112.12,"Acuity Brands Inc",NYSE,"Building Products - Ltg FX",Construction,N/A,N/A,N/A,N/A
AZO,Autozone,649.94,Autozone,NYSE,"Retail - Wholesale Auto Parts",Retail-Wholesale,N/A,N/A,N/A,N/A
BA,"Boeing Company",334.43,"Boeing Company",NYSE,"Aerospace - Defense",Aerospace,N/A,N/A,N/A,N/A
BAC,"Bank of America Corp",29.3,"Bank of America Corp",NYSE,"Banks - Major Regional",Finance,N/A,N/A,N/A,N/A
BAX,"Baxter International Inc",70.38,"Baxter International Inc",NYSE,"Medical Products",Medical,N/A,N/A,N/A,N/A
BBT,"BB&T Corp",53.11,"BB&T Corp",NYSE,"Banks - Major Regional",Finance,N/A,N/A,N/A,N/A
BBY,"Best Buy Co",76.22,"Best Buy Co",NYSE,"Retail - Consumer Electronics",Retail-Wholesale,N/A,N/A,N/A,N/A
BDX,"Becton Dickinson and Company",224.66,"Becton Dickinson and Company",NYSE,"Medical - Dental Suppliers",Medical,N/A,N/A,N/A,N/A
BEN,"Franklin Resources",32.86,"Franklin Resources",NYSE,"Finance - Investment Mgmt",Finance,N/A,N/A,N/A,N/A
BF.B,"Brown Forman Inc Cl B",55.86,"Brown Forman Inc Cl B",NYSE,"Beverages - Alcohol","Consumer Staples",N/A,N/A,N/A,N/A
BHF,"Brighthouse Financial Inc",49.73,"Brighthouse Financial Inc",NASDAQ,"Insurance - Life",Finance,N/A,N/A,N/A,N/A
