Symbol	Description
KE	Hard Red Wheat
KE.C	Hard Red Wheat Continuation
KEH19	Hard Red Wheat {Mar 19}
KEH20	Hard Red Wheat {Mar 20}
KEK18	Hard Red Wheat {May 18}
KEK19	Hard Red Wheat {May 19}
KEK20	Hard Red Wheat {May 20}
KEN18	Hard Red Wheat {Jul 18}
KEN19	Hard Red Wheat {Jul 19}
KEN20	Hard Red Wheat {Jul 20}
KEU18	Hard Red Wheat {Sep 18}
KEU19	Hard Red Wheat {Sep 19}
KEZ18	Hard Red Wheat {Dec 18}
KEZ19	Hard Red Wheat {Dec 19}
KW	Hard Red Wheat (Pit)
KW.C	Hard Red Wheat (Pit) Continuation
KWH19	Hard Red Wheat (Pit) {Mar 19}
KWH20	Hard Red Wheat (Pit) {Mar 20}
KWK18	Hard Red Wheat (Pit) {May 18}
KWK19	Hard Red Wheat (Pit) {May 19}
KWK20	Hard Red Wheat (Pit) {May 20}
KWN18	Hard Red Wheat (Pit) {Jul 18}
KWN19	Hard Red Wheat (Pit) {Jul 19}
KWN20	Hard Red Wheat (Pit) {Jul 20}
KWU18	Hard Red Wheat (Pit) {Sep 18}
KWU19	Hard Red Wheat (Pit) {Sep 19}
KWZ18	Hard Red Wheat (Pit) {Dec 18}
KWZ19	Hard Red Wheat (Pit) {Dec 19}
