Symbol	Description
AJK18	AJC {May 18}
AJN18	AJC {Jul 18}
DW	Durum Wheat
IC	NCI National Corn
IC.C	NCI National Corn Continuation
ICJ18	NCI National Corn {Apr 18}
ICK18	NCI National Corn {May 18}
ICM18	NCI National Corn {Jun 18}
IH	HRWI Hard Red
IH.C	HRWI Hard Red Continuation
IHJ18	HRWI Hard Red {Apr 18}
IHK18	HRWI Hard Red {May 18}
IHM18	HRWI Hard Red {Jun 18}
IP	HRSI Hard Red Spring
IP.C	HRSI Hard Red Spring Continuation
IPJ18	HRSI Hard Red Spring {Apr 18}
IPK18	HRSI Hard Red Spring {May 18}
IPM18	HRSI Hard Red Spring {Jun 18}
IS	NSI National Soybean
IS.C	NSI National Soybean Continuation
ISJ18	NSI National Soybean {Apr 18}
ISK18	NSI National Soybean {May 18}
ISM18	NSI National Soybean {Jun 18}
IW	SRWI Soft Red Wheat
IW.C	SRWI Soft Red Wheat Continuation
IWJ18	SRWI Soft Red Wheat {Apr 18}
IWK18	SRWI Soft Red Wheat {May 18}
IWM18	SRWI Soft Red Wheat {Jun 18}
MW	Spring Wheat
MW.C	Spring Wheat Continuation
MWH19	Spring Wheat {Mar 19}
MWK18	Spring Wheat {May 18}
MWK19	Spring Wheat {May 19}
MWN18	Spring Wheat {Jul 18}
MWN19	Spring Wheat {Jul 19}
MWU18	Spring Wheat {Sep 18}
MWU19	Spring Wheat {Sep 19}
MWZ18	Spring Wheat {Dec 18}
MWZ19	Spring Wheat {Dec 19}
NW	White Wheat
