IWM: iShares Russell 2000 ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	42410332
Shares Outstanding: 274350000
Expense Ratio: 0.2%
Tracks This Index: Russell 2000 Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWM


Holding,Symbol,Weighting
Nektar Therapeutics,NKTR,0.603%
bluebird bio Inc,BLUE,0.3975%
GrubHub Inc,GRUB,0.386%
Aspen Technology Inc,AZPN,0.2999%
SAGE Therapeutics Inc,SAGE,0.2904%
Encompass Health Corp,EHC,0.2874%
AveXis Inc,AVXS,0.2861%
Exact Sciences Corp,EXAS,0.2763%
MKS Instruments Inc,MKSI,0.2717%
Nutanix Inc,NTNX,0.2691%
EPAM Systems Inc,EPAM,0.2684%
Curtiss-Wright Corp,CW,0.262%
Catalent Inc,CTLT,0.2576%
Littelfuse Inc,LFUS,0.2494%
Proofpoint Inc,PFPT,0.2456%
Zendesk Inc,ZEN,0.2456%
Umpqua Holdings Corp,UMPQ,0.2452%
Sterling Bancorp,STL,0.2451%
Paycom Software Inc,PAYC,0.2432%
Fair Isaac Corp,FICO,0.2394%
Insulet Corp,PODD,0.2376%
Wintrust Financial Corp,WTFC,0.2372%
Knight-Swift Transportation Holdings Inc,KNX,0.2323%
Texas Capital Bancshares Inc,TCBI,0.2323%
Chemed Corp,CHE,0.2301%
Grand Canyon Education Inc,LOPE,0.2275%
Sarepta Therapeutics Inc,SRPT,0.2253%
Monolithic Power Systems Inc,MPWR,0.2237%
Idacorp Inc,IDA,0.223%
Cash Component,CASH,0.2216%
Entegris Inc,ENTG,0.2187%
Blackbaud Inc,BLKB,0.218%
RingCentral Inc,RNG,0.2119%
EMCOR Group Inc,EME,0.2093%
WGL Holdings Inc,WGL,0.2078%
Maximus Inc,MMS,0.2044%
Haemonetics Corp,HAE,0.1981%
Hancock Holding Co,HBHC,0.1976%
Texas Roadhouse Inc,TXRH,0.1954%
Masimo Corp,MASI,0.1948%
Medidata Solutions Inc,MDSO,0.1945%
Cantel Medical Corp,CMD,0.1942%
Louisiana-Pacific Corp,LPX,0.1925%
FirstCash Inc,FCFS,0.1921%
Silicon Laboratories Inc,SLAB,0.1906%
Primerica Inc,PRI,0.1905%
PRA Health Sciences Inc,PRAH,0.1902%
ASGN Inc,ASGN,0.1902%
2U Inc,TWOU,0.1881%
ALLETE Inc,ALE,0.1873%
Evercore Inc,EVR,0.1862%
Integra LifeSciences Holdings Corp,IART,0.1854%
Chemical Financial Corp,CHFC,0.1834%
ICU Medical Inc,ICUI,0.1833%
Cree Inc,CREE,0.1819%
MGIC Investment Corp,MTG,0.1817%
Stifel Financial Corp,SF,0.1817%
Delek US Holdings Inc,DK,0.1814%
Woodward Inc,WWD,0.1811%
Five Below Inc,FIVE,0.1808%
Integrated Device Technology Inc,IDTI,0.1803%
ONE Gas Inc,OGS,0.1796%
IBERIABANK Corp,IBKC,0.1795%
Gramercy Property Trust,GPT,0.1795%
Molina Healthcare Inc,MOH,0.1792%
j2 Global Inc,JCOM,0.1785%
Cousins Properties Inc,CUZ,0.1781%
Portland General Electric Co,POR,0.1776%
Stamps.Com Inc,STMP,0.177%
Penumbra Inc,PEN,0.1763%
Ciena Corp,CIEN,0.1748%
Etsy Inc,ETSY,0.1745%
Churchill Downs Inc,CHDN,0.1743%
HubSpot Inc,HUBS,0.1742%
First Industrial Realty Trust Inc,FR,0.1742%
ILG Inc,ILG,0.1736%
PDC Energy Inc,PDCE,0.173%
Home BancShares Inc,HOMB,0.1726%
New Jersey Resources Corp,NJR,0.1711%
Yelp Inc,YELP,0.1704%
Science Applications International Corp,SAIC,0.1702%
Lumentum Holdings Inc,LITE,0.1696%
CACI International Inc,CACI,0.1681%
KLX Inc,KLXI,0.1679%
Blueprint Medicines Corp,BPMC,0.1667%
Avis Budget Group Inc,CAR,0.1661%
Sunstone Hotel Investors Inc,SHO,0.1653%
UMB Financial Corp,UMBF,0.1648%
Globus Medical Inc,GMED,0.1645%
Planet Fitness Inc,PLNT,0.1641%
Southwest Gas Holdings Inc,SWX,0.164%
RLJ Lodging Trust,RLJ,0.1638%
Cimpress NV,CMPR,0.1633%
Neogen Corp,NEOG,0.1631%
MB Financial Inc,MBFI,0.1629%
ViaSat Inc,VSAT,0.1628%
Ryman Hospitality Properties Inc,RHP,0.1626%
United Bankshares Inc,UBSI,0.1625%
Investors Bancorp Inc,ISBC,0.1623%
Spire Inc,SR,0.1616%
Dana Inc,DAN,0.1612%
Brinks Co,BCO,0.1611%
HealthEquity Inc,HQY,0.1603%
Healthcare Realty Trust Inc,HR,0.1588%
LaSalle Hotel Properties,LHO,0.1587%
Selective Insurance Group Inc,SIGI,0.1585%
Beacon Roofing Supply Inc,BECN,0.1577%
Ellie Mae Inc,ELLI,0.1577%
Radian Group Inc,RDN,0.1569%
Sabra Health Care REIT Inc,SBRA,0.1568%
Avista Corp,AVA,0.1568%
PolyOne Corp,POL,0.1566%
Performance Food Group Co,PFGC,0.1564%
American Eagle Outfitters Inc,AEO,0.1564%
Allegheny Technologies Inc,ATI,0.1551%
FibroGen Inc,FGEN,0.155%
Deluxe Corp,DLX,0.1542%
Valley National Bancorp,VLY,0.1536%
Trinseo SA,TSE,0.1534%
Ingevity Corp,NGVT,0.1532%
First Financial Bankshares Inc,FFIN,0.1512%
First Citizens BancShares Inc,FCNCA,0.1511%
Ligand Pharmaceuticals Inc,LGND,0.1504%
RealPage Inc,RP,0.1494%
Summit Materials Inc,SUM,0.1492%
South State Corp,SSB,0.1487%
Cracker Barrel Old Country Store Inc,CBRL,0.1487%
Golar LNG Ltd,GLNG,0.1482%
Matador Resources Co,MTDR,0.1481%
PotlatchDeltic Corp,PCH,0.1477%
Cathay General Bancorp,CATY,0.1477%
Dycom Industries Inc,DY,0.1462%
AMN Healthcare Services Inc,AMN,0.1462%
PNM Resources Inc,PNM,0.1457%
Trex Company Inc,TREX,0.1455%
Black Hills Corp,BKH,0.1451%
CNO Financial Group Inc,CNO,0.145%
Shutterfly Inc,SFLY,0.1444%
Eastgroup Properties Inc,EGP,0.1443%
MasTec Inc,MTZ,0.1438%
Kennametal Inc,KMT,0.1438%
SYNNEX Corp,SNX,0.1422%
First Financial Bancorp,FFBC,0.1407%
Columbia Banking System Inc,COLB,0.1407%
Ollie's Bargain Outlet Holdings Inc,OLLI,0.1404%
KapStone Paper and Packaging Corp,KS,0.1398%
Glacier Bancorp Inc,GBCI,0.1396%
Fulton Financial Corp,FULT,0.1394%
Geo Group Inc,GEO,0.1391%
Oasis Petroleum Inc,OAS,0.139%
Insperity Inc,NSP,0.139%
SkyWest Inc,SKYW,0.1387%
EnerSys,ENS,0.138%
Deckers Outdoor Corp,DECK,0.138%
MSA Safety Inc,MSA,0.1372%
Hillenbrand Inc,HI,0.1371%
Sensient Technologies Corp,SXT,0.1368%
Steven Madden Ltd,SHOO,0.1368%
Loxo Oncology Inc,LOXO,0.1355%
New York Times Co,NYT,0.1352%
Proto Labs Inc,PRLB,0.1345%
Korn/Ferry International,KFY,0.1345%
Scientific Games Corp,SGMS,0.1342%
Adtalem Global Education Inc,ATGE,0.1342%
BancorpSouth Bank,BXS,0.1341%
Boyd Gaming Corp,BYD,0.1336%
John Bean Technologies Corp,JBT,0.1334%
Inogen Inc,INGN,0.1333%
Green Dot Corp,GDOT,0.1333%
Community Bank System Inc,CBU,0.1332%
Rexnord Corp,RXN,0.133%
Callon Petroleum Co,CPE,0.1327%
Balchem Corp,BCPC,0.1326%
Wolverine World Wide Inc,WWW,0.1314%
National Health Investors Inc,NHI,0.1313%
Essent Group Ltd,ESNT,0.1307%
Darling Ingredients Inc,DAR,0.1292%
Generac Holdings Inc,GNRC,0.1292%
NorthWestern Corp,NWE,0.1291%
Kemper Corp,KMPR,0.1287%
Washington Federal Inc,WAFD,0.1284%
Nexstar Media Group Inc,NXST,0.1284%
