QQQ: PowerShares QQQ
Inception Date: 1999-03-10
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	59786044
Shares Outstanding: 369500000
Expense Ratio: 0.2%
Tracks This Index: NASDAQ-100 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Invesco PowerShares
Structure: UIT
ETF Home Page: http://etfdb.com/etf/QQQ


Holding,Symbol,Weighting
Apple Inc,AAPL,11.8184%
Amazon.com Inc,AMZN,10.031%
Microsoft Corp,MSFT,9.4988%
Facebook Inc,FB,5.5649%
Alphabet Inc,GOOG,4.723%
Alphabet Inc,GOOGL,4.0458%
Intel Corp,INTC,3.2213%
Cisco Systems Inc,CSCO,2.7877%
Comcast Corp,CMCSA,1.914%
NVIDIA Corp,NVDA,1.8071%
Netflix Inc,NFLX,1.7934%
Amgen Inc,AMGN,1.6105%
Adobe Systems Inc,ADBE,1.4348%
Booking Holdings Inc,BKNG,1.3818%
Texas Instruments Inc,TXN,1.3363%
Broadcom Inc,AVGO,1.2384%
Gilead Sciences Inc,GILD,1.1557%
PayPal Holdings Inc,PYPL,1.1358%
Costco Wholesale Corp,COST,1.1247%
Starbucks Corp,SBUX,1.0513%
Qualcomm Inc,QCOM,0.9816%
Baidu Inc,BIDU,0.9263%
Kraft Heinz Co,KHC,0.8716%
Charter Communications Inc,CHTR,0.8661%
Celgene Corp,CELG,0.8625%
Walgreens Boots Alliance Inc,WBA,0.8316%
Biogen Inc,BIIB,0.7658%
Mondelez International Inc,MDLZ,0.7433%
Automatic Data Processing Inc,ADP,0.7136%
Applied Materials Inc,AMAT,0.7002%
Micron Technology Inc,MU,0.7%
CSX Corp,CSX,0.6951%
Activision Blizzard Inc,ATVI,0.6847%
Tesla Inc,TSLA,0.67%
Intuitive Surgical Inc,ISRG,0.666%
T-Mobile US Inc,TMUS,0.6422%
Marriott International Inc,MAR,0.6318%
Cognizant Technology Solutions Corp,CTSH,0.6317%
Intuit Inc,INTU,0.6274%
Express Scripts Holding Co,ESRX,0.551%
Twenty-First Century Fox Inc,FOXA,0.5108%
Vertex Pharmaceuticals Inc,VRTX,0.5007%
eBay Inc,EBAY,0.4963%
Electronic Arts Inc,EA,0.4808%
Illumina Inc,ILMN,0.4667%
JD.com Inc,JD,0.451%
Analog Devices Inc,ADI,0.4311%
Regeneron Pharmaceuticals Inc,REGN,0.4136%
Lam Research Corp,LRCX,0.4076%
Ross Stores Inc,ROST,0.402%
Monster Beverage Corp,MNST,0.3923%
Twenty-First Century Fox Inc,FOX,0.3805%
Fiserv Inc,FISV,0.3763%
Sirius XM Holdings Inc,SIRI,0.3745%
Autodesk Inc,ADSK,0.3639%
Alexion Pharmaceuticals Inc,ALXN,0.3347%
Western Digital Corp,WDC,0.3018%
Dollar Tree Inc,DLTR,0.3009%
Paccar Inc,PCAR,0.2889%
Paychex Inc,PAYX,0.2879%
O'Reilly Automotive Inc,ORLY,0.2855%
Align Technology Inc,ALGN,0.2652%
American Airlines Group Inc,AAL,0.2637%
Microchip Technology Inc,MCHP,0.262%
Mylan NV,MYL,0.2604%
Wynn Resorts Ltd,WYNN,0.2597%
Cerner Corp,CERN,0.2542%
NetEase Inc,NTES,0.2519%
Ctrip.Com International Ltd,CTRP,0.2519%
Cintas Corp,CTAS,0.2408%
Symantec Corp,SYMC,0.2288%
Workday Inc,WDAY,0.2281%
IDEXX Laboratories Inc,IDXX,0.2221%
Skyworks Solutions Inc,SWKS,0.2202%
Xilinx Inc,XLNX,0.2189%
Verisk Analytics Inc,VRSK,0.2175%
Liberty Global PLC,LBTYK,0.216%
KLA-Tencor Corp,KLAC,0.2109%
Expedia Group Inc,EXPE,0.2093%
Check Point Software Technologies Ltd,CHKP,0.2085%
Seagate Technology PLC,STX,0.2055%
Maxim Integrated Products Inc,MXIM,0.2033%
Ulta Beauty Inc,ULTA,0.1996%
Mercadolibre Inc,MELI,0.1936%
Biomarin Pharmaceutical Inc,BMRN,0.1914%
Citrix Systems Inc,CTXS,0.1871%
CA Inc,CA,0.1868%
Fastenal Co,FAST,0.1865%
ASML Holding NV,ASML,0.1859%
Vodafone Group PLC,VOD,0.1825%
Incyte Corp,INCY,0.1705%
Synopsys Inc,SNPS,0.169%
J B Hunt Transport Services Inc,JBHT,0.1683%
Take-Two Interactive Software Inc,TTWO,0.1582%
Henry Schein Inc,HSIC,0.1553%
Dentsply Sirona Inc,XRAY,0.1532%
Cadence Design Systems Inc,CDNS,0.1492%
Shire PLC,SHPG,0.146%
Hologic Inc,HOLX,0.1445%
Hasbro Inc,HAS,0.1424%
Qurate Retail Inc,QRTEA,0.1399%
DISH Network Corp,DISH,0.1001%
Liberty Global PLC,LBTYA,0.0849%
Cash Component,CASH,0.0209%
