VIG: Vanguard Dividend Appreciation ETF
Inception Date: 2006-04-27
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	26764550
Shares Outstanding: 271006000
Expense Ratio: 0.08%
Tracks This Index: NASDAQ US Dividend Achievers Select Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VIG


Holding,Symbol,Weighting
Microsoft Corp,MSFT,4.1472%
Walmart Inc,WMT,3.99%
Johnson & Johnson,JNJ,3.9566%
PepsiCo Inc,PEP,3.1977%
McDonald's Corp,MCD,2.9546%
3M Co,MMM,2.6784%
Medtronic PLC,MDT,2.5054%
Union Pacific Corp,UNP,2.3659%
Texas Instruments Inc,TXN,2.3436%
Abbott Laboratories,ABT,2.3384%
United Technologies Corp,UTX,2.1934%
Accenture PLC,ACN,2.1486%
Nike Inc,NKE,2.0514%
Lockheed Martin Corp,LMT,2.0182%
Caterpillar Inc,CAT,1.9927%
Costco Wholesale Corp,COST,1.9722%
Nextera Energy Inc,NEE,1.7808%
Lowe's Companies Inc,LOW,1.6119%
CVS Health Corp,CVS,1.549%
FedEx Corp,FDX,1.491%
Walgreens Boots Alliance Inc,WBA,1.4591%
Stryker Corp,SYK,1.4477%
Chubb Ltd,CB,1.4245%
Becton Dickinson and Co,BDX,1.4171%
General Dynamics Corp,GD,1.3473%
Raytheon Co,RTN,1.3438%
Colgate-Palmolive Co,CL,1.2787%
Automatic Data Processing Inc,ADP,1.2508%
Northrop Grumman Corp,NOC,1.2441%
TJX Companies Inc,TJX,1.2213%
CSX Corp,CSX,1.2193%
Illinois Tool Works Inc,ITW,1.1303%
S&P Global Inc,SPGI,1.104%
Emerson Electric Co,EMR,0.9939%
Ecolab Inc,ECL,0.9639%
Air Products and Chemicals Inc,APD,0.8186%
Aflac Inc,AFL,0.812%
Waste Management Inc,WM,0.812%
Sherwin-Williams Co,SHW,0.8117%
Travelers Companies Inc,TRV,0.8056%
Sysco Corp,SYY,0.7581%
Analog Devices Inc,ADI,0.7546%
McKesson Corp,MCK,0.739%
VF Corp,VFC,0.7325%
Ross Stores Inc,ROST,0.7038%
Roper Technologies Inc,ROP,0.6276%
T. Rowe Price Group Inc,TROW,0.6271%
PPG Industries Inc,PPG,0.6123%
Cummins Inc,CMI,0.5622%
Best Buy Co Inc,BBY,0.5132%
Kroger Co,KR,0.5011%
Stanley Black & Decker Inc,SWK,0.4979%
Republic Services Inc,RSG,0.4927%
AmerisourceBergen Corp,ABC,0.4704%
Microchip Technology Inc,MCHP,0.4601%
Ameriprise Financial Inc,AMP,0.4525%
Nucor Corp,NUE,0.4496%
Hormel Foods Corp,HRL,0.4341%
Cintas Corp,CTAS,0.4221%
Franklin Resources Inc,BEN,0.415%
Harris Corp,HRS,0.4042%
Xilinx Inc,XLNX,0.3851%
W W Grainger Inc,GWW,0.3641%
Maxim Integrated Products Inc,MXIM,0.3575%
Clorox Co,CLX,0.3477%
L3 Technologies Inc,LLL,0.3358%
Brown-Forman Corp,BF.B,0.3352%
Fastenal Co,FAST,0.3265%
Westlake Chemical Corp,WLK,0.3235%
Dover Corp,DOV,0.32%
CMS Energy Corp,CMS,0.3056%
J M Smucker Co,SJM,0.2997%
J B Hunt Transport Services Inc,JBHT,0.297%
Tiffany & Co,TIF,0.2924%
Broadridge Financial Solutions Inc,BR,0.2914%
McCormick & Company Inc,MKC,0.284%
C.H. Robinson Worldwide Inc,CHRW,0.2686%
Cincinnati Financial Corp,CINF,0.2654%
Church & Dwight Co Inc,CHD,0.2582%
Expeditors International of Washington Inc,EXPD,0.2577%
International Flavors & Fragrances Inc,IFF,0.2553%
Perrigo Company PLC,PRGO,0.2504%
Albemarle Corp,ALB,0.2497%
Hasbro Inc,HAS,0.2491%
Rollins Inc,ROL,0.2456%
Bunge Ltd,BG,0.2375%
American Financial Group Inc,AFG,0.2299%
SEI Investments Co,SEIC,0.229%
Torchmark Corp,TMK,0.2234%
Atmos Energy Corp,ATO,0.2219%
Jack Henry & Associates Inc,JKHY,0.2102%
W. R. Berkley Corp,WRB,0.2066%
A. O. Smith Corp,AOS,0.2043%
UGI Corp,UGI,0.1935%
Robert Half International Inc,RHI,0.1774%
Graco Inc,GGG,0.1732%
Brown & Brown Inc,BRO,0.1722%
Nordson Corp,NDSN,0.1701%
Cullen/Frost Bankers Inc,CFR,0.1679%
FactSet Research Systems Inc,FDS,0.1658%
Commerce Bancshares Inc,CBSH,0.1571%
Polaris Industries Inc,PII,0.1561%
Carlisle Companies Inc,CSL,0.1515%
BOK Financial Corp,BOKF,0.1509%
RPM International Inc,RPM,0.1482%
Eaton Vance Corp,EV,0.1474%
West Pharmaceutical Services Inc,WST,0.1456%
Aqua America Inc,WTR,0.1455%
Toro Co,TTC,0.1436%
Bank of the Ozarks,OZRK,0.1397%
Aptargroup Inc,ATR,0.135%
Vectren Corp,VVC,0.1337%
Donaldson Company Inc,DCI,0.1333%
Columbia Sportswear Co,COLM,0.1332%
Royal Gold Inc,RGLD,0.1322%
Hubbell Inc,HUBB,0.1292%
Lincoln Electric Holdings Inc,LECO,0.1286%
Renaissancere Holdings Ltd,RNR,0.1205%
Erie Indemnity Co,ERIE,0.1189%
Prosperity Bancshares Inc,PB,0.1174%
Hanover Insurance Group Inc,THG,0.1095%
NewMarket Corp,NEU,0.103%
Evercore Inc,EVR,0.0999%
ITT Inc,ITT,0.0994%
Dun & Bradstreet Corp,DNB,0.0979%
MSC Industrial Direct Co Inc,MSM,0.0925%
UMB Financial Corp,UMBF,0.0901%
Bemis Company Inc,BMS,0.0901%
NU Skin Enterprises Inc,NUS,0.0892%
New Jersey Resources Corp,NJR,0.0844%
HEICO Corp,HEI,0.0843%
Caseys General Stores Inc,CASY,0.0842%
Southwest Gas Holdings Inc,SWX,0.083%
Ryder System Inc,R,0.0817%
Lancaster Colony Corp,LANC,0.0806%
MSA Safety Inc,MSA,0.0774%
Regal Beloit Corp,RBC,0.0718%
John Wiley & Sons Inc,JW.A,0.0711%
Silgan Holdings Inc,SLGN,0.0709%
Community Bank System Inc,CBU,0.0675%
Sensient Technologies Corp,SXT,0.0673%
Aaron's Inc,AAN,0.0661%
Telephone and Data Systems Inc,TDS,0.0654%
RLI Corp,RLI,0.064%
Healthcare Services Group Inc,HCSG,0.063%
American Equity Investment Life Holding Co,AEL,0.0609%
HB Fuller Co,FUL,0.0583%
J & J Snack Foods Corp,JJSF,0.0578%
ABM Industries Inc,ABM,0.0482%
American States Water Co,AWR,0.0477%
MGE Energy Inc,MGEE,0.0476%
Franklin Electric Co Inc,FELE,0.0472%
Quaker Chemical Corp,KWR,0.047%
California Water Service Group,CWT,0.0436%
Monro Inc,MNRO,0.0426%
BancFirst Corp,BANF,0.0422%
Brady Corp,BRC,0.0409%
Stepan Co,SCL,0.0373%
Matthews International Corp,MATW,0.0362%
McGrath RentCorp,MGRC,0.0346%
Westamerica Bancorp,WABC,0.0343%
Ensign Group Inc,ENSG,0.0336%
1st Source Corp,SRCE,0.0321%
SJW Group,SJW,0.03%
Tennant Co,TNC,0.0299%
Badger Meter Inc,BMI,0.0294%
Tompkins Financial Corp,TMP,0.0285%
Chesapeake Utilities Corp,CPK,0.0276%
Atrion Corp,ATRI,0.0256%
Cash Component,CASH,0.0252%
Tootsie Roll Industries Inc,TR,0.0249%
International Speedway Corp,ISCA,0.0233%
Lindsay Corp,LNN,0.0213%
Andersons Inc,ANDE,0.0209%
Community Trust Bancorp Inc,CTBI,0.0195%
Connecticut Water Service Inc,CTWS,0.0193%
Gorman-Rupp Co,GRC,0.0193%
Cass Information Systems Inc,CASS,0.0173%
Middlesex Water Co,MSEX,0.0152%
VSE Corp,VSEC,0.0127%
Bank of Marin Bancorp,BMRC,0.0124%
Hawkins Inc,HWKN,0.0079%
NACCO Industries Inc,NC,0.0043%
