VO: Vanguard Mid-Cap Index ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	22212417
Shares Outstanding: 145065000
Expense Ratio: 0.05%
Tracks This Index: CRSP US Mid Cap Index
ETFdb.com Category: Mid Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VO


Holding,Symbol,Weighting
Red Hat Inc,RHT,0.7348%
Fiserv Inc,FISV,0.7339%
ServiceNow Inc,NOW,0.7307%
Edwards Lifesciences Corp,EW,0.7052%
Autodesk Inc,ADSK,0.7035%
Roper Technologies Inc,ROP,0.6861%
Moody's Corp,MCO,0.6758%
Amphenol Corp,APH,0.6558%
ONEOK Inc,OKE,0.6505%
Worldpay Inc,WP,0.6247%
M&T Bank Corp,MTB,0.6193%
Concho Resources Inc,CXO,0.6013%
Western Digital Corp,WDC,0.5836%
Dollar Tree Inc,DLTR,0.5831%
Digital Realty Trust Inc,DLR,0.5531%
Rockwell Collins Inc,COL,0.5506%
Regions Financial Corp,RF,0.5495%
Dr Pepper Snapple Group Inc,DPS,0.5489%
KeyCorp,KEY,0.5425%
Newmont Mining Corp,NEM,0.5334%
Freeport-McMoRan Inc,FCX,0.5305%
WEC Energy Group Inc,WEC,0.518%
Andeavor,ANDV,0.5177%
Devon Energy Corp,DVN,0.5133%
Citizens Financial Group Inc,CFG,0.5099%
Microchip Technology Inc,MCHP,0.5072%
Willis Towers Watson PLC,WLTW,0.494%
Twitter Inc,TWTR,0.4924%
Fleetcor Technologies Inc,FLT,0.4838%
Eversource Energy,ES,0.4834%
Waste Connections Inc,WCN,0.4826%
Align Technology Inc,ALGN,0.4823%
Best Buy Co Inc,BBY,0.4816%
IHS Markit Ltd,INFO,0.4811%
Centene Corp,CNC,0.4805%
DTE Energy Co,DTE,0.4789%
Hartford Financial Services Group Inc,HIG,0.4767%
SBA Communications Corp,SBAC,0.4682%
Cerner Corp,CERN,0.4677%
Royal Caribbean Cruises Ltd,RCL,0.4676%
NetApp Inc,NTAP,0.4613%
Global Payments Inc,GPN,0.4587%
CenturyLink Inc,CTL,0.454%
Laboratory Corporation of America Holdings,LH,0.4466%
Harris Corp,HRS,0.4447%
Motorola Solutions Inc,MSI,0.4442%
Symantec Corp,SYMC,0.4435%
Workday Inc,WDAY,0.4424%
Hess Corp,HES,0.441%
Palo Alto Networks Inc,PANW,0.4367%
IDEXX Laboratories Inc,IDXX,0.4289%
Skyworks Solutions Inc,SWKS,0.4248%
Xilinx Inc,XLNX,0.4236%
Principal Financial Group Inc,PFG,0.4199%
Comerica Inc,CMA,0.4163%
SVB Financial Group,SIVB,0.4157%
Ametek Inc,AME,0.4142%
E*TRADE Financial Corp,ETFC,0.4134%
FirstEnergy Corp,FE,0.4131%
Huntington Bancshares Inc,HBAN,0.4128%
Noble Energy Inc,NBL,0.4112%
KLA-Tencor Corp,KLAC,0.4084%
Essex Property Trust Inc,ESS,0.408%
MGM Resorts International,MGM,0.4062%
Verisk Analytics Inc,VRSK,0.3997%
Wynn Resorts Ltd,WYNN,0.3992%
D.R. Horton Inc,DHI,0.3976%
Marathon Oil Corp,MRO,0.3968%
Lam Research Corp,LRCX,0.3961%
American Water Works Company Inc,AWK,0.3942%
Maxim Integrated Products Inc,MXIM,0.3938%
Baker Hughes A GE Co,BHGE,0.3897%
Ross Stores Inc,ROST,0.3894%
IQVIA Holdings Inc,IQV,0.3873%
Markel Corp,MKL,0.3848%
First Republic Bank,FRC,0.3847%
TransDigm Group Inc,TDG,0.3833%
Vulcan Materials Co,VMC,0.383%
Clorox Co,CLX,0.3818%
W W Grainger Inc,GWW,0.3816%
WestRock Co,WRK,0.3809%
Lincoln National Corp,LNC,0.3768%
Textron Inc,TXT,0.3752%
Entergy Corp,ETR,0.3752%
National Oilwell Varco Inc,NOV,0.3734%
Celanese Corp,CE,0.372%
Lennar Corp,LEN,0.3714%
Splunk Inc,SPLK,0.3713%
Cintas Corp,CTAS,0.3705%
Biomarin Pharmaceutical Inc,BMRN,0.3701%
Ulta Beauty Inc,ULTA,0.3699%
Realty Income Corp,O,0.369%
Conagra Brands Inc,CAG,0.368%
Dell Technologies Inc,DVMT,0.3675%
Host Hotels & Resorts Inc,HST,0.3665%
Mettler-Toledo International Inc,MTD,0.3663%
L3 Technologies Inc,LLL,0.3658%
Waters Corp,WAT,0.3657%
Expedia Group Inc,EXPE,0.3647%
XL Group Ltd,XL,0.3634%
CBRE Group Inc,CBRE,0.3616%
Ameren Corp,AEE,0.3614%
Fastenal Co,FAST,0.3609%
Seagate Technology PLC,STX,0.3587%
Dover Corp,DOV,0.3541%
Total System Services Inc,TSS,0.3523%
Quest Diagnostics Inc,DGX,0.3522%
Resmed Inc,RMD,0.3504%
MSCI Inc,MSCI,0.3458%
Equifax Inc,EFX,0.3445%
ANSYS Inc,ANSS,0.344%
Ball Corp,BLL,0.344%
Mohawk Industries Inc,MHK,0.3439%
Citrix Systems Inc,CTXS,0.3437%
CMS Energy Corp,CMS,0.3379%
Eastman Chemical Co,EMN,0.3378%
EQT Corp,EQT,0.3369%
Tapestry Inc,TPR,0.3368%
CoStar Group Inc,CSGP,0.3367%
Newell Brands Inc,NWL,0.336%
Alexandria Real Estate Equities Inc,ARE,0.3299%
Synopsys Inc,SNPS,0.328%
Arista Networks Inc,ANET,0.3259%
United Rentals Inc,URI,0.3237%
Lear Corp,LEA,0.3197%
Square Inc,SQ,0.3178%
Arthur J Gallagher & Co,AJG,0.3174%
Xylem Inc,XYL,0.3167%
Martin Marietta Materials Inc,MLM,0.3137%
McCormick & Company Inc,MKC,0.3132%
Genuine Parts Co,GPC,0.3124%
J M Smucker Co,SJM,0.3122%
Cheniere Energy Inc,LNG,0.3073%
Take-Two Interactive Software Inc,TTWO,0.3069%
Cboe Global Markets Inc,CBOE,0.3069%
Aptiv PLC,APTV,0.3057%
Tiffany & Co,TIF,0.3055%
Annaly Capital Management Inc,NLY,0.3043%
Vornado Realty Trust,VNO,0.3024%
Masco Corp,MAS,0.3016%
Henry Schein Inc,HSIC,0.3001%
