VUG: Vanguard Growth ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	33030248
Shares Outstanding: 231531000
Expense Ratio: 0.05%
Tracks This Index: MSCI US Prime Market Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VUG


Holding,Symbol,Weighting
Apple Inc,AAPL,7.3915%
Amazon.com Inc,AMZN,5.8976%
Facebook Inc,FB,3.8655%
Alphabet Inc,GOOGL,2.8194%
Alphabet Inc,GOOG,2.7861%
Visa Inc,V,2.0871%
Home Depot Inc,HD,1.9912%
Boeing Co,BA,1.7453%
Mastercard Inc,MA,1.5891%
AbbVie Inc,ABBV,1.4606%
Comcast Corp,CMCSA,1.3296%
Walt Disney Co,DIS,1.3044%
Netflix Inc,NFLX,1.1861%
McDonald's Corp,MCD,1.1759%
Philip Morris International Inc,PM,1.1409%
NVIDIA Corp,NVDA,1.1295%
3M Co,MMM,1.0634%
Adobe Systems Inc,ADBE,0.9981%
Medtronic PLC,MDT,0.9927%
Booking Holdings Inc,BKNG,0.9645%
Union Pacific Corp,UNP,0.9386%
Texas Instruments Inc,TXN,0.9296%
Schlumberger NV,SLB,0.8702%
Broadcom Inc,AVGO,0.8594%
Accenture PLC,ACN,0.8536%
Nike Inc,NKE,0.8115%
Costco Wholesale Corp,COST,0.7833%
Salesforce.com Inc,CRM,0.7714%
Bristol-Myers Squibb Co,BMY,0.7711%
Thermo Fisher Scientific Inc,TMO,0.7671%
PayPal Holdings Inc,PYPL,0.7502%
Coca-Cola Co,KO,0.7394%
United Parcel Service Inc,UPS,0.7012%
Starbucks Corp,SBUX,0.6932%
EOG Resources Inc,EOG,0.6182%
Charles Schwab Corp,SCHW,0.6179%
Lowe's Companies Inc,LOW,0.6074%
Celgene Corp,CELG,0.5994%
Becton Dickinson and Co,BDX,0.5615%
American Tower Corp,AMT,0.551%
Occidental Petroleum Corp,OXY,0.5386%
BlackRock Inc,BLK,0.5341%
Biogen Inc,BIIB,0.5304%
Colgate-Palmolive Co,CL,0.5063%
Micron Technology Inc,MU,0.4864%
Applied Materials Inc,AMAT,0.486%
Altria Group Inc,MO,0.4856%
Monsanto Co,MON,0.4809%
Automatic Data Processing Inc,ADP,0.4723%
Simon Property Group Inc,SPG,0.4687%
Intuitive Surgical Inc,ISRG,0.4658%
Stryker Corp,SYK,0.459%
TJX Companies Inc,TJX,0.459%
Activision Blizzard Inc,ATVI,0.4506%
Cognizant Technology Solutions Corp,CTSH,0.4381%
S&P Global Inc,SPGI,0.4375%
Charter Communications Inc,CHTR,0.4237%
