VYM: Vanguard High Dividend Yield ETF
Inception Date: 2006-11-16
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	20284944
Shares Outstanding: 248438000
Expense Ratio: 0.08%
Tracks This Index: FTSE High Dividend Yield Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VYM


Holding,Symbol,Weighting
Microsoft Corp,MSFT,7.2929%
JPMorgan Chase & Co,JPM,3.8753%
Johnson & Johnson,JNJ,3.4607%
Exxon Mobil Corp,XOM,3.3861%
Intel Corp,INTC,2.5652%
Chevron Corp,CVX,2.4652%
Wells Fargo & Co,WFC,2.4008%
Cisco Systems Inc,CSCO,2.2604%
Pfizer Inc,PFE,2.1468%
AT&T Inc,T,2.0512%
Verizon Communications Inc,VZ,2.0468%
Boeing Co,BA,1.8741%
Procter & Gamble Co,PG,1.8628%
Coca-Cola Co,KO,1.6814%
AbbVie Inc,ABBV,1.662%
Merck & Co Inc,MRK,1.6309%
DowDuPont Inc,DWDP,1.5396%
PepsiCo Inc,PEP,1.4433%
McDonald's Corp,MCD,1.3303%
Philip Morris International Inc,PM,1.291%
Walmart Inc,WMT,1.2901%
General Electric Co,GE,1.2817%
Amgen Inc,AMGN,1.2699%
International Business Machines Corp,IBM,1.2561%
3M Co,MMM,1.172%
Altria Group Inc,MO,1.1049%
Texas Instruments Inc,TXN,1.0491%
Gilead Sciences Inc,GILD,0.9043%
Bristol-Myers Squibb Co,BMY,0.883%
Caterpillar Inc,CAT,0.8528%
ConocoPhillips,COP,0.8016%
Eli Lilly and Co,LLY,0.7994%
United Parcel Service Inc,UPS,0.795%
Nextera Energy Inc,NEE,0.7927%
Lockheed Martin Corp,LMT,0.7788%
Qualcomm Inc,QCOM,0.7731%
BlackRock Inc,BLK,0.6557%
Chubb Ltd,CB,0.6437%
Raytheon Co,RTN,0.6107%
Occidental Petroleum Corp,OXY,0.6097%
Duke Energy Corp,DUK,0.5838%
Automatic Data Processing Inc,ADP,0.5681%
CME Group Inc,CME,0.5516%
Valero Energy Corp,VLO,0.5114%
Phillips 66,PSX,0.5049%
General Motors Co,GM,0.493%
Southern Co,SO,0.4781%
Deere & Co,DE,0.4555%
Ford Motor Co,F,0.4536%
Praxair Inc,PX,0.452%
Prudential Financial Inc,PRU,0.4463%
Emerson Electric Co,EMR,0.4438%
Dominion Energy Inc,D,0.441%
BB&T Corp,BBT,0.4325%
MetLife Inc,MET,0.4237%
Norfolk Southern Corp,NSC,0.4186%
Exelon Corp,EXC,0.4035%
Target Corp,TGT,0.4025%
Marathon Petroleum Corp,MPC,0.3827%
HP Inc,HPQ,0.3684%
Kimberly-Clark Corp,KMB,0.3664%
Travelers Companies Inc,TRV,0.3646%
Waste Management Inc,WM,0.3643%
Aflac Inc,AFL,0.3575%
Air Products and Chemicals Inc,APD,0.3564%
American Electric Power Company Inc,AEP,0.3559%
LyondellBasell Industries NV,LYB,0.3541%
Analog Devices Inc,ADI,0.3417%
Johnson Controls International PLC,JCI,0.339%
Kraft Heinz Co,KHC,0.3372%
Eaton Corporation PLC,ETN,0.3318%
Kinder Morgan Inc,KMI,0.319%
Sysco Corp,SYY,0.3139%
Sempra Energy,SRE,0.2886%
Las Vegas Sands Corp,LVS,0.2839%
T. Rowe Price Group Inc,TROW,0.2709%
Public Service Enterprise Group Inc,PEG,0.2697%
VF Corp,VFC,0.2693%
Carnival Corp,CCL,0.2648%
Consolidated Edison Inc,ED,0.2562%
Archer Daniels Midland Co,ADM,0.2547%
General Mills Inc,GIS,0.2519%
ONEOK Inc,OKE,0.2514%
Xcel Energy Inc,XEL,0.2462%
PG&E Corp,PCG,0.2427%
Western Digital Corp,WDC,0.2369%
Cummins Inc,CMI,0.2362%
Fifth Third Bancorp,FITB,0.2358%
Williams Companies Inc,WMB,0.2242%
Andeavor,ANDV,0.224%
Paccar Inc,PCAR,0.2223%
KeyCorp,KEY,0.2197%
Regions Financial Corp,RF,0.2181%
International Paper Co,IP,0.2139%
WEC Energy Group Inc,WEC,0.2113%
Edison International,EIX,0.2089%
Nucor Corp,NUE,0.2032%
Paychex Inc,PAYX,0.2026%
PPL Corp,PPL,0.2024%
