XLE: Energy Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	18664324
Shares Outstanding: 253324000
Expense Ratio: 0.13%
Tracks This Index: Energy Select Sector Index
ETFdb.com Category: Energy Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: http://etfdb.com/etf/XLE


Holding,Symbol,Weighting
Exxon Mobil Corp,XOM,21.8939%
Chevron Corp,CVX,17.3183%
Schlumberger NV,SLB,6.8662%
ConocoPhillips,COP,4.9426%
EOG Resources Inc,EOG,4.718%
Occidental Petroleum Corp,OXY,4.3192%
Valero Energy Corp,VLO,3.5711%
Phillips 66,PSX,3.5314%
Halliburton Co,HAL,3.3737%
Marathon Petroleum Corp,MPC,2.6433%
Anadarko Petroleum Corp,APC,2.483%
Pioneer Natural Resources Co,PXD,2.4568%
Kinder Morgan Inc,KMI,2.2521%
ONEOK Inc,OKE,1.887%
Concho Resources Inc,CXO,1.7247%
Williams Companies Inc,WMB,1.5893%
Devon Energy Corp,DVN,1.4778%
Andeavor,ANDV,1.4408%
Noble Energy Inc,NBL,1.1957%
Apache Corp,APA,1.1502%
Marathon Oil Corp,MRO,1.142%
Hess Corp,HES,1.1338%
Baker Hughes A GE Co,BHGE,1.1055%
National Oilwell Varco Inc,NOV,1.0721%
TechnipFMC PLC,FTI,1.0672%
EQT Corp,EQT,0.8961%
Cabot Oil & Gas Corp,COG,0.806%
Cimarex Energy Co,XEC,0.6899%
Helmerich and Payne Inc,HP,0.552%
Newfield Exploration Co,NFX,0.4088%
Range Resources Corp,RRC,0.2288%
Cash Component,CASH,0.0627%
