EEM: iShares MSCI Emerging Markets ETF
Inception Date: 2003-04-11
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	40817578
Shares Outstanding: 870750000
Expense Ratio: 0.69%
Tracks This Index: MSCI Emerging Markets Index
ETFdb.com Category: Emerging Markets Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/EEM


Holding,Symbol,Weighting
Tencent Holdings Ltd,700,5.2496%
Samsung Electronics Co Ltd,005930,4.3774%
Alibaba Group Holding Ltd,BABA,3.8545%
Taiwan Semiconductor Manufacturing Co Ltd,2330,3.371%
Cash Component,CASH,1.9733%
Naspers Ltd,NPN,1.9158%
China Construction Bank Corp,939,1.625%
Baidu Inc,BIDU,1.2668%
Industrial and Commercial Bank of China Ltd,1398,1.1967%
China Mobile Ltd,941,1.0614%
Ping An Insurance Group Co of China Ltd,2318,0.9262%
SK Hynix Inc,000660,0.8265%
Itau Unibanco Holding SA,ITUB4,0.8124%
Housing Development Finance Corporation Ltd,HDFC,0.8003%
Vale SA,VALE3,0.7996%
Bank of China Ltd,3988,0.7885%
Hon Hai Precision Industry Co Ltd,2317,0.781%
Reliance Industries Ltd,RIL,0.7648%
Banco Bradesco SA,BBDC4,0.5843%
Infosys Ltd,INFO,0.5785%
America Movil SAB de CV,AMXL,0.5591%
CNOOC Ltd,883,0.5533%
Ambev SA,ABEV3,0.5507%
Sberbank Rossii PAO,SBER,0.5306%
Posco,005490,0.4713%
Petroleo Brasileiro SA Petrobras,PETR4,0.4585%
China Petroleum & Chemical Corp,386,0.455%
JD.com Inc,JD,0.4489%
Tata Consultancy Services Ltd,TCS,0.4443%
Hyundai Motor Co,005380,0.4196%
KB Financial Group Inc,105560,0.4091%
Standard Bank Group Ltd,SBK,0.4063%
NK Lukoil PAO,LKOH,0.401%
Petroleo Brasileiro SA Petrobras,PETR3,0.3771%
China Life Insurance Co Ltd,2628,0.377%
NetEase Inc,NTES,0.3719%
Sasol Ltd,SOL,0.3639%
Celltrion Inc,068270,0.3596%
PTT PCL,PTT-R,0.3556%
Shinhan Financial Group Co Ltd,055550,0.3526%
Naver Corp,035420,0.3502%
Gazprom PAO,GAZP,0.3482%
FirstRand Ltd,FSR,0.3314%
Fomento Economico Mexicano SAB de CV,FEMSAUBD,0.3247%
MTN Group Ltd,MTN,0.3103%
