EFA: iShares MSCI EAFE ETF
Inception Date: 2001-08-14
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	77993441
Shares Outstanding: 1104000000
Expense Ratio: 0.32%
Tracks This Index: MSCI EAFE Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/EFA


Holding,Symbol,Weighting
Cash Component,CASH,1.6623%
Nestle SA,NESN,1.5781%
HSBC Holdings PLC,HSBA,1.3109%
Novartis AG,NOVN,1.1294%
Toyota Motor Corp,7203,1.1239%
Roche Holding AG,ROG,1.0428%
Royal Dutch Shell PLC,RDSA,1.0316%
Total SA,FP,0.9828%
BP PLC,BP.,0.9748%
Royal Dutch Shell PLC,RDSB,0.8822%
British American Tobacco PLC,BATS,0.8086%
SAP SE,SAP,0.7318%
AIA Group Ltd,1299,0.7083%
Allianz SE,ALV,0.7043%
Banco Santander SA,SAN,0.6905%
Siemens AG,SIE,0.6561%
Bayer AG,BAYN,0.6551%
GlaxoSmithKline PLC,GSK,0.6463%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.6456%
Commonwealth Bank of Australia,CBA,0.6406%
BASF SE,BAS,0.6374%
Novo Nordisk A/S,NOVO.B,0.6081%
Unilever NV,UNA,0.5994%
AstraZeneca PLC,AZN,0.5928%
Diageo PLC,DGE,0.5849%
BNP Paribas SA,BNP,0.5713%
Mitsubishi UFJ Financial Group Inc,8306,0.5143%
Vodafone Group PLC,VOD,0.5089%
Daimler AG,DAI,0.5061%
BHP Billiton Ltd,BHP,0.4994%
Westpac Banking Corp,WBC,0.4921%
ASML Holding NV,ASML,0.4911%
Anheuser Busch Inbev NV,ABI,0.4847%
Airbus SE,AIR,0.4519%
Unilever PLC,ULVR,0.4425%
Prudential PLC,PRU,0.4389%
Rio Tinto PLC,RIO,0.4377%
ING Groep NV,INGA,0.4331%
SoftBank Group Corp,9984,0.4196%
Lloyds Banking Group PLC,LLOY,0.4149%
UBS Group AG,UBSG,0.4034%
Australia and New Zealand Banking Group Ltd,ANZ,0.4015%
National Australia Bank Ltd,NAB,0.3953%
Glencore PLC,GLEN,0.3948%
L'Oreal SA,OR,0.3893%
Sony Corp,6758,0.3823%
CSL Ltd,CSL,0.3821%
Deutsche Telekom AG,DTE,0.3806%
Honda Motor Co Ltd,7267,0.3755%
Air Liquide SA,AI,0.3671%
AXA SA,CS,0.3664%
Banco Bilbao Vizcaya Argentaria S.A.,BBVA,0.3569%
Sumitomo Mitsui Financial Group Inc,8316,0.3564%
Enel SpA,ENEL,0.3422%
Intesa Sanpaolo SpA,ISP,0.3387%
Vinci SA,DG,0.3385%
Reckitt Benckiser Group PLC,RB.,0.3378%
Compagnie Financiere Richemont SA,CFR,0.3313%
Schneider Electric SE,SU,0.3302%
Eni SpA,ENI,0.3288%
Zurich Insurance Group AG,ZURN,0.3213%
Shire PLC,SHP,0.3181%
Danone SA,BN,0.3178%
Barclays PLC,BARC,0.3149%
KDDI Corp,9433,0.3122%
Telefonica SA,TEF,0.3114%
Adidas AG,ADS,0.3097%
Iberdrola SA,IBE,0.2994%
Nintendo Co Ltd,7974,0.2977%
BHP Billiton PLC,BLT,0.2943%
Mizuho Financial Group Inc,8411,0.2938%
Keyence Corp,6861,0.2928%
Kering SA,KER,0.2906%
ABB Ltd,ABBN,0.2878%
UniCredit SpA,UCG,0.2851%
Deutsche Post AG,DPW,0.2793%
Societe Generale SA,GLE,0.2755%
Mitsubishi Corp,8058,0.2751%
Linde AG,LINU,0.2721%
DBS Group Holdings Ltd,D05,0.2703%
Credit Suisse Group AG,CSGN,0.2699%
Koninklijke Philips NV,PHIA,0.2674%
Hong Kong Exchanges and Clearing Ltd,388,0.2639%
Volkswagen AG,VOW3,0.2595%
National Grid PLC,NG.,0.2583%
Safran SA,SAF,0.2578%
Fanuc Corp,6954,0.2541%
Wesfarmers Ltd,WES,0.2453%
Bayerische Motoren Werke AG,BMW,0.245%
Canon Inc,7751,0.2433%
Shin-Etsu Chemical Co Ltd,4063,0.2414%
Hitachi Ltd,6501,0.2414%
Orange SA,ORA,0.2383%
Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,MUV2,0.2353%
NXP Semiconductors NV,NXPI,0.2344%
Pernod Ricard SA,RI,0.2309%
Industria de Diseno Textil SA,ITX,0.2282%
NTT Docomo Inc,9437,0.2261%
Standard Chartered PLC,STAN,0.225%
Imperial Brands PLC,IMB,0.2245%
Nokia Oyj,NOKIA,0.2244%
Compass Group PLC,CPG,0.2235%
Oversea-Chinese Banking Corporation Ltd,O39,0.2193%
Nidec Corp,6594,0.219%
Amadeus IT Group SA,AMS,0.2185%
Seven & i Holdings Co Ltd,3382,0.2154%
Panasonic Corp,6752,0.2138%
Fresenius SE & Co KGaA,FRE,0.2134%
Kao Corp,4452,0.2134%
Nippon Telegraph and Telephone Corp,9432,0.2114%
Anglo American PLC,AAL,0.2113%
Engie SA,ENGI,0.2097%
CK Hutchison Holdings Ltd,1,0.2087%
Tesco PLC,TSCO,0.2063%
Mitsui & Co Ltd,8031,0.2049%
East Japan Railway Co,9020,0.203%
Nordea Bank AB,NDA.SEK,0.2024%
Astellas Pharma Inc,4503,0.2015%
Tokio Marine Holdings Inc,8766,0.2009%
Infineon Technologies AG,IFX,0.1996%
Koninklijke Ahold Delhaize NV,AD,0.199%
United Overseas Bank Ltd,U11,0.1987%
Continental AG,CON,0.1974%
CRH PLC,CRG,0.1973%
Japan Tobacco Inc,2914,0.1966%
Swiss Re AG,SREN,0.1957%
Komatsu Ltd,6301,0.1952%
Statoil ASA,STL,0.1948%
Aviva PLC,AV.,0.1942%
Itochu Corp,8001,0.1935%
Daikin Industries Ltd,6367,0.1923%
Mitsubishi Electric Corp,6503,0.1869%
Vivendi SA,VIV,0.1869%
Central Japan Railway Co,9022,0.1868%
Deutsche Bank AG,DBK,0.1867%
Essilor International SA,EI,0.1865%
Takeda Pharmaceutical Co Ltd,4502,0.1851%
BT Group PLC,BT.A,0.1839%
Woolworths Group Ltd,WOW,0.1807%
Heineken NV,HEIA,0.1785%
Tokyo Electron Ltd,8035,0.1783%
Volvo AB,VOLV.B,0.1776%
Deutsche Boerse AG,DB1,0.1772%
BAE Systems PLC,BA.,0.176%
Atlas Copco AB,ATCO.A,0.1743%
Danske Bank A/S,DANSKE,0.1739%
Bridgestone Corp,5108,0.1738%
Recruit Holdings Co Ltd,6098,0.1727%
Compagnie de Saint Gobain SA,SGO,0.1726%
Macquarie Group Ltd,MQG,0.172%
Lafargeholcim Ltd,LHN,0.1696%
Assicurazioni Generali SpA,G,0.1663%
Fiat Chrysler Automobiles NV,FCA,0.1625%
Vonovia SE,VNA,0.1607%
E.ON SE,EOAN,0.1603%
Denso Corp,6902,0.1598%
Compagnie Generale des Etablissements Michelin SCA,ML,0.1596%
Kirin Holdings Co Ltd,2503,0.1589%
Sampo Oyj,SAMPO,0.1581%
Nissan Motor Co Ltd,7201,0.1575%
Orix Corp,8591,0.1574%
Repsol SA,REP,0.1572%
