IEFA: iShares Core MSCI EAFE ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	58547655
Shares Outstanding: 880000000
Expense Ratio: 0.08%
Tracks This Index: MSCI EAFE Investable Market Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IEFA


Holding,Symbol,Weighting
Cash Component,CASH,2.6249%
Nestle SA,NESN,1.3392%
HSBC Holdings PLC,HSBA,1.1161%
Novartis AG,NOVN,0.9549%
Toyota Motor Corp,7203,0.9319%
Roche Holding AG,ROG,0.8853%
Royal Dutch Shell PLC,RDSA,0.8803%
Total SA,FP,0.8334%
BP PLC,BP.,0.8237%
Royal Dutch Shell PLC,RDSB,0.7468%
British American Tobacco PLC,BATS,0.6873%
SAP SE,SAP,0.6184%
AIA Group Ltd,1299,0.6008%
Allianz SE,ALV,0.5918%
Banco Santander SA,SAN,0.5865%
Bayer AG,BAYN,0.559%
Siemens AG,SIE,0.5555%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.5497%
GlaxoSmithKline PLC,GSK,0.5468%
Commonwealth Bank of Australia,CBA,0.5426%
BASF SE,BAS,0.5371%
Novo Nordisk A/S,NOVO.B,0.5177%
Unilever NV,UNA,0.5075%
AstraZeneca PLC,AZN,0.5018%
Diageo PLC,DGE,0.4929%
BNP Paribas SA,BNP,0.4833%
Mitsubishi UFJ Financial Group Inc,8306,0.4327%
Vodafone Group PLC,VOD,0.4315%
Daimler AG,DAI,0.4281%
BHP Billiton Ltd,BHP,0.4215%
ASML Holding NV,ASML,0.4177%
Westpac Banking Corp,WBC,0.415%
Anheuser Busch Inbev NV,ABI,0.4091%
Airbus SE,AIR,0.385%
Unilever PLC,ULVR,0.376%
Rio Tinto PLC,RIO,0.375%
Prudential PLC,PRU,0.37%
ING Groep NV,INGA,0.3673%
Lloyds Banking Group PLC,LLOY,0.3532%
SoftBank Group Corp,9984,0.3487%
Keyence Corp,KYCCF,0.3441%
UBS Group AG,UBSG,0.3412%
Australia and New Zealand Banking Group Ltd,ANZ,0.3407%
National Australia Bank Ltd,NAB,0.3335%
Glencore PLC,GLEN,0.3323%
L'Oreal SA,OR,0.332%
CSL Ltd,CSL,0.3232%
Deutsche Telekom AG,DTE,0.319%
Sony Corp,6758,0.3132%
AXA SA,CS,0.3117%
Air Liquide SA,AI,0.3114%
Sumitomo Mitsui Financial Group Inc,8316,0.3069%
Banco Bilbao Vizcaya Argentaria S.A.,BBVA,0.3028%
