IJH: iShares Core S&P Mid-Cap ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	44706298
Shares Outstanding: 238600000
Expense Ratio: 0.07%
Tracks This Index: S&P MidCap 400 Index
ETFdb.com Category: Mid Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IJH


Holding,Symbol,Weighting
Abiomed Inc,ABMD,0.7385%
Broadridge Financial Solutions Inc,BR,0.7267%
Teleflex Inc,TFX,0.705%
HollyFrontier Corp,HFC,0.6635%
NVR Inc,NVR,0.6273%
Domino's Pizza Inc,DPZ,0.6205%
Steel Dynamics Inc,STLD,0.6121%
Copart Inc,CPRT,0.6065%
IDEX Corp,IEX,0.59%
East West Bancorp Inc,EWBC,0.5665%
Reinsurance Group of America Inc,RGA,0.5663%
Keysight Technologies Inc,KEYS,0.5641%
PTC Inc,PTC,0.5633%
Atmos Energy Corp,ATO,0.5597%
WellCare Health Plans Inc,WCG,0.5461%
Lamb Weston Holdings Inc,LW,0.5436%
Jack Henry & Associates Inc,JKHY,0.5287%
Old Dominion Freight Line Inc,ODFL,0.5268%
Chemours Co,CC,0.5204%
Leidos Holdings Inc,LDOS,0.5125%
Ingredion Inc,INGR,0.4956%
Trimble Inc,TRMB,0.4944%
UGI Corp,UGI,0.4842%
SEI Investments Co,SEIC,0.4753%
CDK Global Inc,CDK,0.4721%
Fortinet Inc,FTNT,0.4687%
STERIS plc,STE,0.467%
Alleghany Corp,Y,0.4643%
Camden Property Trust,CPT,0.4613%
Cognex Corp,CGNX,0.4535%
Jones Lang LaSalle Inc,JLL,0.451%
Tyler Technologies Inc,TYL,0.4492%
Orbital ATK Inc,OA,0.4477%
American Financial Group Inc,AFG,0.4455%
Microsemi Corp,MSCC,0.4428%
Westar Energy Inc,WR,0.4405%
Marketaxess Holdings Inc,MKTX,0.4399%
Westinghouse Air Brake Technologies Corp,WAB,0.4348%
Graco Inc,GGG,0.4334%
Ultimate Software Group Inc,ULTI,0.4214%
FactSet Research Systems Inc,FDS,0.421%
Lennox International Inc,LII,0.4206%
W. R. Berkley Corp,WRB,0.4119%
Kilroy Realty Corp,KRC,0.4111%
Zebra Technologies Corp,ZBRA,0.4106%
Great Plains Energy Inc,GXP,0.4046%
WPX Energy Inc,WPX,0.4019%
Signature Bank,SBNY,0.4018%
Teradyne Inc,TER,0.3891%
Cullen/Frost Bankers Inc,CFR,0.3872%
Service Corporation International,SCI,0.3864%
Arrow Electronics Inc,ARW,0.3839%
OGE Energy Corp,OGE,0.3833%
Carlisle Companies Inc,CSL,0.3832%
Eaton Vance Corp,EV,0.3781%
PacWest Bancorp,PACW,0.378%
Nordson Corp,NDSN,0.3762%
WEX Inc,WEX,0.3735%
RPM International Inc,RPM,0.373%
Teledyne Technologies Inc,TDY,0.3727%
ManpowerGroup Inc,MAN,0.369%
Reliance Steel & Aluminum Co,RS,0.369%
West Pharmaceutical Services Inc,WST,0.3674%
Energen Corp,EGN,0.3656%
Polaris Industries Inc,PII,0.3645%
Gentex Corp,GNTX,0.3635%
Aqua America Inc,WTR,0.3632%
Synovus Financial Corp,SNV,0.3621%
Toro Co,TTC,0.3611%
