IWB: iShares Russell 1000 ETF
Inception Date: 2000-05-15
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	19214742
Shares Outstanding: 131050000
Expense Ratio: 0.15%
Tracks This Index: Russell 1000 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWB


Holding,Symbol,Weighting
Apple Inc,AAPL,3.5836%
Microsoft Corp,MSFT,2.8021%
Amazon.com Inc,AMZN,2.5263%
Facebook Inc,FB,1.6642%
JPMorgan Chase & Co,JPM,1.4896%
Berkshire Hathaway Inc,BRK.B,1.4871%
Johnson & Johnson,JNJ,1.3307%
Exxon Mobil Corp,XOM,1.301%
Alphabet Inc,GOOG,1.2435%
Alphabet Inc,GOOGL,1.2175%
Bank of America Corp,BAC,1.1305%
Intel Corp,INTC,0.9853%
Chevron Corp,CVX,0.9482%
Wells Fargo & Co,WFC,0.9233%
Visa Inc,V,0.9188%
UnitedHealth Group Inc,UNH,0.8948%
Home Depot Inc,HD,0.8748%
Cisco Systems Inc,CSCO,0.8686%
Pfizer Inc,PFE,0.8247%
AT&T Inc,T,0.788%
Verizon Communications Inc,VZ,0.7861%
Boeing Co,BA,0.7207%
Procter & Gamble Co,PG,0.715%
Citigroup Inc,C,0.6983%
Mastercard Inc,MA,0.6894%
Coca-Cola Co,KO,0.646%
AbbVie Inc,ABBV,0.6393%
Merck & Co Inc,MRK,0.6268%
Walt Disney Co,DIS,0.5992%
DowDuPont Inc,DWDP,0.5923%
Comcast Corp,CMCSA,0.5806%
PepsiCo Inc,PEP,0.5543%
Oracle Corp,ORCL,0.5301%
NVIDIA Corp,NVDA,0.5247%
Netflix Inc,NFLX,0.5129%
McDonald's Corp,MCD,0.5128%
Philip Morris International Inc,PM,0.4971%
Walmart Inc,WMT,0.4958%
General Electric Co,GE,0.4924%
Amgen Inc,AMGN,0.4876%
International Business Machines Corp,IBM,0.4818%
3M Co,MMM,0.451%
Adobe Systems Inc,ADBE,0.4373%
Medtronic PLC,MDT,0.4328%
Honeywell International Inc,HON,0.429%
Altria Group Inc,MO,0.4246%
Union Pacific Corp,UNP,0.4136%
Booking Holdings Inc,BKNG,0.4105%
Texas Instruments Inc,TXN,0.4058%
Abbott Laboratories,ABT,0.3906%
Schlumberger NV,SLB,0.3811%
Accenture PLC,ACN,0.3741%
Broadcom Inc,AVGO,0.3681%
Cash Component,CASH,0.3644%
Nike Inc,NKE,0.3547%
United Technologies Corp,UTX,0.354%
Gilead Sciences Inc,GILD,0.3476%
Costco Wholesale Corp,COST,0.3387%
Bristol-Myers Squibb Co,BMY,0.3386%
Salesforce.com Inc,CRM,0.3367%
Thermo Fisher Scientific Inc,TMO,0.3333%
Goldman Sachs Group Inc,GS,0.3288%
Caterpillar Inc,CAT,0.3257%
PayPal Holdings Inc,PYPL,0.3248%
Starbucks Corp,SBUX,0.3101%
U.S. Bancorp,USB,0.3101%
ConocoPhillips,COP,0.308%
Eli Lilly and Co,LLY,0.3075%
United Parcel Service Inc,UPS,0.3062%
Nextera Energy Inc,NEE,0.3054%
Lockheed Martin Corp,LMT,0.3002%
Qualcomm Inc,QCOM,0.2968%
Time Warner Inc,TWX,0.288%
American Express Co,AXP,0.281%
Lowe's Companies Inc,LOW,0.2794%
PNC Financial Services Group Inc,PNC,0.2723%
EOG Resources Inc,EOG,0.2689%
CVS Health Corp,CVS,0.268%
Morgan Stanley,MS,0.2637%
Charles Schwab Corp,SCHW,0.2634%
Celgene Corp,CELG,0.2596%
BlackRock Inc,BLK,0.2528%
Chubb Ltd,CB,0.2462%
Danaher Corp,DHR,0.2444%
Becton Dickinson and Co,BDX,0.2418%
FedEx Corp,FDX,0.2396%
Anthem Inc,ANTM,0.2344%
Occidental Petroleum Corp,OXY,0.2337%
Raytheon Co,RTN,0.2331%
Biogen Inc,BIIB,0.2318%
American Tower Corp,AMT,0.2308%
Stryker Corp,SYK,0.2278%
Duke Energy Corp,DUK,0.2247%
Aetna Inc,AET,0.2242%
Monsanto Co,MON,0.2203%
Automatic Data Processing Inc,ADP,0.2181%
Walgreens Boots Alliance Inc,WBA,0.2179%
Mondelez International Inc,MDLZ,0.2176%
Colgate-Palmolive Co,CL,0.217%
TJX Companies Inc,TJX,0.213%
Applied Materials Inc,AMAT,0.2123%
Bank of New York Mellon Corp,BK,0.2121%
CME Group Inc,CME,0.2112%
CSX Corp,CSX,0.2025%
Activision Blizzard Inc,ATVI,0.2024%
Intuitive Surgical Inc,ISRG,0.2021%
Allergan plc,AGN,0.2019%
Micron Technology Inc,MU,0.2003%
General Dynamics Corp,GD,0.2002%
Simon Property Group Inc,SPG,0.1976%
American International Group Inc,AIG,0.1975%
Northrop Grumman Corp,NOC,0.1969%
Valero Energy Corp,VLO,0.196%
Charter Communications Inc,CHTR,0.1949%
Phillips 66,PSX,0.1937%
Cognizant Technology Solutions Corp,CTSH,0.1898%
S&P Global Inc,SPGI,0.1897%
General Motors Co,GM,0.1896%
Southern Co,SO,0.1836%
Halliburton Co,HAL,0.1824%
Intuit Inc,INTU,0.1801%
Deere & Co,DE,0.1746%
Ford Motor Co,F,0.1743%
Illinois Tool Works Inc,ITW,0.1737%
Praxair Inc,PX,0.1733%
Capital One Financial Corp,COF,0.1715%
Prudential Financial Inc,PRU,0.1712%
Emerson Electric Co,EMR,0.1706%
Dominion Energy Inc,D,0.1697%
Express Scripts Holding Co,ESRX,0.1667%
BB&T Corp,BBT,0.1665%
Intercontinental Exchange Inc,ICE,0.1659%
Marriott International Inc,MAR,0.1629%
MetLife Inc,MET,0.1628%
Crown Castle International Corp,CCI,0.1623%
Marsh & McLennan Companies Inc,MMC,0.1622%
Cigna Corp,CI,0.1622%
Norfolk Southern Corp,NSC,0.1612%
Tesla Inc,TSLA,0.1602%
Boston Scientific Corp,BSX,0.1597%
Humana Inc,HUM,0.1569%
Zoetis Inc,ZTS,0.1569%
Exelon Corp,EXC,0.1553%
Target Corp,TGT,0.155%
Twenty-First Century Fox Inc,FOXA,0.1528%
Vertex Pharmaceuticals Inc,VRTX,0.1509%
Ecolab Inc,ECL,0.1476%
Marathon Petroleum Corp,MPC,0.1469%
Constellation Brands Inc,STZ,0.1454%
State Street Corp,STT,0.144%
Anadarko Petroleum Corp,APC,0.1431%
Electronic Arts Inc,EA,0.1428%
HP Inc,HPQ,0.1417%
NXP Semiconductors NV,NXPI,0.1415%
Illumina Inc,ILMN,0.1411%
Kimberly-Clark Corp,KMB,0.1406%
Baxter International Inc,BAX,0.1403%
eBay Inc,EBAY,0.14%
Waste Management Inc,WM,0.14%
Aon PLC,AON,0.1392%
Air Products and Chemicals Inc,APD,0.1389%
Travelers Companies Inc,TRV,0.1383%
Aflac Inc,AFL,0.137%
Progressive Corp,PGR,0.1368%
Delta Air Lines Inc,DAL,0.1364%
Prologis Inc,PLD,0.136%
American Electric Power Company Inc,AEP,0.1359%
LyondellBasell Industries NV,LYB,0.1357%
Pioneer Natural Resources Co,PXD,0.1339%
Allstate Corp,ALL,0.1334%
Equinix Inc,EQIX,0.133%
Analog Devices Inc,ADI,0.1313%
Kraft Heinz Co,KHC,0.1308%
Johnson Controls International PLC,JCI,0.13%
Fidelity National Information Services Inc,FIS,0.129%
McKesson Corp,MCK,0.1287%
Eaton Corporation PLC,ETN,0.1281%
SunTrust Banks Inc,STI,0.1254%
Lam Research Corp,LRCX,0.1241%
Kinder Morgan Inc,KMI,0.1228%
Sherwin-Williams Co,SHW,0.1215%
Sysco Corp,SYY,0.1208%
Public Storage,PSA,0.12%
Ross Stores Inc,ROST,0.1196%
Estee Lauder Companies Inc,EL,0.1157%
Red Hat Inc,RHT,0.1153%
DXC Technology Co,DXC,0.1151%
Fiserv Inc,FISV,0.1149%
Southwest Airlines Co,LUV,0.1147%
ServiceNow Inc,NOW,0.1129%
Sempra Energy,SRE,0.1107%
HCA Healthcare Inc,HCA,0.1106%
Edwards Lifesciences Corp,EW,0.1096%
Las Vegas Sands Corp,LVS,0.1088%
Moody's Corp,MCO,0.1087%
Weyerhaeuser Co,WY,0.1086%
Yum! Brands Inc,YUM,0.1083%
PPG Industries Inc,PPG,0.1081%
Hewlett Packard Enterprise Co,HPE,0.1074%
Dollar General Corp,DG,0.1052%
VF Corp,VFC,0.1043%
Autodesk Inc,ADSK,0.1042%
T. Rowe Price Group Inc,TROW,0.1041%
Roper Technologies Inc,ROP,0.1039%
Public Service Enterprise Group Inc,PEG,0.1032%
Carnival Corp,CCL,0.102%
Synchrony Financial,SYF,0.102%
Discover Financial Services,DFS,0.1019%
Amphenol Corp,APH,0.1008%
M&T Bank Corp,MTB,0.1004%
Consolidated Edison Inc,ED,0.0984%
Archer Daniels Midland Co,ADM,0.0982%
Alexion Pharmaceuticals Inc,ALXN,0.0982%
Aptiv PLC,APTV,0.097%
ONEOK Inc,OKE,0.0964%
General Mills Inc,GIS,0.0962%
Zimmer Biomet Holdings Inc,ZBH,0.0945%
Xcel Energy Inc,XEL,0.0939%
PG&E Corp,PCG,0.0938%
Worldpay Inc,WP,0.0935%
Regeneron Pharmaceuticals Inc,REGN,0.0929%
Concho Resources Inc,CXO,0.0925%
Cummins Inc,CMI,0.0917%
Corning Inc,GLW,0.0914%
Western Digital Corp,WDC,0.0911%
Fifth Third Bancorp,FITB,0.0907%
Parker-Hannifin Corp,PH,0.0893%
AvalonBay Communities Inc,AVB,0.0887%
Dollar Tree Inc,DLTR,0.0879%
Fortive Corp,FTV,0.0878%
Equity Residential,EQR,0.0873%
Monster Beverage Corp,MNST,0.087%
Northern Trust Corp,NTRS,0.087%
Rockwell Automation Inc,ROK,0.0868%
Williams Companies Inc,WMB,0.0867%
Hilton Worldwide Holdings Inc,HLT,0.0867%
Digital Realty Trust Inc,DLR,0.0862%
Kroger Co,KR,0.0861%
Stanley Black & Decker Inc,SWK,0.0857%
Paccar Inc,PCAR,0.0856%
Andeavor,ANDV,0.0851%
Ingersoll-Rand PLC,IR,0.0849%
O'Reilly Automotive Inc,ORLY,0.0849%
Dr Pepper Snapple Group Inc,DPS,0.0847%
Rockwell Collins Inc,COL,0.0845%
Agilent Technologies Inc,A,0.0845%
KeyCorp,KEY,0.0841%
Regions Financial Corp,RF,0.084%
Newmont Mining Corp,NEM,0.0834%
Twitter Inc,TWTR,0.0833%
International Paper Co,IP,0.0828%
Cardinal Health Inc,CAH,0.082%
Freeport-McMoRan Inc,FCX,0.0818%
Welltower Inc,WELL,0.0818%
WEC Energy Group Inc,WEC,0.0808%
Edison International,EIX,0.0807%
Citizens Financial Group Inc,CFG,0.0805%
Devon Energy Corp,DVN,0.0803%
Mylan NV,MYL,0.0787%
Align Technology Inc,ALGN,0.0783%
Ameriprise Financial Inc,AMP,0.078%
Paychex Inc,PAYX,0.078%
Centene Corp,CNC,0.0779%
PPL Corp,PPL,0.0779%
Nucor Corp,NUE,0.0774%
Microchip Technology Inc,MCHP,0.0763%
IHS Markit Ltd,INFO,0.0759%
Eversource Energy,ES,0.0757%
Tyson Foods Inc,TSN,0.0755%
Best Buy Co Inc,BBY,0.0755%
Fleetcor Technologies Inc,FLT,0.0746%
DTE Energy Co,DTE,0.0743%
Ventas Inc,VTR,0.0743%
Boston Properties Inc,BXP,0.0742%
Hartford Financial Services Group Inc,HIG,0.0735%
United Continental Holdings Inc,UAL,0.0732%
Royal Caribbean Cruises Ltd,RCL,0.0731%
American Airlines Group Inc,AAL,0.0726%
SBA Communications Corp,SBAC,0.0723%
Willis Towers Watson PLC,WLTW,0.072%
NetApp Inc,NTAP,0.0717%
Motorola Solutions Inc,MSI,0.0705%
CenturyLink Inc,CTL,0.0704%
Harris Corp,HRS,0.0701%
Laboratory Corporation of America Holdings,LH,0.0699%
TD Ameritrade Holding Corp,AMTD,0.0699%
Palo Alto Networks Inc,PANW,0.0698%
Symantec Corp,SYMC,0.0693%
T-Mobile US Inc,TMUS,0.0692%
Global Payments Inc,GPN,0.0691%
Workday Inc,WDAY,0.0689%
Autozone Inc,AZO,0.0688%
Omnicom Group Inc,OMC,0.0682%
Xilinx Inc,XLNX,0.0666%
Cerner Corp,CERN,0.0664%
Skyworks Solutions Inc,SWKS,0.066%
IDEXX Laboratories Inc,IDXX,0.0659%
Textron Inc,TXT,0.0656%
Hess Corp,HES,0.0652%
E*TRADE Financial Corp,ETFC,0.0648%
CBS Corp,CBS,0.0648%
Comerica Inc,CMA,0.0643%
Ametek Inc,AME,0.0641%
KLA-Tencor Corp,KLAC,0.0641%
Citrix Systems Inc,CTXS,0.0641%
Noble Energy Inc,NBL,0.064%
Twenty-First Century Fox Inc,FOX,0.0636%
MGM Resorts International,MGM,0.0626%
SVB Financial Group,SIVB,0.0626%
Essex Property Trust Inc,ESS,0.0623%
Huntington Bancshares Inc,HBAN,0.0622%
Apache Corp,APA,0.0622%
Marathon Oil Corp,MRO,0.0622%
IQVIA Holdings Inc,IQV,0.0621%
Maxim Integrated Products Inc,MXIM,0.0621%
