VEA: Vanguard FTSE Developed Markets ETF
Inception Date: 2007-07-26
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	71693200
Shares Outstanding: 1604590000
Expense Ratio: 0.07%
Tracks This Index: MSCI EAFE Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VEA


Holding,Symbol,Weighting
Nestle SA,NESN,1.1859%
Samsung Electronics Co Ltd,SMSN,1.1799%
HSBC Holdings PLC,HSBA,1.0033%
Novartis AG,NOVN,0.8172%
Toyota Motor Corp,7203,0.8161%
Royal Dutch Shell PLC,RDSA,0.798%
BP PLC,BP.,0.7227%
Total SA,FP,0.6762%
Royal Dutch Shell PLC,RDSB,0.6698%
British American Tobacco PLC,BATS,0.6141%
Roche Holding AG,ROG,0.5951%
AIA Group Ltd,1299,0.5395%
GlaxoSmithKline PLC,GSK,0.5329%
Royal Bank of Canada,RY,0.5012%
Banco Santander SA,SAN,0.5001%
Toronto-Dominion Bank,TD,0.4927%
Bayer AG,BAYN,0.4916%
SAP SE,SAP,0.4884%
Allianz SE,ALV,0.4707%
Siemens AG,SIE,0.4686%
Commonwealth Bank of Australia,CBA,0.4644%
BASF SE,BAS,0.4526%
AstraZeneca PLC,AZN,0.4515%
Diageo PLC,DGE,0.4329%
Novo Nordisk A/S,NOVO.B,0.4289%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.4267%
Mitsubishi UFJ Financial Group Inc,8306,0.4131%
Unilever NV,UNA,0.4115%
BNP Paribas SA,BNP,0.4068%
Vodafone Group PLC,VOD,0.3882%
ASML Holding NV,ASML,0.3821%
BHP Billiton Ltd,BHP,0.3644%
Bank of Nova Scotia,BNS,0.3598%
Westpac Banking Corp,WBC,0.3567%
Daimler AG,DAI,0.352%
Anheuser Busch Inbev NV,ABI,0.3518%
Prudential PLC,PRU,0.3345%
Rio Tinto PLC,RIO,0.3216%
Airbus SE,AIR,0.3199%
ING Groep NV,INGA,0.3172%
Unilever PLC,ULVR,0.3166%
Lloyds Banking Group PLC,LLOY,0.3145%
SoftBank Group Corp,9984,0.3108%
Suncor Energy Inc,SU,0.3066%
CSL Ltd,CSL,0.2966%
National Australia Bank Ltd,NAB,0.2904%
Sony Corp,6758,0.2895%
Australia and New Zealand Banking Group Ltd,ANZ,0.2875%
Glencore PLC,GLEN,0.2858%
Honda Motor Co Ltd,7267,0.2814%
Keyence Corp,6861,0.2771%
Sumitomo Mitsui Financial Group Inc,8316,0.2735%
L'Oreal SA,OR,0.2735%
Canadian National Railway Co,CNR,0.27%
Deutsche Telekom AG,DTE,0.2678%
AXA SA,CS,0.2668%
UBS Group AG,UBSG,0.2662%
Banco Bilbao Vizcaya Argentaria S.A.,BBVA,0.2555%
Air Liquide SA,AI,0.255%
Enbridge Inc,ENB,0.2516%
Adidas AG,ADS,0.2494%
Reckitt Benckiser Group PLC,RB.,0.2396%
UniCredit SpA,UCG,0.2394%
Barclays PLC,BARC,0.239%
Compagnie Financiere Richemont SA,CFR,0.2388%
KDDI Corp,9433,0.2364%
Bank of Montreal,BMO,0.2284%
Enel SpA,ENEL,0.2263%
Telefonica SA,TEF,0.2253%
Danone SA,BN,0.2252%
Volkswagen AG,VOW3,0.2235%
Mizuho Financial Group Inc,8411,0.2232%
Vinci SA,DG,0.2224%
BHP Billiton PLC,BLT,0.2223%
Zurich Insurance Group AG,ZURN,0.2189%
ABB Ltd,ABBN,0.2161%
Eni SpA,ENI,0.2158%
Kering SA,KER,0.2154%
Shin-Etsu Chemical Co Ltd,4063,0.2139%
Canadian Natural Resources Ltd,CNQ,0.2134%
Roche Holding AG,RO,0.212%
SK Hynix Inc,000660,0.2096%
Credit Suisse Group AG,CSGN,0.2073%
Nidec Corp,6594,0.2073%
Hong Kong Exchanges and Clearing Ltd,388,0.2065%
Iberdrola SA,IBE,0.2058%
DBS Group Holdings Ltd,D05,0.2047%
Linde AG,LINU,0.2035%
Societe Generale SA,GLE,0.2005%
Fast Retailing Co Ltd,9983,0.2002%
National Grid PLC,NG.,0.1962%
Deutsche Post AG,DPW,0.1927%
Fanuc Corp,6954,0.1924%
Shire PLC,SHP,0.1923%
Koninklijke Philips NV,PHIA,0.1904%
Nintendo Co Ltd,7974,0.1879%
Bayerische Motoren Werke AG,BMW,0.1863%
TransCanada Corp,TRP,0.1862%
Compass Group PLC,CPG,0.1789%
Canadian Imperial Bank of Commerce,CM,0.1783%
Central Japan Railway Co,9022,0.1768%
Wesfarmers Ltd,WES,0.176%
Hitachi Ltd,6501,0.1758%
Mitsubishi Corp,8058,0.1736%
Orange SA,ORA,0.173%
Oversea-Chinese Banking Corporation Ltd,O39,0.1727%
East Japan Railway Co,9020,0.1708%
Imperial Brands PLC,IMB,0.1708%
Hyundai Motor Co,005385,0.1704%
Atlas Copco AB,ATCO.A,0.1701%
Tokio Marine Holdings Inc,8766,0.169%
Canon Inc,7751,0.1689%
Tokyo Electron Ltd,8035,0.1687%
Manulife Financial Corp,MFC,0.1679%
SMC Corp,6273,0.1679%
Pernod Ricard SA,RI,0.1665%
Industria de Diseno Textil SA,ITX,0.1635%
CK Hutchison Holdings Ltd,1,0.1633%
Japan Tobacco Inc,2914,0.1613%
Safran SA,SAF,0.1599%
Nokia Oyj,NOKIA,0.1594%
Samsung Electronics Co Ltd,005935,0.1584%
Brookfield Asset Management Inc,BAM.A,0.1581%
Fresenius SE & Co KGaA,FRE,0.1571%
Nordea Bank AB,NDA.SEK,0.1567%
Daikin Industries Ltd,6367,0.156%
Kao Corp,4452,0.1554%
Seven & i Holdings Co Ltd,3382,0.1554%
Tesco PLC,TSCO,0.1554%
Infineon Technologies AG,IFX,0.1532%
CRH PLC,CRH,0.1514%
United Overseas Bank Ltd,U11,0.1504%
Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,MUV2,0.1502%
Panasonic Corp,6752,0.1502%
Nutrien Ltd,NTR,0.15%
Mitsui & Co Ltd,8031,0.1485%
Komatsu Ltd,6301,0.1478%
Takeda Pharmaceutical Co Ltd,4502,0.1476%
Vivendi SA,VIV,0.1476%
Nippon Telegraph and Telephone Corp,9432,0.1475%
Aviva PLC,AV.,0.147%
NTT Docomo Inc,9437,0.1465%
Astellas Pharma Inc,4503,0.1464%
Mitsubishi Electric Corp,6503,0.1441%
Koninklijke Ahold Delhaize NV,AD,0.1435%
Otsuka Holdings Co Ltd,4578,0.1435%
Amadeus IT Group SA,AMS,0.1424%
Intesa Sanpaolo SpA,ISPR,0.1422%
Standard Chartered PLC,STAN,0.1406%
Itochu Corp,8001,0.1395%
BT Group PLC,BT.A,0.139%
Essilor International SA,EI,0.138%
Swiss Re AG,SREN,0.1376%
Recruit Holdings Co Ltd,6098,0.1371%
Continental AG,CON,0.1338%
BAE Systems PLC,BA.,0.1337%
Denso Corp,6902,0.1326%
Compagnie de Saint Gobain SA,SGO,0.1314%
Woolworths Group Ltd,WOW,0.1294%
Compagnie Generale des Etablissements Michelin SCA,ML,0.1281%
Deutsche Boerse AG,DB1,0.1281%
Bridgestone Corp,5108,0.1279%
Lafargeholcim Ltd,LHN,0.1278%
Deutsche Bank AG,DBK,0.1276%
Vonovia SE,VNA,0.1257%
Fiat Chrysler Automobiles NV,FCA,0.1252%
Engie SA,ENGI,0.1248%
Posco,005490,0.1234%
Assicurazioni Generali SpA,G,0.1226%
Macquarie Group Ltd,MQG,0.1218%
Danske Bank A/S,DANSKE,0.1206%
KB Financial Group Inc,105560,0.1204%
Canadian Pacific Railway Ltd,CP,0.1202%
Suzuki Motor Corp,7269,0.1195%
Sun Life Financial Inc,SLF,0.1189%
Anglo American PLC,AAL,0.1189%
Telefonaktiebolaget LM Ericsson,ERIC.B,0.1169%
Volvo AB,VOLV.B,0.1166%
Woodside Petroleum Ltd,WPL,0.1165%
KBC Groep NV,KBC,0.1164%
CK Asset Holdings Ltd,1113,0.1153%
Dai-ichi Life Holdings Inc,8750,0.115%
Unibail Rodamco SE,UL,0.1147%
Daiwa House Industry Co Ltd,1925,0.1143%
Shiseido Co Ltd,4911,0.1142%
Kirin Holdings Co Ltd,2503,0.1128%
Orix Corp,8591,0.1127%
Mitsui Fudosan Co Ltd,8801,0.1125%
E.ON SE,EOAN,0.1122%
Relx PLC,REL,0.1122%
Legal & General Group PLC,LGEN,0.1108%
Repsol SA,REP,0.1102%
Swedbank AB,SWED.A,0.1101%
Kyocera Corp,6971,0.1097%
Legrand SA,LR,0.1094%
Daiichi Sankyo Co Ltd,4568,0.1089%
Akzo Nobel NV,AKZA,0.1077%
WPP PLC,WPP,0.1072%
Sampo Oyj,SAMPO,0.1071%
Henkel AG & Co KgaA,HEN,0.107%
Fresenius Medical Care AG & Co KGaA,FME,0.1066%
Relx NV,REN,0.1065%
Experian PLC,EXPN,0.106%
Shinhan Financial Group Co Ltd,055550,0.1059%
