VEU: Vanguard FTSE All-World ex-US ETF
Inception Date: 2007-03-08
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	23584679
Shares Outstanding: 433701000
Expense Ratio: 0.11%
Tracks This Index: FTSE All-World ex US Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VEU


Holding,Symbol,Weighting
Tencent Holdings Ltd,700,1.2447%
Samsung Electronics Co Ltd,SMSN,1.0348%
Nestle SA,NESN,0.9877%
HSBC Holdings PLC,HSBA,0.8895%
Taiwan Semiconductor Manufacturing Co Ltd,TSM,0.7875%
Toyota Motor Corp,7203,0.7183%
Novartis AG,NOVN,0.7087%
Royal Dutch Shell PLC,RDSA,0.7064%
Alibaba Group Holding Ltd,BABA,0.656%
BP PLC,BP.,0.6393%
Total SA,FP,0.5973%
Royal Dutch Shell PLC,RDSB,0.5927%
British American Tobacco PLC,BATS,0.5449%
Roche Holding AG,ROG,0.5258%
AIA Group Ltd,1299,0.478%
Banco Santander SA,SAN,0.4576%
Naspers Ltd,NPN,0.4527%
Bayer AG,BAYN,0.4504%
China Construction Bank Corp,939,0.4361%
GlaxoSmithKline PLC,GSK,0.4292%
Allianz SE,ALV,0.4219%
Siemens AG,SIE,0.4054%
SAP SE,SAP,0.4039%
AstraZeneca PLC,AZN,0.4%
BASF SE,BAS,0.3923%
Diageo PLC,DGE,0.3831%
Royal Bank of Canada,RY,0.3828%
Toronto-Dominion Bank,TD,0.3827%
Commonwealth Bank of Australia,CBA,0.3819%
Keyence Corp,6861,0.3795%
Novo Nordisk A/S,NOVO.B,0.3703%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.3659%
Mitsubishi UFJ Financial Group Inc,8306,0.3639%
Unilever NV,UNA,0.3614%
BNP Paribas SA,BNP,0.3448%
Vodafone Group PLC,VOD,0.3434%
ASML Holding NV,ASML,0.3293%
BHP Billiton Ltd,BHP,0.3201%
Anheuser Busch Inbev NV,ABI,0.3164%
Industrial and Commercial Bank of China Ltd,1398,0.3132%
Prudential PLC,PRU,0.2963%
