VGT: Vanguard Information Technology ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	18605852
Shares Outstanding: 107511000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Information Technology 25/50 Index
ETFdb.com Category: Technology Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VGT


Holding,Symbol,Weighting
Apple Inc,AAPL,13.7371%
Microsoft Corp,MSFT,10.3852%
Facebook Inc,FB,6.3607%
Alphabet Inc,GOOG,4.8774%
Alphabet Inc,GOOGL,4.6482%
Intel Corp,INTC,3.7094%
Visa Inc,V,3.4731%
Cisco Systems Inc,CSCO,3.2856%
Mastercard Inc,MA,2.6457%
Oracle Corp,ORCL,2.1585%
NVIDIA Corp,NVDA,2.0766%
International Business Machines Corp,IBM,1.8998%
Adobe Systems Inc,ADBE,1.6506%
Texas Instruments Inc,TXN,1.5373%
Broadcom Inc,AVGO,1.4116%
Accenture PLC,ACN,1.4038%
Salesforce.com Inc,CRM,1.2775%
PayPal Holdings Inc,PYPL,1.2418%
Qualcomm Inc,QCOM,1.1222%
Automatic Data Processing Inc,ADP,0.821%
Applied Materials Inc,AMAT,0.8164%
Micron Technology Inc,MU,0.8019%
Activision Blizzard Inc,ATVI,0.7445%
Cognizant Technology Solutions Corp,CTSH,0.7279%
Intuit Inc,INTU,0.6833%
eBay Inc,EBAY,0.5594%
Electronic Arts Inc,EA,0.5553%
HP Inc,HPQ,0.5454%
Fidelity National Information Services Inc,FIS,0.4985%
Analog Devices Inc,ADI,0.4939%
TE Connectivity Ltd,TEL,0.4901%
Lam Research Corp,LRCX,0.4643%
DXC Technology Co,DXC,0.4394%
Red Hat Inc,RHT,0.436%
Fiserv Inc,FISV,0.4356%
ServiceNow Inc,NOW,0.4323%
Hewlett Packard Enterprise Co,HPE,0.4139%
Amphenol Corp,APH,0.3881%
Autodesk Inc,ADSK,0.3735%
Worldpay Inc,WP,0.3679%
Corning Inc,GLW,0.3518%
Western Digital Corp,WDC,0.3442%
Microchip Technology Inc,MCHP,0.2998%
Paychex Inc,PAYX,0.298%
Twitter Inc,TWTR,0.2923%
Fleetcor Technologies Inc,FLT,0.287%
Palo Alto Networks Inc,PANW,0.2728%
NetApp Inc,NTAP,0.2726%
Global Payments Inc,GPN,0.2706%
Motorola Solutions Inc,MSI,0.2637%
Workday Inc,WDAY,0.2629%
Symantec Corp,SYMC,0.262%
Skyworks Solutions Inc,SWKS,0.2534%
Xilinx Inc,XLNX,0.2483%
KLA-Tencor Corp,KLAC,0.2432%
Seagate Technology PLC,STX,0.2402%
Citrix Systems Inc,CTXS,0.2389%
Maxim Integrated Products Inc,MXIM,0.2344%
Splunk Inc,SPLK,0.219%
Dell Technologies Inc,DVMT,0.2173%
Mercadolibre Inc,MELI,0.2157%
ANSYS Inc,ANSS,0.2079%
Total System Services Inc,TSS,0.2078%
Square Inc,SQ,0.1979%
Synopsys Inc,SNPS,0.1968%
Arista Networks Inc,ANET,0.1902%
Broadridge Financial Solutions Inc,BR,0.1886%
Akamai Technologies Inc,AKAM,0.1838%
Take-Two Interactive Software Inc,TTWO,0.1818%
CDW Corp,CDW,0.1758%
Cadence Design Systems Inc,CDNS,0.1709%
Gartner Inc,IT,0.1645%
CA Inc,CA,0.1617%
Verisign Inc,VRSN,0.1583%
F5 Networks Inc,FFIV,0.157%
SS&C Technologies Holdings Inc,SSNC,0.1529%
Alliance Data Systems Corp,ADS,0.152%
IAC/InterActiveCorp,IAC,0.151%
PTC Inc,PTC,0.1467%
Keysight Technologies Inc,KEYS,0.1444%
ON Semiconductor Corp,ON,0.1426%
Qorvo Inc,QRVO,0.1424%
Juniper Networks Inc,JNPR,0.1417%
VMware Inc,VMW,0.1409%
Jack Henry & Associates Inc,JKHY,0.139%
Advanced Micro Devices Inc,AMD,0.1364%
GoDaddy Inc,GDDY,0.1358%
Leidos Holdings Inc,LDOS,0.1348%
Western Union Co,WU,0.1339%
Trimble Inc,TRMB,0.131%
IPG Photonics Corp,IPGP,0.1308%
Fortinet Inc,FTNT,0.1254%
First Data Corp,FDC,0.1251%
Marvell Technology Group Ltd,MRVL,0.1226%
CDK Global Inc,CDK,0.1205%
GrubHub Inc,GRUB,0.1193%
Cognex Corp,CGNX,0.1187%
Tyler Technologies Inc,TYL,0.1165%
Microsemi Corp,MSCC,0.1155%
FLIR Systems Inc,FLIR,0.1133%
Ultimate Software Group Inc,ULTI,0.1097%
Flex Ltd,FLEX,0.1096%
Zebra Technologies Corp,ZBRA,0.1077%
Teradyne Inc,TER,0.1024%
Arrow Electronics Inc,ARW,0.1011%
Black Knight Inc,BKI,0.1005%
Guidewire Software Inc,GWRE,0.0972%
Aspen Technology Inc,AZPN,0.097%
Xerox Corp,XRX,0.0964%
WEX Inc,WEX,0.0932%
LogMeIn Inc,LOGM,0.09%
MKS Instruments Inc,MKSI,0.0891%
EPAM Systems Inc,EPAM,0.0874%
Booz Allen Hamilton Holding Corp,BAH,0.087%
Nutanix Inc,NTNX,0.0855%
Tableau Software Inc,DATA,0.0827%
Zillow Group Inc,Z,0.0822%
CommScope Holding Company Inc,COMM,0.0821%
Littelfuse Inc,LFUS,0.081%
Zendesk Inc,ZEN,0.0807%
First Solar Inc,FSLR,0.0802%
Proofpoint Inc,PFPT,0.08%
