Symbol,Name,Last,Name,Exchange,Industry,Sector,"ETF Full Name","Fund Family","Asset Class","Contract Name"
AAL,"American Airlines Gp",42.86,"American Airlines Gp",NASDAQ,"Transportation - Airline",Transportation,N/A,N/A,N/A,N/A
AAPL,"Apple Inc",183.83,"Apple Inc",NASDAQ,"Computer - Mini","Computers and Technology",N/A,N/A,N/A,N/A
ADBE,"Adobe Systems Inc",228.51,"Adobe Systems Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
ADI,"Analog Devices",90.27,"Analog Devices",NASDAQ,"Semi Analog & Mixed","Computers and Technology",N/A,N/A,N/A,N/A
ADP,"Automatic Data Procs",125.36,"Automatic Data Procs",NASDAQ,Outsourcing,"Business Services",N/A,N/A,N/A,N/A
ADSK,"Autodesk Inc",129.46,"Autodesk Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
ALGN,"Align Technology I",258.97,"Align Technology I",NASDAQ,"Medical - Dental Suppliers",Medical,N/A,N/A,N/A,N/A
ALXN,"Alexion Pharm Inc",116.81,"Alexion Pharm Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
AMAT,"Applied Materials",52.56,"Applied Materials",NASDAQ,"Semi-Eqpt Wafer Fabrication","Computers and Technology",N/A,N/A,N/A,N/A
AMGN,Amgen,167.98,Amgen,NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
AMZN,"Amazon.Com Inc",1580.95,"Amazon.Com Inc",NASDAQ,"Internet Commerce",Retail-Wholesale,N/A,N/A,N/A,N/A
ASML,"Asml Hldg NY Reg",195.51,"Asml Hldg NY Reg",NASDAQ,"Semi-Eqpt Wafer Fabrication","Computers and Technology",N/A,N/A,N/A,N/A
ATVI,"Activision Blizzard",69.84,"Activision Blizzard",NASDAQ,"Toys & Game & Hobby","Consumer Discretionary",N/A,N/A,N/A,N/A
AVGO,"Broadcom Ltd",230.52,"Broadcom Ltd",NASDAQ,"Electronics - Semiconductors","Computers and Technology",N/A,N/A,N/A,N/A
BIDU,"Baidu Inc",251.73,"Baidu Inc",NASDAQ,"Internet - Services","Computers and Technology",N/A,N/A,N/A,N/A
BIIB,"Biogen Inc",270.34,"Biogen Inc",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
BKNG,"Booking Holdings Inc.",2175.71,"Booking Holdings Inc.",NASDAQ,"Internet Commerce",Retail-Wholesale,N/A,N/A,N/A,N/A
BMRN,"Biomarin Pharmaceut",85.38,"Biomarin Pharmaceut",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
CA,"CA Inc",34.71,"CA Inc",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
CDNS,"Cadence Design Sys",40.8,"Cadence Design Sys",NASDAQ,"Computer - Software","Computers and Technology",N/A,N/A,N/A,N/A
CELG,"Celgene Corp",86.89,"Celgene Corp",NASDAQ,"Medical - Biomedical",Medical,N/A,N/A,N/A,N/A
CERN,"Cerner Corp",57.24,"Cerner Corp",NASDAQ,"Medical Information Systems",Medical,N/A,N/A,N/A,N/A
CHKP,"Check Point Software",98.66,"Check Point Software",NASDAQ,Security,"Computers and Technology",N/A,N/A,N/A,N/A
CHTR,"Charter Communicatio",276.07,"Charter Communicatio",NASDAQ,"Cable TV","Consumer Discretionary",N/A,N/A,N/A,N/A
