DIA: SPDR Dow Jones Industrial Average ETF
Inception Date: 1998-01-14
Fund Holdings as of: 2018-05-01
Total Assets Under Management (in thousands):	20566019
Shares Outstanding: 85392000
Expense Ratio: 0.17%
Tracks This Index: Dow Jones Industrial Average
ETFdb.com Category: Large Cap Growth Equities
Issuer: State Street SPDR
Structure: UIT
ETF Home Page: http://etfdb.com/etf/DIA


Holding,Symbol,Weighting
Boeing Co,BA,9.4139%
UnitedHealth Group Inc,UNH,6.766%
Goldman Sachs Group Inc,GS,6.7609%
3M Co,MMM,5.5711%
Home Depot Inc,HD,5.2743%
Apple Inc,AAPL,4.8306%
McDonald's Corp,MCD,4.6689%
International Business Machines Corp,IBM,4.1422%
Caterpillar Inc,CAT,4.1256%
Travelers Companies Inc,TRV,3.7448%
Visa Inc,V,3.6425%
Johnson & Johnson,JNJ,3.5997%
Chevron Corp,CVX,3.5668%
United Technologies Corp,UTX,3.3983%
JPMorgan Chase & Co,JPM,3.1075%
Walt Disney Co,DIS,2.8584%
American Express Co,AXP,2.8161%
Microsoft Corp,MSFT,2.7138%
Walmart Inc,WMT,2.497%
Exxon Mobil Corp,XOM,2.1982%
Procter & Gamble Co,PG,2.0557%
Nike Inc,NKE,1.9454%
DowDuPont Inc,DWDP,1.8014%
Merck & Co Inc,MRK,1.6563%
Intel Corp,INTC,1.5235%
Verizon Communications Inc,VZ,1.3946%
Cisco Systems Inc,CSCO,1.2806%
Coca-Cola Co,KO,1.2167%
Pfizer Inc,PFE,1.0113%
General Electric Co,GE,0.4014%
Cash Component,CASH,0.0166%
