DVY: iShares Select Dividend ETF
Inception Date: 2003-11-03
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	16643990
Shares Outstanding: 174050000
Expense Ratio: 0.39%
Tracks This Index: Dow Jones U.S. Select Dividend Index
ETFdb.com Category: Large Cap Value Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/DVY


Holding,Symbol,Weighting
CenturyLink Inc,CTL,2.2885%
ONEOK Inc,OKE,2.048%
Ford Motor Co,F,2.0245%
PPL Corp,PPL,2.0185%
Occidental Petroleum Corp,OXY,1.8784%
Entergy Corp,ETR,1.6949%
FirstEnergy Corp,FE,1.6282%
AT&T Inc,T,1.6247%
Seagate Technology PLC,STX,1.557%
Chevron Corp,CVX,1.4986%
Valero Energy Corp,VLO,1.4649%
Edison International,EIX,1.4599%
Exxon Mobil Corp,XOM,1.4279%
HollyFrontier Corp,HFC,1.4025%
Public Service Enterprise Group Inc,PEG,1.4002%
Dominion Energy Inc,D,1.3899%
Exelon Corp,EXC,1.3867%
American Electric Power Company Inc,AEP,1.3675%
WEC Energy Group Inc,WEC,1.3505%
CenterPoint Energy Inc,CNP,1.328%
Xcel Energy Inc,XEL,1.2985%
Alliant Energy Corp,LNT,1.2965%
Eversource Energy,ES,1.2758%
Merck & Co Inc,MRK,1.2643%
CMS Energy Corp,CMS,1.2613%
DTE Energy Co,DTE,1.2466%
Altria Group Inc,MO,1.2369%
Pfizer Inc,PFE,1.2347%
L Brands Inc,LB,1.2184%
Kohls Corp,KSS,1.2115%
Macy's Inc,M,1.208%
LyondellBasell Industries NV,LYB,1.2027%
Newell Brands Inc,NWL,1.2%
International Business Machines Corp,IBM,1.1768%
Coca-Cola Co,KO,1.1761%
Pinnacle West Capital Corp,PNW,1.166%
Sempra Energy,SRE,1.1415%
Interpublic Group of Companies Inc,IPG,1.1323%
Western Union Co,WU,1.1305%
General Electric Co,GE,1.1287%
Target Corp,TGT,1.1163%
NiSource Inc,NI,1.1115%
Kimberly-Clark Corp,KMB,1.1076%
General Mills Inc,GIS,1.0957%
Nextera Energy Inc,NEE,1.0563%
Philip Morris International Inc,PM,1.0521%
Invesco Ltd,IVZ,1.0217%
Genuine Parts Co,GPC,1.0208%
Eli Lilly and Co,LLY,1.009%
Eaton Corporation PLC,ETN,0.9976%
International Paper Co,IP,0.9876%
Qualcomm Inc,QCOM,0.9576%
Helmerich and Payne Inc,HP,0.9572%
CF Industries Holdings Inc,CF,0.9209%
McDonald's Corp,MCD,0.9174%
Darden Restaurants Inc,DRI,0.9139%
Emerson Electric Co,EMR,0.9006%
Cincinnati Financial Corp,CINF,0.8879%
Great Plains Energy Inc,GXP,0.884%
Lazard Ltd,LAZ,0.8833%
Garmin Ltd,GRMN,0.872%
OGE Energy Corp,OGE,0.864%
ConocoPhillips,COP,0.8624%
Sysco Corp,SYY,0.8565%
Intel Corp,INTC,0.8424%
PacWest Bancorp,PACW,0.8263%
Arthur J Gallagher & Co,AJG,0.7953%
BB&T Corp,BBT,0.7927%
WestRock Co,WRK,0.7851%
People's United Financial Inc,PBCT,0.783%
New York Community Bancorp Inc,NYCB,0.7095%
Waste Management Inc,WM,0.6932%
Lockheed Martin Corp,LMT,0.6905%
Packaging Corp of America,PKG,0.6822%
Leggett & Platt Inc,LEG,0.6692%
Olin Corp,OLN,0.6596%
Caterpillar Inc,CAT,0.6499%
Sonoco Products Co,SON,0.6477%
SCANA Corp,SCG,0.6437%
H & R Block Inc,HRB,0.636%
Watsco Inc,WSO,0.6283%
Huntsman Corp,HUN,0.625%
Old Republic International Corp,ORI,0.6184%
Idacorp Inc,IDA,0.6057%
Cinemark Holdings Inc,CNK,0.5453%
F.N.B. Corp,FNB,0.5165%
NU Skin Enterprises Inc,NUS,0.4623%
New Jersey Resources Corp,NJR,0.4614%
Bank of Hawaii Corp,BOH,0.4403%
United Bankshares Inc,UBSI,0.439%
Avista Corp,AVA,0.4382%
Valley National Bancorp,VLY,0.4091%
Black Hills Corp,BKH,0.3943%
Domtar Corp,UFS,0.3605%
NorthWestern Corp,NWE,0.3529%
Federated Investors Inc,FII,0.2942%
Tupperware Brands Corp,TUP,0.2877%
Meredith Corp,MDP,0.2672%
Trustmark Corp,TRMK,0.26%
Pitney Bowes Inc,PBI,0.2094%
Cash Component,CASH,0.1779%
