EWJ: iShares MSCI Japan ETF
Inception Date: 1996-03-12
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	21170675
Shares Outstanding: 351450000
Expense Ratio: 0.49%
Tracks This Index: MSCI Japan Index
ETFdb.com Category: Japan Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/EWJ


Holding,Symbol,Weighting
Toyota Motor Corp,7203,4.6867%
Mitsubishi UFJ Financial Group Inc,8306,2.1083%
SoftBank Group Corp,9984,1.7087%
Sony Corp,6758,1.5857%
Honda Motor Co Ltd,7267,1.5389%
Sumitomo Mitsui Financial Group Inc,8316,1.4887%
Keyence Corp,6861,1.3712%
Cash Component,CASH,1.321%
KDDI Corp,9433,1.316%
Mizuho Financial Group Inc,8411,1.1738%
Mitsubishi Corp,8058,1.1349%
Hitachi Ltd,6501,1.0437%
Nidec Corp,6594,1.0258%
Shin-Etsu Chemical Co Ltd,4063,1.0175%
Canon Inc,7751,0.9877%
Fanuc Corp,6954,0.952%
NTT Docomo Inc,9437,0.9476%
Nintendo Co Ltd,7974,0.9294%
Kao Corp,4452,0.9226%
Seven & i Holdings Co Ltd,3382,0.9128%
Tokio Marine Holdings Inc,8766,0.8884%
Nippon Telegraph and Telephone Corp,9432,0.886%
Panasonic Corp,6752,0.8722%
East Japan Railway Co,9020,0.8449%
Komatsu Ltd,6301,0.8409%
Mitsui & Co Ltd,8031,0.8398%
Tokyo Electron Ltd,8035,0.8348%
Japan Tobacco Inc,2914,0.8287%
Astellas Pharma Inc,4503,0.8219%
Takeda Pharmaceutical Co Ltd,4502,0.8215%
Itochu Corp,8001,0.7983%
Mitsubishi Electric Corp,6503,0.7779%
Daikin Industries Ltd,6367,0.7719%
Bridgestone Corp,5108,0.7234%
Recruit Holdings Co Ltd,6098,0.7045%
Denso Corp,6902,0.6906%
Orix Corp,8591,0.6574%
Central Japan Railway Co,9022,0.6562%
Kirin Holdings Co Ltd,2503,0.6511%
Nissan Motor Co Ltd,7201,0.6467%
Shiseido Co Ltd,4911,0.6357%
Mitsubishi Estate Co Ltd,8802,0.6213%
Mitsui Fudosan Co Ltd,8801,0.6123%
Dai-ichi Life Holdings Inc,8750,0.5908%
Hoya Corp,7741,0.5889%
Murata Manufacturing Co Ltd,6981,0.5772%
Sumitomo Corp,8053,0.5729%
Otsuka Holdings Co Ltd,4578,0.5706%
Daiwa House Industry Co Ltd,1925,0.5655%
Asahi Group Holdings Ltd,2502,0.5622%
Subaru Corp,7270,0.5611%
Oriental Land Co Ltd,4661,0.5527%
Nomura Holdings Inc,8604,0.5523%
