IVE: iShares S&P 500 Value ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	15461827
Shares Outstanding: 142400000
Expense Ratio: 0.18%
Tracks This Index: S&P 500 Value Index
ETFdb.com Category: Large Cap Value Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IVE


Holding,Symbol,Weighting
Berkshire Hathaway Inc,BRK.B,3.5215%
JPMorgan Chase & Co,JPM,3.5065%
Exxon Mobil Corp,XOM,3.081%
Chevron Corp,CVX,2.2699%
Wells Fargo & Co,WFC,2.1697%
Verizon Communications Inc,VZ,1.8664%
AT&T Inc,T,1.8637%
Citigroup Inc,C,1.6543%
Johnson & Johnson,JNJ,1.4422%
DowDuPont Inc,DWDP,1.4069%
Bank of America Corp,BAC,1.3932%
Walmart Inc,WMT,1.1864%
General Electric Co,GE,1.1657%
International Business Machines Corp,IBM,1.1545%
Cisco Systems Inc,CSCO,1.0801%
Procter & Gamble Co,PG,1.0663%
Pfizer Inc,PFE,1.0617%
Intel Corp,INTC,0.9963%
Merck & Co Inc,MRK,0.9214%
Schlumberger NV,SLB,0.8992%
Coca-Cola Co,KO,0.8406%
United Technologies Corp,UTX,0.8338%
Costco Wholesale Corp,COST,0.8076%
Goldman Sachs Group Inc,GS,0.7846%
Walt Disney Co,DIS,0.7523%
U.S. Bancorp,USB,0.7411%
ConocoPhillips,COP,0.7282%
Time Warner Inc,TWX,0.6871%
Comcast Corp,CMCSA,0.6866%
Morgan Stanley,MS,0.6752%
PepsiCo Inc,PEP,0.668%
PNC Financial Services Group Inc,PNC,0.6401%
Oracle Corp,ORCL,0.6379%
CVS Health Corp,CVS,0.634%
Philip Morris International Inc,PM,0.5887%
Medtronic PLC,MDT,0.5844%
Chubb Ltd,CB,0.5843%
Danaher Corp,DHR,0.5795%
Occidental Petroleum Corp,OXY,0.5562%
Mondelez International Inc,MDLZ,0.5339%
Duke Energy Corp,DUK,0.5303%
Bank of New York Mellon Corp,BK,0.5161%
Walgreens Boots Alliance Inc,WBA,0.5135%
Allergan plc,AGN,0.473%
Union Pacific Corp,UNP,0.4691%
American International Group Inc,AIG,0.4667%
Valero Energy Corp,VLO,0.4611%
Qualcomm Inc,QCOM,0.4583%
Phillips 66,PSX,0.4556%
MetLife Inc,MET,0.4423%
Southern Co,SO,0.4413%
Altria Group Inc,MO,0.4411%
Amgen Inc,AMGN,0.44%
Halliburton Co,HAL,0.4354%
General Motors Co,GM,0.4327%
Honeywell International Inc,HON,0.4187%
EOG Resources Inc,EOG,0.4147%
Ford Motor Co,F,0.4144%
Capital One Financial Corp,COF,0.4107%
Prudential Financial Inc,PRU,0.4046%
Express Scripts Holding Co,ESRX,0.3956%
Caterpillar Inc,CAT,0.3922%
BB&T Corp,BBT,0.3895%
Humana Inc,HUM,0.3762%
United Parcel Service Inc,UPS,0.3706%
Exelon Corp,EXC,0.3689%
Target Corp,TGT,0.3685%
Twenty-First Century Fox Inc,FOXA,0.3667%
Nextera Energy Inc,NEE,0.3583%
Marathon Petroleum Corp,MPC,0.3409%
State Street Corp,STT,0.3403%
HP Inc,HPQ,0.3346%
Aflac Inc,AFL,0.3327%
Travelers Companies Inc,TRV,0.3309%
Accenture PLC,ACN,0.3248%
Delta Air Lines Inc,DAL,0.3231%
American Electric Power Company Inc,AEP,0.3224%
LyondellBasell Industries NV,LYB,0.3203%
Anadarko Petroleum Corp,APC,0.3201%
Pioneer Natural Resources Co,PXD,0.3182%
Johnson Controls International PLC,JCI,0.3102%
Kraft Heinz Co,KHC,0.3065%
Eaton Corporation PLC,ETN,0.3045%
McKesson Corp,MCK,0.3019%
SunTrust Banks Inc,STI,0.2957%
Bristol-Myers Squibb Co,BMY,0.295%
Kinder Morgan Inc,KMI,0.2908%
Gilead Sciences Inc,GILD,0.2907%
Sysco Corp,SYY,0.2858%
Eli Lilly and Co,LLY,0.2817%
Colgate-Palmolive Co,CL,0.278%
Nike Inc,NKE,0.2779%
Lockheed Martin Corp,LMT,0.2759%
TJX Companies Inc,TJX,0.2754%
Cash Component,CASH,0.2748%
Aetna Inc,AET,0.2735%
Starbucks Corp,SBUX,0.2715%
Sempra Energy,SRE,0.2682%
American Express Co,AXP,0.2661%
Weyerhaeuser Co,WY,0.2618%
Anthem Inc,ANTM,0.2575%
General Dynamics Corp,GD,0.2559%
M&T Bank Corp,MTB,0.2547%
Hewlett Packard Enterprise Co,HPE,0.2545%
Dominion Energy Inc,D,0.2536%
Monsanto Co,MON,0.2514%
BlackRock Inc,BLK,0.2465%
Public Service Enterprise Group Inc,PEG,0.2455%
FedEx Corp,FDX,0.2437%
ONEOK Inc,OKE,0.2432%
Simon Property Group Inc,SPG,0.2404%
Emerson Electric Co,EMR,0.2403%
Discover Financial Services,DFS,0.2363%
Archer Daniels Midland Co,ADM,0.2349%
Consolidated Edison Inc,ED,0.2321%
PG&E Corp,PCG,0.2239%
Xcel Energy Inc,XEL,0.2237%
Concho Resources Inc,CXO,0.2236%
Synchrony Financial,SYF,0.2232%
Thermo Fisher Scientific Inc,TMO,0.2231%
Western Digital Corp,WDC,0.2164%
Fifth Third Bancorp,FITB,0.2154%
Cummins Inc,CMI,0.2153%
Raytheon Co,RTN,0.2148%
Air Products and Chemicals Inc,APD,0.2144%
Equity Residential,EQR,0.2141%
Lowe's Companies Inc,LOW,0.2103%
Norfolk Southern Corp,NSC,0.2098%
Paccar Inc,PCAR,0.2073%
Kroger Co,KR,0.2053%
Williams Companies Inc,WMB,0.2042%
KeyCorp,KEY,0.1987%
Newmont Mining Corp,NEM,0.1978%
Praxair Inc,PX,0.1978%
Regions Financial Corp,RF,0.1975%
International Paper Co,IP,0.1959%
Edison International,EIX,0.1957%
Welltower Inc,WELL,0.1927%
Freeport-McMoRan Inc,FCX,0.1923%
Cardinal Health Inc,CAH,0.1917%
Ecolab Inc,ECL,0.1913%
Devon Energy Corp,DVN,0.1908%
Tyson Foods Inc,TSN,0.1902%
Citizens Financial Group Inc,CFG,0.1896%
PPL Corp,PPL,0.1887%
Kimberly-Clark Corp,KMB,0.188%
Andeavor,ANDV,0.1863%
Deere & Co,DE,0.1862%
Nucor Corp,NUE,0.1831%
Best Buy Co Inc,BBY,0.1817%
Mylan NV,MYL,0.1795%
Eversource Energy,ES,0.1792%
DTE Energy Co,DTE,0.1775%
Ventas Inc,VTR,0.1765%
Hartford Financial Services Group Inc,HIG,0.1763%
Biogen Inc,BIIB,0.1717%
CenturyLink Inc,CTL,0.1699%
IHS Markit Ltd,INFO,0.1687%
Allstate Corp,ALL,0.1681%
CME Group Inc,CME,0.1671%
Marsh & McLennan Companies Inc,MMC,0.1647%
Northrop Grumman Corp,NOC,0.1641%
Omnicom Group Inc,OMC,0.1598%
United Continental Holdings Inc,UAL,0.1564%
Noble Energy Inc,NBL,0.1541%
Textron Inc,TXT,0.1541%
Huntington Bancshares Inc,HBAN,0.1531%
Twenty-First Century Fox Inc,FOX,0.1497%
General Mills Inc,GIS,0.1487%
Apache Corp,APA,0.1482%
Seagate Technology PLC,STX,0.1481%
Marathon Oil Corp,MRO,0.147%
Baxter International Inc,BAX,0.1466%
AmerisourceBergen Corp,ABC,0.1426%
Baker Hughes A GE Co,BHGE,0.1423%
WestRock Co,WRK,0.1413%
Eastman Chemical Co,EMN,0.1399%
Entergy Corp,ETR,0.1398%
Lincoln National Corp,LNC,0.1397%
Yum! Brands Inc,YUM,0.1389%
National Oilwell Varco Inc,NOV,0.138%
TechnipFMC PLC,FTI,0.1374%
Realty Income Corp,O,0.1366%
Conagra Brands Inc,CAG,0.1364%
L3 Technologies Inc,LLL,0.1358%
XL Group Ltd,XL,0.1353%
Host Hotels & Resorts Inc,HST,0.1349%
W W Grainger Inc,GWW,0.1345%
Aon PLC,AON,0.1339%
Ameren Corp,AEE,0.1333%
Carnival Corp,CCL,0.1331%
PPG Industries Inc,PPG,0.1324%
DXC Technology Co,DXC,0.1311%
Loews Corp,L,0.1308%
Quest Diagnostics Inc,DGX,0.1307%
Public Storage,PSA,0.1282%
Ball Corp,BLL,0.1276%
Hilton Worldwide Holdings Inc,HLT,0.1273%
Crown Castle International Corp,CCI,0.1263%
CMS Energy Corp,CMS,0.1252%
Newell Brands Inc,NWL,0.1236%
Dollar General Corp,DG,0.1225%
J M Smucker Co,SJM,0.1216%
Genuine Parts Co,GPC,0.1215%
AvalonBay Communities Inc,AVB,0.1198%
HCA Healthcare Inc,HCA,0.1188%
Fidelity National Information Services Inc,FIS,0.1179%
Ingersoll-Rand PLC,IR,0.1177%
Alexion Pharmaceuticals Inc,ALXN,0.1157%
EQT Corp,EQT,0.1156%
PVH Corp,PVH,0.1122%
WEC Energy Group Inc,WEC,0.1115%
Henry Schein Inc,HSIC,0.1114%
Dentsply Sirona Inc,XRAY,0.11%
C.H. Robinson Worldwide Inc,CHRW,0.1099%
Invesco Ltd,IVZ,0.1083%
Molson Coors Brewing Co,TAP,0.1061%
Dr Pepper Snapple Group Inc,DPS,0.1055%
Willis Towers Watson PLC,WLTW,0.1053%
HCP Inc,HCP,0.1041%
CenterPoint Energy Inc,CNP,0.1036%
Zions Bancorp,ZION,0.1027%
Whirlpool Corp,WHR,0.1023%
Autodesk Inc,ADSK,0.1015%
Hess Corp,HES,0.1008%
CA Inc,CA,0.1007%
Franklin Resources Inc,BEN,0.1007%
Mid-America Apartment Communities Inc,MAA,0.1%
Kohls Corp,KSS,0.0998%
Zimmer Biomet Holdings Inc,ZBH,0.0995%
Viacom Inc,VIAB,0.0989%
Cincinnati Financial Corp,CINF,0.0989%
Ross Stores Inc,ROST,0.0984%
Boston Properties Inc,BXP,0.0979%
Universal Health Services Inc,UHS,0.0976%
Northern Trust Corp,NTRS,0.0963%
Nielsen Holdings PLC,NLSN,0.0957%
O'Reilly Automotive Inc,ORLY,0.0956%
VF Corp,VFC,0.0954%
Duke Realty Corp,DRE,0.094%
Alliant Energy Corp,LNT,0.094%
Autozone Inc,AZO,0.0929%
Parker-Hannifin Corp,PH,0.0927%
Macy's Inc,M,0.0901%
Symantec Corp,SYMC,0.09%
Mosaic Co,MOS,0.09%
Hormel Foods Corp,HRL,0.0899%
Southwest Airlines Co,LUV,0.0885%
CBS Corp,CBS,0.0884%
Everest Re Group Ltd,RE,0.0883%
DaVita Inc,DVA,0.0876%
Kellogg Co,K,0.0856%
FirstEnergy Corp,FE,0.0852%
TE Connectivity Ltd,TEL,0.0845%
MGM Resorts International,MGM,0.084%
Unum Group,UNM,0.0835%
Pinnacle West Capital Corp,PNW,0.0834%
Interpublic Group of Companies Inc,IPG,0.0832%
SL Green Realty Corp,SLG,0.0822%
Digital Realty Trust Inc,DLR,0.0815%
Regency Centers Corp,REG,0.0813%
Juniper Networks Inc,JNPR,0.0812%
Advance Auto Parts Inc,AAP,0.0811%
NiSource Inc,NI,0.0809%
L Brands Inc,LB,0.0797%
Principal Financial Group Inc,PFG,0.0785%
Fluor Corp,FLR,0.0779%
Snap-On Inc,SNA,0.0776%
American Airlines Group Inc,AAL,0.077%
Comerica Inc,CMA,0.0764%
AES Corp,AES,0.0761%
Tapestry Inc,TPR,0.076%
Alaska Air Group Inc,ALK,0.0736%
Republic Services Inc,RSG,0.0735%
Campbell Soup Co,CPB,0.0729%
Coty Inc,COTY,0.0722%
Leucadia National Corp,LUK,0.072%
DISH Network Corp,DISH,0.0718%
Discovery Inc,DISCK,0.0718%
GGP Inc,GGP,0.0714%
Helmerich and Payne Inc,HP,0.0711%
Pentair PLC,PNR,0.0711%
Essex Property Trust Inc,ESS,0.0708%
Arconic Inc,ARNC,0.0704%
Fortive Corp,FTV,0.0698%
Stanley Black & Decker Inc,SWK,0.0695%
Laboratory Corporation of America Holdings,LH,0.0693%
Vulcan Materials Co,VMC,0.0691%
Akamai Technologies Inc,AKAM,0.0686%
Jacobs Engineering Group Inc,JEC,0.0659%
Martin Marietta Materials Inc,MLM,0.0653%
American Water Works Company Inc,AWK,0.0651%
Paychex Inc,PAYX,0.065%
Rockwell Automation Inc,ROK,0.0647%
Harley-Davidson Inc,HOG,0.0637%
Harris Corp,HRS,0.0622%
Chipotle Mexican Grill Inc,CMG,0.0621%
Xilinx Inc,XLNX,0.0612%
Perrigo Company PLC,PRGO,0.0604%
Gap Inc,GPS,0.0601%
Cimarex Energy Co,XEC,0.0599%
McCormick & Company Inc,MKC,0.0599%
People's United Financial Inc,PBCT,0.0599%
Clorox Co,CLX,0.0598%
Xerox Corp,XRX,0.0595%
Macerich Co,MAC,0.0594%
Royal Caribbean Cruises Ltd,RCL,0.0592%
Fastenal Co,FAST,0.0589%
Kimco Realty Corp,KIM,0.0585%
Arthur J Gallagher & Co,AJG,0.0582%
Dover Corp,DOV,0.0579%
Goodyear Tire & Rubber Co,GT,0.0574%
Raymond James Financial Inc,RJF,0.0571%
Lennar Corp,LEN,0.0569%
News Corp,NWSA,0.0567%
Advanced Micro Devices Inc,AMD,0.0564%
Alexandria Real Estate Equities Inc,ARE,0.0564%
Ameriprise Financial Inc,AMP,0.0563%
Tiffany & Co,TIF,0.0562%
Cabot Oil & Gas Corp,COG,0.0561%
Hershey Co,HSY,0.0561%
Flowserve Corp,FLS,0.0558%
Citrix Systems Inc,CTXS,0.0558%
Nordstrom Inc,JWN,0.0555%
IQVIA Holdings Inc,IQV,0.0553%
Ralph Lauren Corp,RL,0.055%
Carmax Inc,KMX,0.055%
Kansas City Southern,KSU,0.055%
Expedia Group Inc,EXPE,0.0548%
Verisk Analytics Inc,VRSK,0.0534%
Newfield Exploration Co,NFX,0.0524%
Equifax Inc,EFX,0.0519%
Western Union Co,WU,0.0511%
Leggett & Platt Inc,LEG,0.0511%
Nasdaq Inc,NDAQ,0.0502%
Torchmark Corp,TMK,0.05%
Church & Dwight Co Inc,CHD,0.0498%
Iron Mountain Inc,IRM,0.0495%
SCANA Corp,SCG,0.0494%
CF Industries Holdings Inc,CF,0.0489%
Foot Locker Inc,FL,0.0486%
Quanta Services Inc,PWR,0.0483%
Stericycle Inc,SRCL,0.0482%
Tractor Supply Co,TSCO,0.0477%
Expeditors International of Washington Inc,EXPD,0.0476%
Varian Medical Systems Inc,VAR,0.0471%
Acuity Brands Inc,AYI,0.0458%
Assurant Inc,AIZ,0.0446%
Affiliated Managers Group Inc,AMG,0.0445%
Brown-Forman Corp,BF.B,0.0436%
Brighthouse Financial Inc,BHF,0.0435%
Hasbro Inc,HAS,0.0431%
Mohawk Industries Inc,MHK,0.043%
