SPY: SPDR S&P 500 ETF
Inception Date: 1993-01-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	253878929
Shares Outstanding: 964682000
Expense Ratio: 0.0945%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: State Street SPDR
Structure: UIT
ETF Home Page: http://etfdb.com/etf/SPY


Holding,Symbol,Weighting
Apple Inc,AAPL,3.9826%
Microsoft Corp,MSFT,3.2007%
Amazon.com Inc,AMZN,2.8033%
Facebook Inc,FB,1.8759%
Berkshire Hathaway Inc,BRK.B,1.6542%
JPMorgan Chase & Co,JPM,1.6468%
Johnson & Johnson,JNJ,1.4726%
Exxon Mobil Corp,XOM,1.4469%
Alphabet Inc,GOOG,1.3857%
Alphabet Inc,GOOGL,1.3646%
Bank of America Corp,BAC,1.2582%
Intel Corp,INTC,1.0884%
Chevron Corp,CVX,1.0652%
Wells Fargo & Co,WFC,1.0185%
Visa Inc,V,1.0133%
UnitedHealth Group Inc,UNH,1.0042%
Home Depot Inc,HD,0.965%
Cisco Systems Inc,CSCO,0.9393%
Pfizer Inc,PFE,0.9232%
Verizon Communications Inc,VZ,0.8764%
AT&T Inc,T,0.8752%
Boeing Co,BA,0.7982%
Procter & Gamble Co,PG,0.7952%
Citigroup Inc,C,0.7766%
Mastercard Inc,MA,0.7626%
Coca-Cola Co,KO,0.7179%
AbbVie Inc,ABBV,0.7117%
Merck & Co Inc,MRK,0.6867%
Walt Disney Co,DIS,0.6662%
DowDuPont Inc,DWDP,0.6605%
Comcast Corp,CMCSA,0.6449%
PepsiCo Inc,PEP,0.6148%
Oracle Corp,ORCL,0.6115%
NVIDIA Corp,NVDA,0.6088%
Netflix Inc,NFLX,0.6049%
McDonald's Corp,MCD,0.569%
Walmart Inc,WMT,0.5571%
Philip Morris International Inc,PM,0.5533%
General Electric Co,GE,0.5473%
International Business Machines Corp,IBM,0.5424%
3M Co,MMM,0.5144%
Amgen Inc,AMGN,0.5034%
Adobe Systems Inc,ADBE,0.4839%
Medtronic PLC,MDT,0.4816%
Honeywell International Inc,HON,0.4781%
Booking Holdings Inc,BKNG,0.4738%
Altria Group Inc,MO,0.4706%
Union Pacific Corp,UNP,0.4589%
Texas Instruments Inc,TXN,0.4499%
Abbott Laboratories,ABT,0.4475%
Schlumberger NV,SLB,0.4226%
Broadcom Inc,AVGO,0.4172%
Accenture PLC,ACN,0.4135%
