VGK: Vanguard FTSE Europe ETF
Inception Date: 2005-03-10
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	18822011
Shares Outstanding: 318047000
Expense Ratio: 0.1%
Tracks This Index: FTSE Developed Europe Index
ETFdb.com Category: Europe Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VGK


Holding,Symbol,Weighting
Nestle SA,NESN,2.2267%
HSBC Holdings PLC,HSBA,1.8682%
Novartis AG,NOVN,1.5579%
Roche Holding AG,ROG,1.4271%
BP PLC,BP.,1.3342%
Total SA,FP,1.3189%
Royal Dutch Shell PLC,RDSB,1.2412%
Royal Dutch Shell PLC,RDSA,1.2062%
British American Tobacco PLC,BATS,1.1496%
Allianz SE,ALV,0.9746%
SAP SE,SAP,0.9606%
Banco Santander SA,SAN,0.9599%
Bayer AG,BAYN,0.9259%
Siemens AG,SIE,0.9194%
GlaxoSmithKline PLC,GSK,0.8972%
BASF SE,BAS,0.8931%
AstraZeneca PLC,AZN,0.8195%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.8142%
Diageo PLC,DGE,0.8127%
Novo Nordisk A/S,NOVO.B,0.8108%
Unilever NV,UNA,0.786%
BNP Paribas SA,BNP,0.7652%
ASML Holding NV,ASML,0.7244%
Vodafone Group PLC,VOD,0.7205%
Daimler AG,DAI,0.7119%
Anheuser Busch Inbev NV,ABI,0.6834%
Prudential PLC,PRU,0.6208%
ING Groep NV,INGA,0.6136%
Airbus SE,AIR,0.6009%
Rio Tinto PLC,RIO,0.5969%
Unilever PLC,ULVR,0.588%
Lloyds Banking Group PLC,LLOY,0.5836%
UBS Group AG,UBSG,0.5422%
Glencore PLC,GLEN,0.5304%
L'Oreal SA,OR,0.524%
Deutsche Telekom AG,DTE,0.5186%
Air Liquide SA,AI,0.5173%
Banco Bilbao Vizcaya Argentaria S.A.,BBVA,0.5088%
AXA SA,CS,0.5051%
Intesa Sanpaolo SpA,ISP,0.4773%
Enel SpA,ENEL,0.4663%
Zurich Insurance Group AG,ZURN,0.4646%
Adidas AG,ADS,0.4602%
Compagnie Financiere Richemont SA,CFR,0.4548%
Eni SpA,ENI,0.4546%
UniCredit SpA,UCG,0.4482%
Reckitt Benckiser Group PLC,RB.,0.4478%
Shire PLC,SHP,0.4459%
Danone SA,BN,0.4392%
Telefonica SA,TEF,0.4349%
Barclays PLC,BARC,0.4339%
Vinci SA,DG,0.4317%
Schneider Electric SE,SU,0.4273%
ABB Ltd,ABBN,0.4243%
Iberdrola SA,IBE,0.4151%
Kering SA,KER,0.4114%
Credit Suisse Group AG,CSGN,0.4077%
BHP Billiton PLC,BLT,0.4024%
Deutsche Post AG,DPW,0.3987%
Linde AG,LINU,0.3897%
Koninklijke Philips NV,PHIA,0.3809%
Societe Generale SA,GLE,0.3734%
National Grid PLC,NG.,0.3693%
Volkswagen AG,VOW3,0.363%
Bayerische Motoren Werke AG,BMW,0.3394%
Pernod Ricard SA,RI,0.3323%
Imperial Brands PLC,IMB,0.3301%
Orange SA,ORA,0.3283%
Safran SA,SAF,0.3205%
Compass Group PLC,CPG,0.3153%
Industria de Diseno Textil SA,ITX,0.3104%
Atlas Copco AB,ATCO.A,0.2997%
Nordea Bank AB,NDA.SEK,0.2996%
Fresenius SE & Co KGaA,FRE,0.2984%
Nokia Oyj,NOKIA,0.2983%
Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,MUV2,0.2932%
Tesco PLC,TSCO,0.2885%
Amadeus IT Group SA,AMS,0.2883%
Infineon Technologies AG,IFX,0.2814%
CRH PLC,CRH,0.281%
Continental AG,CON,0.273%
Aviva PLC,AV.,0.2728%
Koninklijke Ahold Delhaize NV,AD,0.2724%
Vivendi SA,VIV,0.2722%
Engie SA,ENGI,0.2708%
Essilor International SA,EI,0.2685%
Standard Chartered PLC,STAN,0.266%
Swiss Re AG,SREN,0.2652%
BT Group PLC,BT.A,0.263%
