VOO: Vanguard S&P 500 ETF
Inception Date: 2010-09-09
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	86841281
Shares Outstanding: 359234000
Expense Ratio: 0.04%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VOO


Holding,Symbol,Weighting
Apple Inc,AAPL,3.9881%
Microsoft Corp,MSFT,3.206%
Amazon.com Inc,AMZN,2.8051%
Facebook Inc,FB,1.8791%
Berkshire Hathaway Inc,BRK.B,1.6569%
JPMorgan Chase & Co,JPM,1.65%
Johnson & Johnson,JNJ,1.4754%
Exxon Mobil Corp,XOM,1.4487%
Alphabet Inc,GOOG,1.3899%
Alphabet Inc,GOOGL,1.3582%
Bank of America Corp,BAC,1.2598%
Intel Corp,INTC,1.0897%
Chevron Corp,CVX,1.0673%
Wells Fargo & Co,WFC,1.0199%
Visa Inc,V,1.0142%
UnitedHealth Group Inc,UNH,1.0044%
Home Depot Inc,HD,0.9659%
Cisco Systems Inc,CSCO,0.9406%
Pfizer Inc,PFE,0.9249%
Verizon Communications Inc,VZ,0.8778%
AT&T Inc,T,0.8764%
Boeing Co,BA,0.7993%
Procter & Gamble Co,PG,0.7959%
Citigroup Inc,C,0.7785%
Mastercard Inc,MA,0.7625%
Coca-Cola Co,KO,0.7189%
AbbVie Inc,ABBV,0.7125%
Merck & Co Inc,MRK,0.6883%
Walt Disney Co,DIS,0.6676%
DowDuPont Inc,DWDP,0.6618%
Comcast Corp,CMCSA,0.6458%
PepsiCo Inc,PEP,0.6162%
Oracle Corp,ORCL,0.6122%
NVIDIA Corp,NVDA,0.6104%
Netflix Inc,NFLX,0.6067%
McDonald's Corp,MCD,0.5716%
Walmart Inc,WMT,0.5586%
Philip Morris International Inc,PM,0.554%
General Electric Co,GE,0.5481%
International Business Machines Corp,IBM,0.5445%
3M Co,MMM,0.5149%
Amgen Inc,AMGN,0.5046%
Adobe Systems Inc,ADBE,0.4829%
Medtronic PLC,MDT,0.4827%
Honeywell International Inc,HON,0.4779%
Altria Group Inc,MO,0.4709%
Booking Holdings Inc,BKNG,0.4624%
Union Pacific Corp,UNP,0.4605%
Texas Instruments Inc,TXN,0.4515%
Abbott Laboratories,ABT,0.448%
Schlumberger NV,SLB,0.4226%
Broadcom Inc,AVGO,0.4163%
Accenture PLC,ACN,0.414%
Nike Inc,NKE,0.3942%
United Technologies Corp,UTX,0.3922%
Gilead Sciences Inc,GILD,0.3895%
Caterpillar Inc,CAT,0.3832%
Costco Wholesale Corp,COST,0.3788%
Salesforce.com Inc,CRM,0.376%
Bristol-Myers Squibb Co,BMY,0.3741%
Thermo Fisher Scientific Inc,TMO,0.3732%
Goldman Sachs Group Inc,GS,0.3679%
PayPal Holdings Inc,PYPL,0.3608%
Starbucks Corp,SBUX,0.3546%
U.S. Bancorp,USB,0.3482%
Nextera Energy Inc,NEE,0.3435%
ConocoPhillips,COP,0.3422%
United Parcel Service Inc,UPS,0.3402%
Lockheed Martin Corp,LMT,0.3389%
Eli Lilly and Co,LLY,0.3378%
Qualcomm Inc,QCOM,0.331%
Time Warner Inc,TWX,0.3232%
Morgan Stanley,MS,0.3174%
American Express Co,AXP,0.3134%
Lowe's Companies Inc,LOW,0.3098%
PNC Financial Services Group Inc,PNC,0.3018%
EOG Resources Inc,EOG,0.3011%
CVS Health Corp,CVS,0.2979%
Charles Schwab Corp,SCHW,0.2965%
Celgene Corp,CELG,0.2905%
BlackRock Inc,BLK,0.2811%
Chubb Ltd,CB,0.2745%
Becton Dickinson and Co,BDX,0.2742%
Danaher Corp,DHR,0.2718%
American Tower Corp,AMT,0.2687%
FedEx Corp,FDX,0.2628%
Occidental Petroleum Corp,OXY,0.2619%
Anthem Inc,ANTM,0.2617%
Raytheon Co,RTN,0.2595%
Biogen Inc,BIIB,0.2585%
Aetna Inc,AET,0.2574%
Mondelez International Inc,MDLZ,0.2508%
Duke Energy Corp,DUK,0.2488%
Colgate-Palmolive Co,CL,0.2466%
Monsanto Co,MON,0.2465%
Bank of New York Mellon Corp,BK,0.243%
Walgreens Boots Alliance Inc,WBA,0.2412%
Stryker Corp,SYK,0.2405%
Automatic Data Processing Inc,ADP,0.2403%
General Dynamics Corp,GD,0.2396%
Northrop Grumman Corp,NOC,0.2389%
CME Group Inc,CME,0.2381%
Applied Materials Inc,AMAT,0.2366%
Micron Technology Inc,MU,0.2362%
TJX Companies Inc,TJX,0.235%
CSX Corp,CSX,0.2348%
Activision Blizzard Inc,ATVI,0.2309%
Charter Communications Inc,CHTR,0.2273%
Intuitive Surgical Inc,ISRG,0.2229%
Allergan plc,AGN,0.2225%
Simon Property Group Inc,SPG,0.2213%
American International Group Inc,AIG,0.2196%
Valero Energy Corp,VLO,0.2173%
Phillips 66,PSX,0.2141%
Cognizant Technology Solutions Corp,CTSH,0.2128%
S&P Global Inc,SPGI,0.2115%
MetLife Inc,MET,0.208%
Southern Co,SO,0.2074%
Halliburton Co,HAL,0.2047%
General Motors Co,GM,0.2037%
Intuit Inc,INTU,0.2%
Illinois Tool Works Inc,ITW,0.1965%
Ford Motor Co,F,0.1948%
Deere & Co,DE,0.194%
Capital One Financial Corp,COF,0.1933%
Praxair Inc,PX,0.1927%
Dominion Energy Inc,D,0.1917%
Emerson Electric Co,EMR,0.1913%
Prudential Financial Inc,PRU,0.191%
Intercontinental Exchange Inc,ICE,0.188%
Crown Castle International Corp,CCI,0.1868%
Express Scripts Holding Co,ESRX,0.1862%
Cigna Corp,CI,0.1854%
BB&T Corp,BBT,0.1828%
Marsh & McLennan Companies Inc,MMC,0.1809%
Marriott International Inc,MAR,0.1798%
Boston Scientific Corp,BSX,0.1792%
Norfolk Southern Corp,NSC,0.1791%
Humana Inc,HUM,0.1761%
Exelon Corp,EXC,0.1737%
Zoetis Inc,ZTS,0.1732%
Constellation Brands Inc,STZ,0.1726%
Target Corp,TGT,0.1726%
Twenty-First Century Fox Inc,FOXA,0.1726%
Vertex Pharmaceuticals Inc,VRTX,0.1682%
Ecolab Inc,ECL,0.1671%
Electronic Arts Inc,EA,0.1633%
Marathon Petroleum Corp,MPC,0.1606%
State Street Corp,STT,0.1601%
Illumina Inc,ILMN,0.1592%
Air Products and Chemicals Inc,APD,0.1579%
HP Inc,HPQ,0.1573%
Kimberly-Clark Corp,KMB,0.1572%
Aflac Inc,AFL,0.1565%
Baxter International Inc,BAX,0.1562%
eBay Inc,EBAY,0.1556%
Travelers Companies Inc,TRV,0.155%
Progressive Corp,PGR,0.1532%
Prologis Inc,PLD,0.1532%
Aon PLC,AON,0.1527%
Delta Air Lines Inc,DAL,0.1516%
American Electric Power Company Inc,AEP,0.1511%
Anadarko Petroleum Corp,APC,0.1508%
LyondellBasell Industries NV,LYB,0.1508%
Pioneer Natural Resources Co,PXD,0.1494%
Allstate Corp,ALL,0.1479%
Equinix Inc,EQIX,0.1474%
Analog Devices Inc,ADI,0.1461%
Johnson Controls International PLC,JCI,0.1455%
Fidelity National Information Services Inc,FIS,0.145%
Kraft Heinz Co,KHC,0.1444%
TE Connectivity Ltd,TEL,0.1443%
McKesson Corp,MCK,0.1433%
Waste Management Inc,WM,0.1431%
Eaton Corporation PLC,ETN,0.1422%
SunTrust Banks Inc,STI,0.1389%
Lam Research Corp,LRCX,0.138%
Kinder Morgan Inc,KMI,0.1366%
Ross Stores Inc,ROST,0.1359%
Public Storage,PSA,0.1355%
Sherwin-Williams Co,SHW,0.1351%
Sysco Corp,SYY,0.1341%
Estee Lauder Companies Inc,EL,0.1316%
DXC Technology Co,DXC,0.1295%
Red Hat Inc,RHT,0.1291%
Sempra Energy,SRE,0.1269%
Fiserv Inc,FISV,0.1268%
Southwest Airlines Co,LUV,0.1261%
Edwards Lifesciences Corp,EW,0.1242%
Weyerhaeuser Co,WY,0.1227%
Autodesk Inc,ADSK,0.1223%
Roper Technologies Inc,ROP,0.1217%
HCA Healthcare Inc,HCA,0.1213%
Moody's Corp,MCO,0.1212%
T. Rowe Price Group Inc,TROW,0.1208%
Hewlett Packard Enterprise Co,HPE,0.1195%
M&T Bank Corp,MTB,0.1189%
PPG Industries Inc,PPG,0.1189%
Yum! Brands Inc,YUM,0.1181%
VF Corp,VFC,0.1173%
Public Service Enterprise Group Inc,PEG,0.1158%
Amphenol Corp,APH,0.1139%
ONEOK Inc,OKE,0.1139%
Carnival Corp,CCL,0.1134%
Alexion Pharmaceuticals Inc,ALXN,0.1134%
Discover Financial Services,DFS,0.1108%
Archer Daniels Midland Co,ADM,0.1103%
Consolidated Edison Inc,ED,0.1102%
Dollar General Corp,DG,0.1101%
General Mills Inc,GIS,0.1076%
Aptiv PLC,APTV,0.1073%
Zimmer Biomet Holdings Inc,ZBH,0.1069%
PG&E Corp,PCG,0.1055%
Xcel Energy Inc,XEL,0.1055%
Synchrony Financial,SYF,0.1046%
Concho Resources Inc,CXO,0.1044%
Corning Inc,GLW,0.1034%
Regeneron Pharmaceuticals Inc,REGN,0.1029%
Dollar Tree Inc,DLTR,0.1019%
Western Digital Corp,WDC,0.1016%
Cummins Inc,CMI,0.1015%
Fifth Third Bancorp,FITB,0.1013%
Equity Residential,EQR,0.1008%
Parker-Hannifin Corp,PH,0.1%
Hilton Worldwide Holdings Inc,HLT,0.0999%
AvalonBay Communities Inc,AVB,0.0996%
O'Reilly Automotive Inc,ORLY,0.0988%
Northern Trust Corp,NTRS,0.0986%
Paccar Inc,PCAR,0.0977%
Fortive Corp,FTV,0.097%
Monster Beverage Corp,MNST,0.0968%
Williams Companies Inc,WMB,0.0965%
Kroger Co,KR,0.0963%
Digital Realty Trust Inc,DLR,0.0959%
Rockwell Collins Inc,COL,0.0959%
Agilent Technologies Inc,A,0.0949%
Stanley Black & Decker Inc,SWK,0.0948%
Dr Pepper Snapple Group Inc,DPS,0.0948%
Ingersoll-Rand PLC,IR,0.0945%
Rockwell Automation Inc,ROK,0.0942%
Newmont Mining Corp,NEM,0.0934%
KeyCorp,KEY,0.0932%
