VTI: Vanguard Total Stock Market ETF
Inception Date: 2001-05-31
Fund Holdings as of: 2018-04-30
Total Assets Under Management (in thousands):	93500462
Shares Outstanding: 684634000
Expense Ratio: 0.04%
Tracks This Index: CRSP US Total Market Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VTI


Holding,Symbol,Weighting
Apple Inc,AAPL,2.7748%
Microsoft Corp,MSFT,2.6496%
Amazon.com Inc,AMZN,2.3686%
Facebook Inc,FB,1.5166%
JPMorgan Chase & Co,JPM,1.388%
Berkshire Hathaway Inc,BRK.B,1.3654%
Johnson & Johnson,JNJ,1.2481%
Exxon Mobil Corp,XOM,1.2124%
Alphabet Inc,GOOGL,1.1217%
Alphabet Inc,GOOG,1.1129%
Bank of America Corp,BAC,1.0717%
Intel Corp,INTC,0.8879%
Chevron Corp,CVX,0.8809%
Wells Fargo & Co,WFC,0.8484%
UnitedHealth Group Inc,UNH,0.8435%
Visa Inc,V,0.843%
Pfizer Inc,PFE,0.8036%
Home Depot Inc,HD,0.7951%
Cisco Systems Inc,CSCO,0.7869%
Verizon Communications Inc,VZ,0.7503%
AT&T Inc,T,0.7401%
Boeing Co,BA,0.7249%
Procter & Gamble Co,PG,0.6729%
Citigroup Inc,C,0.6651%
Mastercard Inc,MA,0.6138%
Coca-Cola Co,KO,0.6116%
Merck & Co Inc,MRK,0.5921%
AbbVie Inc,ABBV,0.5664%
DowDuPont Inc,DWDP,0.5441%
Comcast Corp,CMCSA,0.5374%
Walt Disney Co,DIS,0.5296%
PepsiCo Inc,PEP,0.5291%
Oracle Corp,ORCL,0.5237%
International Business Machines Corp,IBM,0.4949%
McDonald's Corp,MCD,0.4917%
Walmart Inc,WMT,0.4851%
Netflix Inc,NFLX,0.4749%
Philip Morris International Inc,PM,0.4702%
NVIDIA Corp,NVDA,0.4524%
General Electric Co,GE,0.4505%
Amgen Inc,AMGN,0.4304%
3M Co,MMM,0.4281%
Adobe Systems Inc,ADBE,0.4035%
Honeywell International Inc,HON,0.4026%
Medtronic PLC,MDT,0.4006%
Altria Group Inc,MO,0.3951%
Union Pacific Corp,UNP,0.3856%
Booking Holdings Inc,BKNG,0.3838%
Abbott Laboratories,ABT,0.3747%
Texas Instruments Inc,TXN,0.3701%
Schlumberger NV,SLB,0.3508%
Gilead Sciences Inc,GILD,0.35%
Broadcom Inc,AVGO,0.347%
Accenture PLC,ACN,0.3452%
United Technologies Corp,UTX,0.3378%
Nike Inc,NKE,0.3299%
Caterpillar Inc,CAT,0.3201%
Costco Wholesale Corp,COST,0.3199%
PayPal Holdings Inc,PYPL,0.3155%
Bristol-Myers Squibb Co,BMY,0.3154%
Thermo Fisher Scientific Inc,TMO,0.3135%
Salesforce.com Inc,CRM,0.3082%
Goldman Sachs Group Inc,GS,0.301%
Eli Lilly and Co,LLY,0.2976%
U.S. Bancorp,USB,0.2948%
United Parcel Service Inc,UPS,0.29%
Lockheed Martin Corp,LMT,0.2897%
Nextera Energy Inc,NEE,0.2876%
Starbucks Corp,SBUX,0.2857%
ConocoPhillips,COP,0.2856%
Qualcomm Inc,QCOM,0.2809%
CVS Health Corp,CVS,0.2635%
Time Warner Inc,TWX,0.2617%
Morgan Stanley,MS,0.2607%
American Express Co,AXP,0.2537%
EOG Resources Inc,EOG,0.2533%
Charles Schwab Corp,SCHW,0.2502%
PNC Financial Services Group Inc,PNC,0.2448%
Celgene Corp,CELG,0.2443%
Lowe's Companies Inc,LOW,0.2421%
Danaher Corp,DHR,0.2342%
Becton Dickinson and Co,BDX,0.2315%
Anthem Inc,ANTM,0.2252%
FedEx Corp,FDX,0.2232%
American Tower Corp,AMT,0.2222%
Chubb Ltd,CB,0.2221%
Occidental Petroleum Corp,OXY,0.2218%
Raytheon Co,RTN,0.2212%
BlackRock Inc,BLK,0.2182%
Aetna Inc,AET,0.2182%
Biogen Inc,BIIB,0.2149%
Colgate-Palmolive Co,CL,0.2122%
Mondelez International Inc,MDLZ,0.2088%
Walgreens Boots Alliance Inc,WBA,0.2088%
Northrop Grumman Corp,NOC,0.2081%
Duke Energy Corp,DUK,0.2072%
Micron Technology Inc,MU,0.1982%
CME Group Inc,CME,0.198%
Allergan plc,AGN,0.1974%
Monsanto Co,MON,0.197%
Applied Materials Inc,AMAT,0.1947%
TJX Companies Inc,TJX,0.1912%
General Dynamics Corp,GD,0.1907%
Stryker Corp,SYK,0.1891%
Phillips 66,PSX,0.1888%
American International Group Inc,AIG,0.1883%
CSX Corp,CSX,0.1875%
Automatic Data Processing Inc,ADP,0.1864%
Bank of New York Mellon Corp,BK,0.1861%
Simon Property Group Inc,SPG,0.1848%
Intuitive Surgical Inc,ISRG,0.1845%
Valero Energy Corp,VLO,0.1824%
Cognizant Technology Solutions Corp,CTSH,0.1808%
S&P Global Inc,SPGI,0.18%
Activision Blizzard Inc,ATVI,0.1763%
Southern Co,SO,0.1744%
General Motors Co,GM,0.1734%
Intuit Inc,INTU,0.1696%
Charter Communications Inc,CHTR,0.1693%
Prudential Financial Inc,PRU,0.1678%
Ford Motor Co,F,0.1653%
Capital One Financial Corp,COF,0.165%
Deere & Co,DE,0.1629%
Praxair Inc,PX,0.1624%
Express Scripts Holding Co,ESRX,0.1612%
Dominion Energy Inc,D,0.1608%
Emerson Electric Co,EMR,0.1589%
Intercontinental Exchange Inc,ICE,0.1585%
Cigna Corp,CI,0.1577%
Halliburton Co,HAL,0.1568%
Crown Castle International Corp,CCI,0.1563%
Marsh & McLennan Companies Inc,MMC,0.1556%
Illinois Tool Works Inc,ITW,0.1554%
BB&T Corp,BBT,0.1547%
Humana Inc,HUM,0.1533%
Norfolk Southern Corp,NSC,0.1527%
