VTV: Vanguard Value ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	35729218
Shares Outstanding: 348952000
Expense Ratio: 0.05%
Tracks This Index: MSCI US Prime Market Value Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VTV


Holding,Symbol,Weighting
Microsoft Corp,MSFT,5.8851%
Berkshire Hathaway Inc,BRK.B,3.0812%
JPMorgan Chase & Co,JPM,3.0608%
Johnson & Johnson,JNJ,2.7067%
Exxon Mobil Corp,XOM,2.6583%
Bank of America Corp,BAC,2.3528%
Intel Corp,INTC,1.9966%
Chevron Corp,CVX,1.961%
Wells Fargo & Co,WFC,1.89%
UnitedHealth Group Inc,UNH,1.8423%
Cisco Systems Inc,CSCO,1.7272%
Pfizer Inc,PFE,1.697%
Verizon Communications Inc,VZ,1.6099%
AT&T Inc,T,1.6094%
Citigroup Inc,C,1.4688%
Procter & Gamble Co,PG,1.4605%
Merck & Co Inc,MRK,1.2759%
DowDuPont Inc,DWDP,1.2079%
Oracle Corp,ORCL,1.1556%
PepsiCo Inc,PEP,1.1281%
International Business Machines Corp,IBM,1.0796%
Walmart Inc,WMT,1.0456%
General Electric Co,GE,1.0049%
Amgen Inc,AMGN,0.9267%
Honeywell International Inc,HON,0.877%
Abbott Laboratories,ABT,0.8249%
United Technologies Corp,UTX,0.7361%
Gilead Sciences Inc,GILD,0.7159%
Caterpillar Inc,CAT,0.7025%
Coca-Cola Co,KO,0.6589%
Goldman Sachs Group Inc,GS,0.6492%
U.S. Bancorp,USB,0.6389%
Eli Lilly and Co,LLY,0.6344%
ConocoPhillips,COP,0.629%
Nextera Energy Inc,NEE,0.6258%
Qualcomm Inc,QCOM,0.6087%
Morgan Stanley,MS,0.5736%
Time Warner Inc,TWX,0.5633%
American Express Co,AXP,0.5492%
CVS Health Corp,CVS,0.5461%
PNC Financial Services Group Inc,PNC,0.533%
Anthem Inc,ANTM,0.4835%
Chubb Ltd,CB,0.477%
Raytheon Co,RTN,0.4713%
Aetna Inc,AET,0.4695%
Duke Energy Corp,DUK,0.4562%
Mondelez International Inc,MDLZ,0.4381%
CME Group Inc,CME,0.4338%
Altria Group Inc,MO,0.4329%
Northrop Grumman Corp,NOC,0.432%
Allergan plc,AGN,0.4308%
Phillips 66,PSX,0.425%
CSX Corp,CSX,0.4083%
General Dynamics Corp,GD,0.4052%
American International Group Inc,AIG,0.4049%
Valero Energy Corp,VLO,0.4034%
Bank of New York Mellon Corp,BK,0.4029%
Southern Co,SO,0.3794%
General Motors Co,GM,0.3733%
Deere & Co,DE,0.358%
Ford Motor Co,F,0.3574%
Capital One Financial Corp,COF,0.3554%
Emerson Electric Co,EMR,0.3512%
Dominion Energy Inc,D,0.3491%
Prudential Financial Inc,PRU,0.348%
Cigna Corp,CI,0.3434%
Express Scripts Holding Co,ESRX,0.3414%
BB&T Corp,BBT,0.3366%
Norfolk Southern Corp,NSC,0.3282%
Humana Inc,HUM,0.3259%
Exelon Corp,EXC,0.3187%
Target Corp,TGT,0.3182%
Twenty-First Century Fox Inc,FOXA,0.3171%
MetLife Inc,MET,0.308%
Marathon Petroleum Corp,MPC,0.3022%
Lockheed Martin Corp,LMT,0.2986%
eBay Inc,EBAY,0.2919%
Air Products and Chemicals Inc,APD,0.2906%
HP Inc,HPQ,0.2896%
Kimberly-Clark Corp,KMB,0.2882%
Waste Management Inc,WM,0.2874%
Aflac Inc,AFL,0.2869%
Travelers Companies Inc,TRV,0.2857%
Progressive Corp,PGR,0.2811%
State Street Corp,STT,0.2787%
American Electric Power Company Inc,AEP,0.2784%
Delta Air Lines Inc,DAL,0.2741%
Allstate Corp,ALL,0.2719%
LyondellBasell Industries NV,LYB,0.2701%
Johnson Controls International PLC,JCI,0.2676%
TE Connectivity Ltd,TEL,0.2618%
Eaton Corporation PLC,ETN,0.2617%
McKesson Corp,MCK,0.2598%
SunTrust Banks Inc,STI,0.2576%
Danaher Corp,DHR,0.2567%
Sempra Energy,SRE,0.2475%
Kinder Morgan Inc,KMI,0.2475%
Las Vegas Sands Corp,LVS,0.244%
Sysco Corp,SYY,0.2405%
DXC Technology Co,DXC,0.2383%
FedEx Corp,FDX,0.235%
HCA Healthcare Inc,HCA,0.2253%
Hewlett Packard Enterprise Co,HPE,0.2194%
Walgreens Boots Alliance Inc,WBA,0.2188%
PPG Industries Inc,PPG,0.2147%
Public Service Enterprise Group Inc,PEG,0.2131%
ONEOK Inc,OKE,0.2078%
VF Corp,VFC,0.2054%
Discover Financial Services,DFS,0.2038%
Archer Daniels Midland Co,ADM,0.2031%
Consolidated Edison Inc,ED,0.2012%
Synchrony Financial,SYF,0.2007%
General Mills Inc,GIS,0.1975%
Aptiv PLC,APTV,0.197%
M&T Bank Corp,MTB,0.1964%
PG&E Corp,PCG,0.1935%
Xcel Energy Inc,XEL,0.1927%
Zimmer Biomet Holdings Inc,ZBH,0.1927%
Cummins Inc,CMI,0.1884%
Corning Inc,GLW,0.1867%
Western Digital Corp,WDC,0.1859%
Fifth Third Bancorp,FITB,0.1855%
Equity Residential,EQR,0.185%
Northern Trust Corp,NTRS,0.1838%
Parker-Hannifin Corp,PH,0.1836%
Paccar Inc,PCAR,0.1797%
Dr Pepper Snapple Group Inc,DPS,0.1772%
Williams Companies Inc,WMB,0.1767%
Kroger Co,KR,0.1765%
Regions Financial Corp,RF,0.1761%
KeyCorp,KEY,0.1737%
Ingersoll-Rand PLC,IR,0.1731%
Newmont Mining Corp,NEM,0.1715%
Freeport-McMoRan Inc,FCX,0.17%
Edison International,EIX,0.169%
International Paper Co,IP,0.1686%
Halliburton Co,HAL,0.1686%
Andeavor,ANDV,0.1678%
Illinois Tool Works Inc,ITW,0.1677%
Cardinal Health Inc,CAH,0.1667%
WEC Energy Group Inc,WEC,0.166%
Devon Energy Corp,DVN,0.1643%
Tyson Foods Inc,TSN,0.1635%
Citizens Financial Group Inc,CFG,0.1634%
PPL Corp,PPL,0.1625%
Ameriprise Financial Inc,AMP,0.1611%
Willis Towers Watson PLC,WLTW,0.1603%
Nucor Corp,NUE,0.1596%
DTE Energy Co,DTE,0.1555%
Best Buy Co Inc,BBY,0.1541%
Eversource Energy,ES,0.1539%
Mylan NV,MYL,0.1537%
Hartford Financial Services Group Inc,HIG,0.1532%
Baxter International Inc,BAX,0.1486%
NetApp Inc,NTAP,0.1475%
American Airlines Group Inc,AAL,0.1469%
CenturyLink Inc,CTL,0.1452%
United Continental Holdings Inc,UAL,0.1433%
Motorola Solutions Inc,MSI,0.143%
Hess Corp,HES,0.1418%
Symantec Corp,SYMC,0.1418%
Omnicom Group Inc,OMC,0.1379%
Principal Financial Group Inc,PFG,0.1354%
FirstEnergy Corp,FE,0.1329%
Huntington Bancshares Inc,HBAN,0.1323%
Twenty-First Century Fox Inc,FOX,0.1299%
Kellogg Co,K,0.1284%
Apache Corp,APA,0.1283%
Marathon Oil Corp,MRO,0.1273%
Baker Hughes A GE Co,BHGE,0.1252%
American Water Works Company Inc,AWK,0.1246%
AmerisourceBergen Corp,ABC,0.1224%
Lincoln National Corp,LNC,0.1217%
WestRock Co,WRK,0.1212%
Entergy Corp,ETR,0.1212%
W W Grainger Inc,GWW,0.1207%
National Oilwell Varco Inc,NOV,0.1201%
Textron Inc,TXT,0.1195%
Dell Technologies Inc,DVMT,0.1188%
Conagra Brands Inc,CAG,0.1179%
Host Hotels & Resorts Inc,HST,0.1177%
XL Group Ltd,XL,0.1174%
Celanese Corp,CE,0.1171%
Ameren Corp,AEE,0.1163%
Loews Corp,L,0.1158%
Seagate Technology PLC,STX,0.1154%
L3 Technologies Inc,LLL,0.1152%
Quest Diagnostics Inc,DGX,0.1148%
Republic Services Inc,RSG,0.1132%
Dover Corp,DOV,0.1122%
Ball Corp,BLL,0.1098%
Eastman Chemical Co,EMN,0.1083%
CMS Energy Corp,CMS,0.108%
Synopsys Inc,SNPS,0.1042%
Carnival Corp,CCL,0.1031%
Lear Corp,LEA,0.103%
J M Smucker Co,SJM,0.1023%
Genuine Parts Co,GPC,0.0996%
