XLF: Financial Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	31661837
Shares Outstanding: 1166550000
Expense Ratio: 0.13%
Tracks This Index: Financial Select Sector Index
ETFdb.com Category: Financials Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: http://etfdb.com/etf/XLF


Holding,Symbol,Weighting
Berkshire Hathaway Inc,BRK.B,11.3387%
JPMorgan Chase & Co,JPM,11.2924%
Bank of America Corp,BAC,8.6272%
Wells Fargo & Co,WFC,6.9839%
Citigroup Inc,C,5.3257%
Goldman Sachs Group Inc,GS,2.518%
U.S. Bancorp,USB,2.3845%
Morgan Stanley,MS,2.1753%
American Express Co,AXP,2.1439%
PNC Financial Services Group Inc,PNC,2.0635%
Charles Schwab Corp,SCHW,2.034%
BlackRock Inc,BLK,1.9346%
Chubb Ltd,CB,1.8777%
Bank of New York Mellon Corp,BK,1.663%
CME Group Inc,CME,1.6248%
American International Group Inc,AIG,1.5033%
S&P Global Inc,SPGI,1.4544%
MetLife Inc,MET,1.4241%
Capital One Financial Corp,COF,1.3209%
Prudential Financial Inc,PRU,1.3054%
Intercontinental Exchange Inc,ICE,1.2854%
BB&T Corp,BBT,1.2542%
Marsh & McLennan Companies Inc,MMC,1.2352%
State Street Corp,STT,1.0947%
Aflac Inc,AFL,1.0689%
Travelers Companies Inc,TRV,1.059%
Aon PLC,AON,1.0507%
Progressive Corp,PGR,1.0474%
Allstate Corp,ALL,1.0189%
SunTrust Banks Inc,STI,0.9522%
Moody's Corp,MCO,0.8273%
T. Rowe Price Group Inc,TROW,0.8231%
M&T Bank Corp,MTB,0.8205%
Discover Financial Services,DFS,0.7637%
Synchrony Financial,SYF,0.7183%
Fifth Third Bancorp,FITB,0.6926%
Northern Trust Corp,NTRS,0.678%
KeyCorp,KEY,0.6392%
Regions Financial Corp,RF,0.6342%
Citizens Financial Group Inc,CFG,0.6104%
Ameriprise Financial Inc,AMP,0.5978%
Willis Towers Watson PLC,WLTW,0.5941%
Hartford Financial Services Group Inc,HIG,0.5703%
SVB Financial Group,SIVB,0.4961%
Comerica Inc,CMA,0.4934%
E*TRADE Financial Corp,ETFC,0.4934%
Huntington Bancshares Inc,HBAN,0.4926%
Principal Financial Group Inc,PFG,0.4646%
Lincoln National Corp,LNC,0.4491%
XL Group Ltd,XL,0.4347%
Loews Corp,L,0.4216%
MSCI Inc,MSCI,0.4102%
Arthur J Gallagher & Co,AJG,0.3793%
Cboe Global Markets Inc,CBOE,0.3698%
Raymond James Financial Inc,RJF,0.3522%
Invesco Ltd,IVZ,0.3484%
Zions Bancorp,ZION,0.3294%
Franklin Resources Inc,BEN,0.3236%
Cincinnati Financial Corp,CINF,0.3185%
Nasdaq Inc,NDAQ,0.3109%
Everest Re Group Ltd,RE,0.2858%
Torchmark Corp,TMK,0.2752%
Affiliated Managers Group Inc,AMG,0.273%
Unum Group,UNM,0.2697%
Leucadia National Corp,LUK,0.2326%
People's United Financial Inc,PBCT,0.194%
Cash Component,CASH,0.1567%
Assurant Inc,AIZ,0.1453%
Brighthouse Financial Inc,BHF,0.1421%
Navient Corp,NAVI,0.1064%
