XLK: Technology Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	20035803
Shares Outstanding: 302656000
Expense Ratio: 0.13%
Tracks This Index: Technology Select Sector Index
ETFdb.com Category: Technology Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: http://etfdb.com/etf/XLK


Holding,Symbol,Weighting
Apple Inc,AAPL,14.7071%
Microsoft Corp,MSFT,11.8201%
Facebook Inc,FB,6.9258%
Alphabet Inc,GOOG,5.1064%
Alphabet Inc,GOOGL,5.0218%
Intel Corp,INTC,4.0189%
Visa Inc,V,3.7379%
Cisco Systems Inc,CSCO,3.4691%
Verizon Communications Inc,VZ,3.2358%
AT&T Inc,T,3.2312%
Mastercard Inc,MA,2.8182%
Oracle Corp,ORCL,2.2576%
NVIDIA Corp,NVDA,2.2494%
International Business Machines Corp,IBM,2.0012%
Adobe Systems Inc,ADBE,1.7835%
Texas Instruments Inc,TXN,1.6642%
Broadcom Inc,AVGO,1.5411%
Accenture PLC,ACN,1.5253%
Salesforce.com Inc,CRM,1.384%
PayPal Holdings Inc,PYPL,1.3284%
Qualcomm Inc,QCOM,1.2208%
Automatic Data Processing Inc,ADP,0.8887%
Applied Materials Inc,AMAT,0.8717%
Micron Technology Inc,MU,0.8707%
Activision Blizzard Inc,ATVI,0.8513%
Cognizant Technology Solutions Corp,CTSH,0.7843%
Intuit Inc,INTU,0.7415%
Electronic Arts Inc,EA,0.6001%
HP Inc,HPQ,0.5794%
eBay Inc,EBAY,0.574%
Analog Devices Inc,ADI,0.5362%
Fidelity National Information Services Inc,FIS,0.5356%
TE Connectivity Ltd,TEL,0.5297%
Lam Research Corp,LRCX,0.5096%
DXC Technology Co,DXC,0.4761%
Red Hat Inc,RHT,0.4716%
Fiserv Inc,FISV,0.4692%
Autodesk Inc,ADSK,0.4541%
Hewlett Packard Enterprise Co,HPE,0.4402%
Amphenol Corp,APH,0.4211%
Corning Inc,GLW,0.3807%
Western Digital Corp,WDC,0.3757%
Microchip Technology Inc,MCHP,0.3253%
Paychex Inc,PAYX,0.3197%
NetApp Inc,NTAP,0.2973%
CenturyLink Inc,CTL,0.2955%
Global Payments Inc,GPN,0.2925%
Motorola Solutions Inc,MSI,0.2861%
Symantec Corp,SYMC,0.2843%
Skyworks Solutions Inc,SWKS,0.2733%
Xilinx Inc,XLNX,0.2715%
KLA-Tencor Corp,KLAC,0.2624%
Seagate Technology PLC,STX,0.2561%
Total System Services Inc,TSS,0.2264%
ANSYS Inc,ANSS,0.2232%
Citrix Systems Inc,CTXS,0.2208%
Synopsys Inc,SNPS,0.2105%
Akamai Technologies Inc,AKAM,0.1991%
Take-Two Interactive Software Inc,TTWO,0.1965%
Cadence Design Systems Inc,CDNS,0.186%
Gartner Inc,IT,0.1786%
CA Inc,CA,0.1744%
F5 Networks Inc,FFIV,0.1702%
Cash Component,CASH,0.1661%
Verisign Inc,VRSN,0.1605%
Alliance Data Systems Corp,ADS,0.1565%
Qorvo Inc,QRVO,0.1548%
Advanced Micro Devices Inc,AMD,0.1485%
Western Union Co,WU,0.1454%
IPG Photonics Corp,IPGP,0.1437%
Juniper Networks Inc,JNPR,0.1408%
FLIR Systems Inc,FLIR,0.122%
Xerox Corp,XRX,0.103%
