IEMG: iShares Core MSCI Emerging Markets ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	50385976
Shares Outstanding: 888000000
Expense Ratio: 0.14%
Tracks This Index: MSCI Emerging Markets Investable Market Index
ETFdb.com Category: Emerging Markets Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IEMG


Holding,Symbol,Weighting
Tencent Holdings Ltd,700,4.5631%
Samsung Electronics Co Ltd,005930,3.7874%
Alibaba Group Holding Ltd,BABA,3.3419%
Taiwan Semiconductor Manufacturing Co Ltd,2330,2.9465%
Cash Component,CASH,2.1634%
Naspers Ltd,NPN,1.6644%
China Construction Bank Corp,939,1.4103%
Baidu Inc,BIDU,1.102%
Industrial and Commercial Bank of China Ltd,1398,1.0424%
China Mobile Ltd,941,0.9236%
Ping An Insurance Group Co of China Ltd,2318,0.8036%
SK Hynix Inc,000660,0.7135%
Itau Unibanco Holding SA,ITUB4,0.7048%
Housing Development Finance Corporation Ltd,HDFC,0.6937%
Vale SA,VALE3,0.6929%
Hon Hai Precision Industry Co Ltd,2317,0.6856%
Bank of China Ltd,3988,0.6838%
Reliance Industries Ltd,RIL,0.6632%
Sberbank Rossii PAO,SBER,0.5035%
Banco Bradesco SA,BBDC4,0.5014%
Infosys Ltd,INFO,0.5012%
America Movil SAB de CV,AMXL,0.4868%
Ambev SA,ABEV3,0.48%
CNOOC Ltd,883,0.477%
Posco,005490,0.3995%
Petroleo Brasileiro SA Petrobras,PETR4,0.3981%
China Petroleum & Chemical Corp,386,0.3971%
Tata Consultancy Services Ltd,TCS,0.3903%
JD.com Inc,JD,0.3883%
Hyundai Motor Co,005380,0.3659%
Standard Bank Group Ltd,SBK,0.3505%
KB Financial Group Inc,105560,0.3422%
NK Lukoil PAO,LKOH,0.3345%
China Life Insurance Co Ltd,2628,0.3338%
Petroleo Brasileiro SA Petrobras,PETR3,0.3292%
NetEase Inc,NTES,0.3225%
Sasol Ltd,SOL,0.3155%
Celltrion Inc,068270,0.3109%
Naver Corp,035420,0.3054%
PTT PCL,PTT-R,0.3026%
Gazprom PAO,GAZP,0.295%
Shinhan Financial Group Co Ltd,055550,0.289%
FirstRand Ltd,FSR,0.2868%
Fomento Economico Mexicano SAB de CV,FEMSAUBD,0.2817%
Bank Central Asia Tbk PT,BBCA,0.2745%
MTN Group Ltd,MTN,0.2676%
China Merchants Bank Co Ltd,3968,0.2656%
Tatneft' PAO,TATN,0.2627%
Ctrip.Com International Ltd,CTRP,0.262%
MediaTek Inc,2454,0.2611%
Credicorp Ltd,BAP,0.2584%
Grupo Financiero Banorte SAB de CV,GFNORTEO,0.2437%
Hyundai Mobis Co Ltd,012330,0.2426%
PetroChina Co Ltd,857,0.2389%
Hindustan Unilever Ltd,HUVR,0.2373%
ITC Ltd,ITC,0.2372%
Agricultural Bank of China Ltd,1288,0.2331%
Maruti Suzuki India Ltd,MSIL,0.2303%
LG Chem Ltd,051910,0.2298%
Formosa Plastics Corp,1301,0.2289%
Wal Mart de Mexico SAB de CV,WALMEX*,0.2288%
B3 SA Brasil Bolsa Balcao,B3SA3,0.228%
Itausa Investimentos Itau SA,ITSA4,0.2276%
Yum China Holdings Inc,YUMC,0.2276%
Cathay Financial Holding Co Ltd,2882,0.2268%
Axis Bank Ltd,AXSB,0.2241%
CP All PCL,CPALL-R,0.2238%
Telekomunikasi Indonesia (Persero) Tbk Perusahaan Perseroan PT,TLKM,0.223%
Chunghwa Telecom Co Ltd,2412,0.2209%
Tenaga Nasional Bhd,TENAGA,0.2188%
Geely Automobile Holdings Ltd,175,0.2187%
Bank Rakyat Indonesia (Persero) Tbk PT,BBRI,0.2071%
Public Bank Bhd,PBLOF,0.2062%
Nan Ya Plastics Corp,1303,0.2044%
LARGAN Precision Co Ltd,3008,0.201%
China Overseas Land & Investment Ltd,688,0.1983%
CTBC Financial Holding Co Ltd,2891,0.1981%
SK Innovation Co Ltd,096770,0.1981%
Hana Financial Group Inc,086790,0.1972%
New Oriental Education & Technology Group Inc,EDU,0.1959%
Sunny Optical Technology Group Co Ltd,2382,0.1941%
Grupo Mexico SAB de CV,GMEXICOB,0.1938%
LG Household & Healthcare Ltd,051900,0.193%
Novatek PAO,NVTK,0.1874%
TAL Education Group,TAL,0.1827%
GMK Noril'skiy Nikel' PAO,GMKN,0.1812%
CSPC Pharmaceutical Group Ltd,1093,0.1805%
China Pacific Insurance Group Co Ltd,2601,0.1799%
Country Garden Holdings Co Ltd,2007,0.178%
Fubon Financial Holding Co Ltd,2881,0.177%
Powszechna Kasa Oszczednosci Bank Polski SA,PKO,0.1743%
Uni-President Enterprises Corp,1216,0.1738%
Sunac China Holdings Ltd,1918,0.1702%
Astra International Tbk PT,ASII,0.1701%
OTP Bank Nyrt,OTP,0.1701%
AAC Technologies Holdings Inc,2018,0.17%
Malayan Banking Bhd,MAYBANK,0.168%
Amorepacific Corp,090430,0.1675%
KT&G Corp,033780,0.1649%
China Evergrande Group,3333,0.1641%
Formosa Chemicals & Fibre Corp,1326,0.1634%
Larsen & Toubro Ltd,LT,0.1626%
Barclays Africa Group Ltd,BGA,0.1616%
ICICI Bank Ltd,ICICIBANK,0.161%
Mahindra and Mahindra Ltd,MM,0.1597%
China Resources Land Ltd,1109,0.1571%
Bank Mandiri (Persero) Tbk PT,BMRI,0.1562%
SK Holdings Co Ltd,034730,0.1553%
Airports of Thailand PCL,AOT-R,0.1534%
Qatar National Bank QPSC,QNBK,0.1525%
China Steel Corp,2002,0.1516%
Samsung SDI Co Ltd,006400,0.15%
Remgro Ltd,REM,0.1493%
Mega Financial Holding Co Ltd,2886,0.1475%
Samsung C&T Corp,028260,0.147%
China Mengniu Dairy Co Ltd,2319,0.1462%
Banco Bradesco SA,BBDC3,0.1454%
Sino Biopharmaceutical Ltd,1177,0.1453%
Cemex SAB de CV,CEMEXCPO,0.1435%
Sanlam Ltd,SLM,0.1428%
Shoprite Holdings Ltd,SHP,0.1415%
ASE Industrial Holding Co Ltd,3711,0.1408%
Grupo Televisa SAB,TLEVISACPO,0.1396%
Yes Bank Ltd,YESBANK,0.1375%
Banco do Brasil SA,BBAS3,0.137%
Korea Electric Power Corp,015760,0.1368%
HCL Technologies Ltd,HCLT,0.1358%
Bharti Airtel Ltd,BHARTI,0.1344%
Aspen Pharmacare Holdings Ltd,APN,0.1343%
CIMB Group Holdings Bhd,CIMB,0.133%
Emirates Telecommunications Group Co PJSC,ETISALAT,0.1327%
CITIC Ltd,267,0.1327%
Tata Motors Ltd,TTMT,0.1323%
China Unicom Hong Kong Ltd,762,0.1317%
58.com Inc,WUBA,0.1296%
China Shenhua Energy Co Ltd,1088,0.129%
Kia Motors Corp,000270,0.1287%
Shenzhou International Group Holdings Ltd,2313,0.1286%
PICC Property and Casualty Co Ltd,2328,0.1246%
Sun Pharmaceutical Industries Ltd,SUNP,0.1227%
Kasikornbank PCL,KBANK-F,0.1202%
Bid Corporation Ltd,BID,0.1195%
Samsung Fire & Marine Insurance Co Ltd,000810,0.1192%
Samsung Life Insurance Co Ltd,032830,0.1181%
Samsung SDS Co Ltd,018260,0.118%
Polski Koncern Naftowy Orlen SA,PKN,0.118%
Vodacom Group Ltd,VOD,0.1175%
Anhui Conch Cement Co Ltd,914,0.1175%
Siam Commercial Bank PCL,SCB-R,0.1173%
Powszechny Zaklad Ubezpieczen SA,PZU,0.1164%
NK Lukoil PAO,LKOD,0.1145%
LG Corp,003550,0.1133%
Empresas Copec SA,COPEC,0.1133%
Bank of Communications Co Ltd,3328,0.111%
Advanced Info Service PCL,ADVANC-R,0.1102%
ENN Energy Holdings Ltd,2688,0.11%
Magnit PAO,MGNT,0.1093%
Cielo SA,CIEL3,0.1079%
Growthpoint Properties Ltd,GRT,0.1078%
SACI Falabella,FALABELLA,0.1073%
Delta Electronics Inc,2308,0.1065%
Vedanta Ltd,SSLT,0.1062%
PTT Global Chemical PCL,PTTGC-R,0.106%
Woori Bank,000030,0.1043%
Vipshop Holdings Ltd,VIPS,0.1038%
Lojas Renner SA,LREN3,0.1037%
Samsung Biologics Co Ltd,207940,0.1034%
Enel Americas SA,ENELAM,0.1033%
Bidvest Group Ltd,BVT,0.1032%
Hengan International Group Company Ltd,1044,0.1025%
ANTA Sports Products Ltd,2020,0.1019%
Indiabulls Housing Finance Ltd,IBULHSGFIN,0.1019%
State Bank of India,SBIN,0.1018%
China Telecom Corp Ltd,728,0.1016%
China Gas Holdings Ltd,384,0.1015%
China Citic Bank Corp Ltd,998,0.1011%
United Microelectronics Corp,2303,0.1009%
Eicher Motors Ltd,EIM,0.1007%
China Resources Beer Holdings Co Ltd,291,0.1006%
First Financial Holding Co Ltd,2892,0.0988%
E.SUN Financial Holding Co Ltd,2884,0.0987%
Catcher Technology Co Ltd,2474,0.0985%
PTT Exploration and Production PCL,PTTEP-R,0.0972%
NK Rosneft' PAO,ROSN,0.0953%
Samsung Electro-Mechanics Co Ltd,009150,0.0952%
Grasim Industries Ltd,GRASIM,0.0949%
Ultrapar Participacoes SA,UGPA3,0.0945%
NCSOFT Corp,036570,0.0937%
Telefonica Brasil SA,VIVT4,0.0935%
Bancolombia SA,PFBCOLOM,0.0926%
Lotte Chemical Corp,011170,0.0915%
Gazprom PAO,OGZD,0.0913%
Ayala Land Inc,ALI,0.0906%
SM Prime Holdings Inc,SMPH,0.0896%
UltraTech Cement Ltd,UTCEM,0.0895%
Asian Paints Ltd,APNT,0.0892%
China Taiping Insurance Holdings Co Ltd,966,0.0887%
Weibo Corp,WB,0.0881%
Banco Santander-Chile,BSANTANDER,0.0879%
Ecopetrol SA,ECOPETROL,0.0878%
Taiwan Mobile Co Ltd,3045,0.0876%
Fosun International Ltd,656,0.0875%
President Chain Store Corp,2912,0.0871%
Kroton Educacional SA,KROT3,0.0866%
SINA Corp,SINA,0.0859%
E-Mart Inc,139480,0.0857%
Commercial International Bank Egypt SAE,COMI,0.0854%
Emaar Properties PJSC,EMAAR,0.0851%
Mobil'nye Telesistemy PAO,MBT,0.085%
BB Seguridade Participacoes SA,BBSE3,0.0841%
Sociedad Quimica y Minera de Chile SA,SQM-B,0.0839%
Brilliance China Automotive Holdings Ltd,1114,0.0838%
BDO Unibank Inc,BDO,0.0837%
Zee Entertainment Enterprises Ltd,Z,0.0833%
Formosa Petrochemical Corp,6505,0.0828%
Fibra Uno Administracion SA de CV,FUNO11,0.0828%
Asustek Computer Inc,2357,0.0825%
Autohome Inc,ATHM,0.0824%
PETRONAS Chemicals Group Bhd,PCHEM,0.0823%
Mr Price Group Ltd,MRP,0.0822%
Woolworths Holdings Ltd,WHL,0.0821%
Siam Cement PCL,SCC-F,0.0819%
China Development Financial Holding Corp,2883,0.0817%
China Conch Venture Holdings Ltd,586,0.0815%
Nedbank Group Ltd,NED,0.0815%
Unilever Indonesia Tbk PT,UNVR,0.0813%
CITIC Securities Co Ltd,6030,0.0813%
First Abu Dhabi Bank PJSC,FAB,0.0813%
LG Display Co Ltd,034220,0.0809%
Suzano Papel e Celulose SA,SUZB3,0.0807%
Genting Bhd,GENTING,0.0805%
China Communications Construction Co Ltd,1800,0.0805%
Turkiye Garanti Bankasi AS,GARAN,0.0805%
Bajaj Finance Ltd,BAJFINANCE,0.0803%
Tiger Brands Ltd,TBS,0.0795%
Bank Polska Kasa Opieki SA,PEO,0.0793%
Southern Copper Corp,SCCO,0.0786%
China Minsheng Banking Corp Ltd,1988,0.0782%
Redefine Properties Ltd,RDF,0.0779%
Titan Company Ltd,TTAN,0.0777%
Yuanta Financial Holdings Co Ltd,2885,0.0775%
Wipro Ltd,WPRO,0.0774%
Empresas CMPC SA,CMPC,0.0774%
China Vanke Co Ltd,2202,0.0766%
SINOPHARM GROUP CO LTD,1099,0.0765%
Taiwan Cement Corp,1101,0.0765%
Tech Mahindra Ltd,TECHM,0.0763%
Kakao Corp,035720,0.0754%
Discovery Ltd,DSY,0.0753%
Gerdau SA,GGBR4,0.0752%
Ayala Corp,AC,0.0752%
Fibria Celulose SA,FIBR3,0.0747%
Hyundai Engineering & Construction Co Ltd,000720,0.0742%
Coway Co Ltd,021240,0.0738%
Adani Ports and Special Economic Zone Ltd,ADSEZ,0.0735%
S-Oil Corp,010950,0.0734%
Rumo SA,RAIL3,0.0734%
Want Want China Holdings Ltd,151,0.0728%
Bharat Petroleum Corporation Ltd,BPCL,0.0724%
Bank Negara Indonesia (Persero) Tbk PT,BBNI,0.072%
Clicks Group Ltd,CLS,0.0719%
SM Investments Corp,SM,0.0718%
Industries Qatar QSC,IQCD,0.0717%
LATAM Airlines Group SA,LTM,0.0709%
Byd Co Ltd,1211,0.0707%
JSW Steel Ltd,JSWSTEEL,0.0706%
Godrej Consumer Products Ltd,GCPL,0.0705%
Taiwan Cooperative Financial Holding Co Ltd,5880,0.0705%
NTPC Ltd,NTPC,0.0703%
Akbank TAS,AKBNK,0.0702%
Taishin Financial Holding Co Ltd,2887,0.0701%
Pegatron Corp,4938,0.07%
Longfor Properties Co Ltd,960,0.07%
Banco de Chile,CHILE,0.0698%
Haier Electronics Group Co Ltd,1169,0.0697%
SillaJen Inc,215600,0.0696%
Haitong Securities Co Ltd,6837,0.0692%
YY Inc,YY,0.069%
MOL Plc,MOL,0.0685%
Hindalco Industries Ltd,HNDL,0.0685%
Rmb Holdings Ltd,RMH,0.0683%
CCR SA,CCRO3,0.0677%
Hyundai Steel Co,004020,0.0676%
Hua Nan Financial Holdings Co Ltd,2880,0.0674%
Hyundai Heavy Industries Co Ltd,009540,0.0673%
SK Telecom Co Ltd,017670,0.0672%
Banco Santander Brasil SA,SANB11,0.0671%
CEZ as,CEZ,0.0668%
UPL Ltd,UPLL,0.0667%
Abu Dhabi Commercial Bank PJSC,ADCB,0.066%
United Tractors Tbk PT,UNTR,0.0659%
Embraer SA,EMBR3,0.0656%
Raia Drogasil SA,RADL3,0.0655%
DP World Ltd,DPW,0.0653%
Equatorial Energia SA,EQTL3,0.0646%
Yageo Corp,2327,0.0646%
Chailease Holding Co Ltd,5871,0.0642%
Cencosud SA,CENCOSUD,0.0642%
Guangdong Investment Ltd,270,0.0641%
Masraf Al Rayan QPSC,MARK,0.063%
AngloGold Ashanti Ltd,ANG,0.0629%
Bajaj Auto Ltd,BJAUT,0.0628%
Grupo Financiero Inbursa SAB de CV,GFINBURO,0.0627%
Genting Malaysia Bhd,GENM,0.0627%
NEPI Rockcastle PLC,NRP,0.0625%
Amorepacific Group,002790,0.0622%
Lojas Americanas SA,LAME4,0.0617%
Alpha Bank SA,ALBKF,0.0615%
Far EasTone Telecommunications Co Ltd,4904,0.0614%
China National Building Material Co Ltd,CBUMF,0.0614%
Momo Inc,MOMO,0.0613%
KGHM Polska Miedz SA,KGH,0.0613%
Bank VTB PAO,VTBR,0.061%
DiGi.Com Bhd,DIGI,0.061%
Alfa SAB de CV,ALFAA,0.0608%
Dr.Reddy's Laboratories Ltd,DRRD,0.0606%
Hyundai Heavy Industries Holdings Co Ltd,267250,0.0606%
Komercni Banka as,KOMB,0.0606%
Grupo Aeroportuario del Sureste SAB de CV,ASURB,0.0605%
Hellenic Telecommunications Organization SA,HTO,0.0603%
Localiza Rent a Car SA,RENT3,0.0602%
Tim Participacoes SA,TIMP3,0.0602%
Eregli Demir ve Celik Fabrikalari TAS,EREGL,0.06%
New China Life Insurance Co Ltd,1336,0.0596%
Grupo Bimbo SAB de CV,BIMBOA,0.0595%
Hong Leong Bank Bhd,HLBANK,0.0591%
Foschini Group Ltd,TFG,0.059%
Motherson Sumi Systems Ltd,MSS,0.0587%
Oil and Natural Gas Corporation Ltd,ONGC,0.0586%
BIM Birlesik Magazalar AS,BIMAS,0.0586%
Enel Chile SA,ENELCHILE,0.0585%
HLB Inc,028300,0.0585%
Nestle India Ltd,NEST,0.0584%
IHH Healthcare Bhd,IHH,0.0582%
WEG SA,WEGE3,0.0581%
Sappi Ltd,SAP,0.0581%
Axiata Group Bhd,AXIATA,0.058%
Semiconductor Manufacturing International Corp,981,0.0579%
AK Alrosa PAO,ALRS,0.0578%
Grupo de Inversiones Suramericana SA,GRUPOSURA,0.0577%
Truworths International Ltd,TRU,0.0575%
Bank Zachodni WBK SA,BZW,0.0573%
Shriram Transport Finance Company Ltd,SHTF,0.0571%
Bajaj Finserv Ltd,BJFIN,0.057%
Grupo Aeroportuario del Pacifico SAB de CV,GAPB,0.0568%
Central Pattana PCL,CPN-R,0.0568%
China Huarong Asset Management Co Ltd,2799,0.0568%
Hankook Tire Co Ltd,161390,0.0567%
Industrial Bank of Korea,024110,0.0567%
Hyundai Motor Co,005387,0.0566%
China Resources Power Holdings Co Ltd,836,0.0565%
Lenovo Group Ltd,992,0.0563%
Kasikornbank PCL,KBANK-R,0.056%
Klabin SA,KLBN11,0.0558%
Cipla Ltd,CIPLA,0.0558%
Tingyi Cayman Islands Holding Corp,322,0.0557%
JG Summit Holdings Inc,JGS,0.0555%
Dabur India Ltd,DABUR,0.055%
Korea Zinc Inc,010130,0.055%
GAIL (India) Ltd,GAIL,0.0548%
Severstal' PAO,CHMF,0.0546%
LPP SA,LPP,0.0546%
Beijing Enterprises Water Group Ltd,371,0.0545%
Dialog Group Bhd,DIALOG,0.0544%
Netmarble Corp,251270,0.0542%
CRRC Corp Ltd,1766,0.054%
Sinopac Financial Holdings Co Ltd,2890,0.0538%
China Life Insurance Co Ltd,2823,0.0536%
AU Optronics Corp,2409,0.0536%
Gold Fields Ltd,GFI,0.0534%
Avi Ltd,AVI,0.0534%
Piramal Enterprises Ltd,PIEL,0.0533%
Guangzhou Automobile Group Co Ltd,2238,0.0532%
Surgutneftegaz OAO,SNGSP,0.0532%
Shimao Property Holdings Ltd,813,0.0528%
Shin Kong Financial Holding Co Ltd,2888,0.0527%
Turkcell Iletisim Hizmetleri AS,TCELL,0.0526%
Innolux Corp,3481,0.0523%
Great Wall Motor Co Ltd,2333,0.0523%
China Everbright International Ltd,257,0.0519%
Mirae Asset Daewoo Co Ltd,006800,0.0519%
United Spirits Ltd,UNSP,0.0519%
Sime Darby Plantation Bhd,SIMEPLT,0.0517%
Companhia Brasileira de Distribuicao,PCAR4,0.0516%
Banco de Credito e Inversiones,BCI,0.0514%
Ashok Leyland Ltd,AL,0.0514%
Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP,SBSP3,0.0514%
SPAR Group Ltd,SPP,0.0512%
Huatai Securities Co Ltd,6886,0.0511%
Compania de Minas Buenaventura SAA,BVN,0.0511%
BRF SA,BRFS3,0.0509%
Moskovskaya Birzha MMVB-RTS PAO,MOEX,0.0509%
Korea Investment Holdings Co Ltd,071050,0.0508%
Fullshare Holdings Ltd,607,0.0507%
Mexichem SAB de CV,MEXCHEM*,0.0506%
Coal India Ltd,COAL,0.0505%
China Medical System Holdings Ltd,867,0.0505%
Turkiye Petrol Rafinerileri AS,TUPRS,0.0504%
China Railway Group Ltd,390,0.0503%
China Cinda Asset Management Co Ltd,1359,0.0503%
Greek Organisation of Football Prognostics SA,OPAP,0.0502%
Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,0.0501%
Petronas Gas Bhd,PETGAS,0.0489%
