IJR: iShares Core S&P Small-Cap ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	37959903
Shares Outstanding: 484700000
Expense Ratio: 0.07%
Tracks This Index: S&P SmallCap 600 Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IJR


Holding,Symbol,Weighting
Chemed Corp,CHE,0.653%
Haemonetics Corp,HAE,0.5423%
FirstCash Inc,FCFS,0.5359%
ASGN Inc,ASGN,0.5202%
Integra LifeSciences Holdings Corp,IART,0.5162%
Stamps.Com Inc,STMP,0.4972%
CACI International Inc,CACI,0.4785%
PDC Energy Inc,PDCE,0.478%
Neogen Corp,NEOG,0.4667%
Spire Inc,SR,0.4569%
HealthEquity Inc,HQY,0.4519%
Selective Insurance Group Inc,SIGI,0.4496%
First Financial Bankshares Inc,FFIN,0.4492%
Avista Corp,AVA,0.4474%
Ingevity Corp,NGVT,0.4258%
Ligand Pharmaceuticals Inc,LGND,0.4234%
AMN Healthcare Services Inc,AMN,0.4107%
Eastgroup Properties Inc,EGP,0.4086%
Trex Company Inc,TREX,0.405%
Ollie's Bargain Outlet Holdings Inc,OLLI,0.4025%
Shutterfly Inc,SFLY,0.3982%
Korn/Ferry International,KFY,0.3973%
SkyWest Inc,SKYW,0.3972%
First Financial Bancorp,FFBC,0.3962%
Columbia Banking System Inc,COLB,0.3953%
KapStone Paper and Packaging Corp,KS,0.3948%
Insperity Inc,NSP,0.3934%
Glacier Bancorp Inc,GBCI,0.3925%
Marriott Vacations Worldwide Corp,VAC,0.3832%
Community Bank System Inc,CBU,0.3831%
Hillenbrand Inc,HI,0.3827%
Proto Labs Inc,PRLB,0.3802%
Balchem Corp,BCPC,0.3786%
Wolverine World Wide Inc,WWW,0.3754%
John Bean Technologies Corp,JBT,0.374%
Green Dot Corp,GDOT,0.3694%
Financial Engines Inc,FNGN,0.3682%
Inogen Inc,INGN,0.3673%
Darling Ingredients Inc,DAR,0.3632%
TopBuild Corp,BLD,0.3531%
Tetra Tech Inc,TTEK,0.3518%
SRC Energy Inc,SRCI,0.351%
Moog Inc,MOG.A,0.3495%
Cabot Microelectronics Corp,CCMP,0.3489%
Semtech Corp,SMTC,0.3464%
Barnes Group Inc,B,0.3453%
South Jersey Industries Inc,SJI,0.34%
Steven Madden Ltd,SHOO,0.3395%
First Midwest Bancorp Inc,FMBI,0.333%
Applied Industrial Technologies Inc,AIT,0.3306%
HB Fuller Co,FUL,0.3296%
UniFirst Corp,UNF,0.3282%
Merit Medical Systems Inc,MMSI,0.3256%
ProAssurance Corp,PRA,0.3252%
RLI Corp,RLI,0.3244%
Great Western Bancorp Inc,GWB,0.3241%
LCI Industries,LCII,0.3237%
Simpson Manufacturing Co Inc,SSD,0.3202%
Advanced Energy Industries Inc,AEIS,0.3186%
Qualys Inc,QLYS,0.3161%
Vonage Holdings Corp,VG,0.3146%
Simmons First National Corp,SFNC,0.3124%
Supernus Pharmaceuticals Inc,SUPN,0.3123%
II-VI Inc,IIVI,0.3115%
United Community Banks Inc,UCBI,0.3077%
Lithia Motors Inc,LAD,0.3059%
Old National Bancorp,ONB,0.3057%
CVB Financial Corp,CVBF,0.3035%
PS Business Parks Inc,PSB,0.3025%
Hope Bancorp Inc,HOPE,0.2958%
Exponent Inc,EXPO,0.2926%
Itron Inc,ITRI,0.2926%
DiamondRock Hospitality Co,DRH,0.2915%
Axon Enterprise Inc,AAXN,0.2895%
BofI Holding Inc,BOFI,0.2886%
Oil States International Inc,OIS,0.2882%
Travelport Worldwide Ltd,TVPT,0.2872%
Viavi Solutions Inc,VIAV,0.2852%
Sanmina Corp,SANM,0.284%
Magellan Health Inc,MGLN,0.2839%
FTI Consulting Inc,FCN,0.2828%
Hawaiian Holdings Inc,HA,0.2757%
El Paso Electric Co,EE,0.2727%
Watts Water Technologies Inc,WTS,0.2715%
American States Water Co,AWR,0.2708%
Power Integrations Inc,POWI,0.2704%
Independent Bank Corp,INDB,0.2702%
Childrens Place Inc,PLCE,0.2698%
Allegiant Travel Co,ALGT,0.2658%
Select Medical Holdings Corp,SEM,0.265%
Cogent Communications Holdings Inc,CCOI,0.2646%
ABM Industries Inc,ABM,0.2632%
LHC Group Inc,LHCG,0.263%
Rogers Corp,ROG,0.2624%
Acadia Realty Trust,AKR,0.2623%
Ameris Bancorp,ABCB,0.2613%
Universal Forest Products Inc,UFPI,0.2611%
Apollo Commercial Real Estate Finance Inc,ARI,0.2598%
Cooper-Standard Holdings Inc,CPS,0.2592%
Aerojet Rocketdyne Holdings Inc,AJRD,0.2572%
Myriad Genetics Inc,MYGN,0.256%
Quaker Chemical Corp,KWR,0.2558%
8x8 Inc,EGHT,0.2553%
J & J Snack Foods Corp,JJSF,0.255%
Dorman Products Inc,DORM,0.2543%
Medicines Co,MDCO,0.2525%
California Water Service Group,CWT,0.2517%
ServisFirst Bancshares Inc,SFBS,0.2509%
Penn National Gaming Inc,PENN,0.2506%
Retail Opportunity Investments Corp,ROIC,0.2505%
Plexus Corp,PLXS,0.2504%
Brooks Automation Inc,BRKS,0.2499%
C&J Energy Services Inc,CJ,0.2487%
Banner Corp,BANR,0.2479%
Solaredge Technologies Inc,SEDG,0.2477%
Amedisys Inc,AMED,0.2468%
Mobile Mini Inc,MINI,0.2459%
McDermott International Inc,MDR,0.245%
Finisar Corp,FNSR,0.2448%
RH,RH,0.2434%
Exlservice Holdings Inc,EXLS,0.2418%
