IVV: iShares Core S&P 500 ETF
Inception Date: 2000-05-15
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	141229629
Shares Outstanding: 533000000
Expense Ratio: 0.04%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IVV


Holding,Symbol,Weighting
Apple Inc,AAPL,3.9783%
Microsoft Corp,MSFT,3.1973%
Amazon.com Inc,AMZN,2.7961%
Facebook Inc,FB,1.8739%
Berkshire Hathaway Inc,BRK.B,1.6517%
JPMorgan Chase & Co,JPM,1.6446%
Johnson & Johnson,JNJ,1.471%
Exxon Mobil Corp,XOM,1.4452%
Alphabet Inc,GOOG,1.384%
Alphabet Inc,GOOGL,1.3631%
Bank of America Corp,BAC,1.2568%
Intel Corp,INTC,1.0874%
Chevron Corp,CVX,1.0646%
Wells Fargo & Co,WFC,1.0175%
Visa Inc,V,1.0121%
UnitedHealth Group Inc,UNH,1.0027%
Home Depot Inc,HD,0.964%
Cisco Systems Inc,CSCO,0.9382%
Pfizer Inc,PFE,0.9222%
Verizon Communications Inc,VZ,0.8755%
AT&T Inc,T,0.8743%
Boeing Co,BA,0.7953%
Procter & Gamble Co,PG,0.7941%
Citigroup Inc,C,0.7759%
Mastercard Inc,MA,0.7616%
Coca-Cola Co,KO,0.7172%
AbbVie Inc,ABBV,0.7106%
Merck & Co Inc,MRK,0.6859%
Walt Disney Co,DIS,0.6655%
DowDuPont Inc,DWDP,0.6599%
Comcast Corp,CMCSA,0.6443%
PepsiCo Inc,PEP,0.6143%
Oracle Corp,ORCL,0.6108%
NVIDIA Corp,NVDA,0.6081%
Netflix Inc,NFLX,0.6031%
McDonald's Corp,MCD,0.5688%
Walmart Inc,WMT,0.5565%
Philip Morris International Inc,PM,0.5526%
General Electric Co,GE,0.5467%
International Business Machines Corp,IBM,0.5419%
3M Co,MMM,0.5138%
Amgen Inc,AMGN,0.5026%
Adobe Systems Inc,ADBE,0.4823%
Medtronic PLC,MDT,0.4808%
Honeywell International Inc,HON,0.477%
Booking Holdings Inc,BKNG,0.4706%
Altria Group Inc,MO,0.4699%
Union Pacific Corp,UNP,0.4588%
Texas Instruments Inc,TXN,0.45%
Abbott Laboratories,ABT,0.4471%
Schlumberger NV,SLB,0.4219%
Broadcom Inc,AVGO,0.4161%
Accenture PLC,ACN,0.4129%
Nike Inc,NKE,0.3936%
United Technologies Corp,UTX,0.3918%
Gilead Sciences Inc,GILD,0.3892%
Caterpillar Inc,CAT,0.3822%
Costco Wholesale Corp,COST,0.3778%
Salesforce.com Inc,CRM,0.3745%
Bristol-Myers Squibb Co,BMY,0.3736%
Thermo Fisher Scientific Inc,TMO,0.372%
Goldman Sachs Group Inc,GS,0.3675%
PayPal Holdings Inc,PYPL,0.3595%
Starbucks Corp,SBUX,0.3539%
U.S. Bancorp,USB,0.3474%
Nextera Energy Inc,NEE,0.3417%
ConocoPhillips,COP,0.3414%
United Parcel Service Inc,UPS,0.3398%
Eli Lilly and Co,LLY,0.3374%
Lockheed Martin Corp,LMT,0.3369%
Qualcomm Inc,QCOM,0.3304%
Time Warner Inc,TWX,0.3223%
Morgan Stanley,MS,0.3169%
American Express Co,AXP,0.3124%
Lowe's Companies Inc,LOW,0.3093%
PNC Financial Services Group Inc,PNC,0.3003%
EOG Resources Inc,EOG,0.2994%
CVS Health Corp,CVS,0.2971%
Charles Schwab Corp,SCHW,0.2961%
Celgene Corp,CELG,0.2899%
BlackRock Inc,BLK,0.2837%
Chubb Ltd,CB,0.2735%
Becton Dickinson and Co,BDX,0.2728%
Danaher Corp,DHR,0.2713%
American Tower Corp,AMT,0.2668%
FedEx Corp,FDX,0.2633%
Occidental Petroleum Corp,OXY,0.261%
Cash Component,CASH,0.2599%
Anthem Inc,ANTM,0.2595%
Raytheon Co,RTN,0.258%
Biogen Inc,BIIB,0.2566%
Aetna Inc,AET,0.2561%
Mondelez International Inc,MDLZ,0.2502%
Duke Energy Corp,DUK,0.2493%
Monsanto Co,MON,0.2457%
Colgate-Palmolive Co,CL,0.2454%
Bank of New York Mellon Corp,BK,0.2429%
Walgreens Boots Alliance Inc,WBA,0.2407%
Automatic Data Processing Inc,ADP,0.2405%
Stryker Corp,SYK,0.2395%
General Dynamics Corp,GD,0.2393%
Northrop Grumman Corp,NOC,0.2365%
CME Group Inc,CME,0.2361%
Applied Materials Inc,AMAT,0.2357%
Micron Technology Inc,MU,0.2355%
TJX Companies Inc,TJX,0.2345%
CSX Corp,CSX,0.234%
Activision Blizzard Inc,ATVI,0.2313%
Charter Communications Inc,CHTR,0.2261%
Intuitive Surgical Inc,ISRG,0.2237%
Allergan plc,AGN,0.2212%
Simon Property Group Inc,SPG,0.2211%
American International Group Inc,AIG,0.219%
Valero Energy Corp,VLO,0.2161%
Phillips 66,PSX,0.2135%
Cognizant Technology Solutions Corp,CTSH,0.2125%
S&P Global Inc,SPGI,0.2114%
MetLife Inc,MET,0.2078%
Southern Co,SO,0.2077%
General Motors Co,GM,0.2036%
Halliburton Co,HAL,0.2034%
Intuit Inc,INTU,0.2007%
Illinois Tool Works Inc,ITW,0.1955%
Deere & Co,DE,0.1943%
Ford Motor Co,F,0.194%
Capital One Financial Corp,COF,0.1932%
Praxair Inc,PX,0.1929%
Dominion Energy Inc,D,0.1918%
Emerson Electric Co,EMR,0.1913%
Prudential Financial Inc,PRU,0.1895%
Intercontinental Exchange Inc,ICE,0.1874%
Crown Castle International Corp,CCI,0.1864%
Cigna Corp,CI,0.186%
Express Scripts Holding Co,ESRX,0.1856%
BB&T Corp,BBT,0.1827%
Marsh & McLennan Companies Inc,MMC,0.1801%
Norfolk Southern Corp,NSC,0.1795%
Marriott International Inc,MAR,0.1792%
Boston Scientific Corp,BSX,0.1792%
Humana Inc,HUM,0.1759%
Exelon Corp,EXC,0.1734%
Zoetis Inc,ZTS,0.1731%
Constellation Brands Inc,STZ,0.1729%
Target Corp,TGT,0.172%
Twenty-First Century Fox Inc,FOXA,0.1716%
Vertex Pharmaceuticals Inc,VRTX,0.1692%
Ecolab Inc,ECL,0.1666%
Electronic Arts Inc,EA,0.1616%
Marathon Petroleum Corp,MPC,0.1603%
State Street Corp,STT,0.1594%
Illumina Inc,ILMN,0.1579%
Air Products and Chemicals Inc,APD,0.1574%
Kimberly-Clark Corp,KMB,0.1572%
HP Inc,HPQ,0.157%
Aflac Inc,AFL,0.1561%
Baxter International Inc,BAX,0.1558%
eBay Inc,EBAY,0.1558%
Travelers Companies Inc,TRV,0.155%
Prologis Inc,PLD,0.1535%
Progressive Corp,PGR,0.1527%
Aon PLC,AON,0.1519%
Delta Air Lines Inc,DAL,0.151%
LyondellBasell Industries NV,LYB,0.151%
American Electric Power Company Inc,AEP,0.1509%
Equinix Inc,EQIX,0.1504%
Anadarko Petroleum Corp,APC,0.15%
Allstate Corp,ALL,0.1484%
Pioneer Natural Resources Co,PXD,0.1482%
Fidelity National Information Services Inc,FIS,0.1457%
Analog Devices Inc,ADI,0.1453%
Johnson Controls International PLC,JCI,0.1453%
Kraft Heinz Co,KHC,0.1436%
Waste Management Inc,WM,0.1434%
TE Connectivity Ltd,TEL,0.1427%
Eaton Corporation PLC,ETN,0.1424%
McKesson Corp,MCK,0.1412%
SunTrust Banks Inc,STI,0.1388%
Public Storage,PSA,0.1375%
Lam Research Corp,LRCX,0.1373%
Sherwin-Williams Co,SHW,0.1373%
Kinder Morgan Inc,KMI,0.1362%
Ross Stores Inc,ROST,0.1354%
Sysco Corp,SYY,0.1342%
Estee Lauder Companies Inc,EL,0.1321%
DXC Technology Co,DXC,0.1289%
Red Hat Inc,RHT,0.1289%
Sempra Energy,SRE,0.1267%
Fiserv Inc,FISV,0.1266%
Southwest Airlines Co,LUV,0.1253%
Edwards Lifesciences Corp,EW,0.1232%
Weyerhaeuser Co,WY,0.123%
Autodesk Inc,ADSK,0.1229%
HCA Healthcare Inc,HCA,0.1217%
Roper Technologies Inc,ROP,0.1209%
Moody's Corp,MCO,0.1204%
T. Rowe Price Group Inc,TROW,0.1202%
PPG Industries Inc,PPG,0.1197%
Hewlett Packard Enterprise Co,HPE,0.1193%
M&T Bank Corp,MTB,0.1193%
Yum! Brands Inc,YUM,0.118%
VF Corp,VFC,0.1167%
Public Service Enterprise Group Inc,PEG,0.115%
Amphenol Corp,APH,0.1147%
Carnival Corp,CCL,0.1139%
ONEOK Inc,OKE,0.1138%
Alexion Pharmaceuticals Inc,ALXN,0.1121%
Discover Financial Services,DFS,0.1112%
Archer Daniels Midland Co,ADM,0.1107%
Dollar General Corp,DG,0.1099%
Consolidated Edison Inc,ED,0.1089%
General Mills Inc,GIS,0.1078%
Aptiv PLC,APTV,0.1067%
Zimmer Biomet Holdings Inc,ZBH,0.1055%
Xcel Energy Inc,XEL,0.1054%
PG&E Corp,PCG,0.1049%
Concho Resources Inc,CXO,0.1047%
Synchrony Financial,SYF,0.1046%
Corning Inc,GLW,0.1034%
Regeneron Pharmaceuticals Inc,REGN,0.1028%
Western Digital Corp,WDC,0.102%
Dollar Tree Inc,DLTR,0.1017%
Cummins Inc,CMI,0.1015%
Fifth Third Bancorp,FITB,0.1011%
AvalonBay Communities Inc,AVB,0.1007%
Equity Residential,EQR,0.1003%
Hilton Worldwide Holdings Inc,HLT,0.1001%
Parker-Hannifin Corp,PH,0.0988%
Northern Trust Corp,NTRS,0.0987%
Fortive Corp,FTV,0.0977%
Monster Beverage Corp,MNST,0.0971%
Paccar Inc,PCAR,0.0971%
Rockwell Collins Inc,COL,0.0965%
Digital Realty Trust Inc,DLR,0.0962%
Williams Companies Inc,WMB,0.0961%
O'Reilly Automotive Inc,ORLY,0.096%
Kroger Co,KR,0.0956%
Stanley Black & Decker Inc,SWK,0.0949%
Rockwell Automation Inc,ROK,0.0948%
Dr Pepper Snapple Group Inc,DPS,0.0946%
Ingersoll-Rand PLC,IR,0.0946%
Agilent Technologies Inc,A,0.0945%
Newmont Mining Corp,NEM,0.0935%
KeyCorp,KEY,0.0931%
Edison International,EIX,0.0927%
Regions Financial Corp,RF,0.0926%
International Paper Co,IP,0.0924%
Welltower Inc,WELL,0.091%
Cardinal Health Inc,CAH,0.0908%
Freeport-McMoRan Inc,FCX,0.0902%
WEC Energy Group Inc,WEC,0.0899%
Devon Energy Corp,DVN,0.0897%
Tyson Foods Inc,TSN,0.0891%
Citizens Financial Group Inc,CFG,0.0885%
PPL Corp,PPL,0.0884%
Microchip Technology Inc,MCHP,0.0883%
Centene Corp,CNC,0.088%
Andeavor,ANDV,0.0868%
Paychex Inc,PAYX,0.0868%
Willis Towers Watson PLC,WLTW,0.0863%
Ameriprise Financial Inc,AMP,0.0863%
Nucor Corp,NUE,0.0861%
Best Buy Co Inc,BBY,0.0859%
Mylan NV,MYL,0.0841%
Eversource Energy,ES,0.0838%
DTE Energy Co,DTE,0.083%
Boston Properties Inc,BXP,0.083%
Hartford Financial Services Group Inc,HIG,0.0829%
Ventas Inc,VTR,0.0826%
Cerner Corp,CERN,0.0818%
Royal Caribbean Cruises Ltd,RCL,0.0809%
CenturyLink Inc,CTL,0.0805%
SBA Communications Corp,SBAC,0.08%
Global Payments Inc,GPN,0.0799%
American Airlines Group Inc,AAL,0.0794%
NetApp Inc,NTAP,0.0794%
IHS Markit Ltd,INFO,0.0792%
Align Technology Inc,ALGN,0.0791%
Motorola Solutions Inc,MSI,0.078%
Laboratory Corporation of America Holdings,LH,0.0774%
Symantec Corp,SYMC,0.0771%
Harris Corp,HRS,0.0764%
Autozone Inc,AZO,0.0761%
CBS Corp,CBS,0.0751%
Omnicom Group Inc,OMC,0.0749%
Skyworks Solutions Inc,SWKS,0.0745%
IDEXX Laboratories Inc,IDXX,0.0744%
Xilinx Inc,XLNX,0.0742%
United Continental Holdings Inc,UAL,0.0728%
Textron Inc,TXT,0.0726%
Noble Energy Inc,NBL,0.0726%
Ametek Inc,AME,0.0725%
Wynn Resorts Ltd,WYNN,0.0721%
Comerica Inc,CMA,0.0719%
E*TRADE Financial Corp,ETFC,0.0717%
Huntington Bancshares Inc,HBAN,0.0717%
SVB Financial Group,SIVB,0.0716%
KLA-Tencor Corp,KLAC,0.0709%
Essex Property Trust Inc,ESS,0.0707%
MGM Resorts International,MGM,0.0705%
Twenty-First Century Fox Inc,FOX,0.0704%
Apache Corp,APA,0.07%
TransDigm Group Inc,TDG,0.0698%
Marathon Oil Corp,MRO,0.0691%
Seagate Technology PLC,STX,0.069%
Hess Corp,HES,0.0687%
Verisk Analytics Inc,VRSK,0.0687%
American Water Works Company Inc,AWK,0.0683%
Principal Financial Group Inc,PFG,0.0682%
FirstEnergy Corp,FE,0.0675%
Vulcan Materials Co,VMC,0.0669%
D.R. Horton Inc,DHI,0.0668%
Clorox Co,CLX,0.0665%
Baker Hughes A GE Co,BHGE,0.0664%
WestRock Co,WRK,0.0663%
AmerisourceBergen Corp,ABC,0.0661%
Cintas Corp,CTAS,0.0658%
Waters Corp,WAT,0.0657%
National Oilwell Varco Inc,NOV,0.0655%
Lincoln National Corp,LNC,0.0654%
Entergy Corp,ETR,0.0653%
Eastman Chemical Co,EMN,0.0651%
Lennar Corp,LEN,0.0651%
Realty Income Corp,O,0.0648%
TechnipFMC PLC,FTI,0.0646%
Republic Services Inc,RSG,0.0641%
Conagra Brands Inc,CAG,0.064%
L3 Technologies Inc,LLL,0.064%
Ulta Beauty Inc,ULTA,0.0638%
W W Grainger Inc,GWW,0.0636%
Mettler-Toledo International Inc,MTD,0.0635%
XL Group Ltd,XL,0.0634%
Fastenal Co,FAST,0.0631%
Ameren Corp,AEE,0.063%
Host Hotels & Resorts Inc,HST,0.0629%
IQVIA Holdings Inc,IQV,0.0629%
Brown-Forman Corp,BF.B,0.0625%
Kellogg Co,K,0.0624%
Expedia Group Inc,EXPE,0.0622%
CBRE Group Inc,CBRE,0.0618%
Nektar Therapeutics,NKTR,0.0612%
Dover Corp,DOV,0.061%
Loews Corp,L,0.0609%
Resmed Inc,RMD,0.0608%
Quest Diagnostics Inc,DGX,0.0604%
Total System Services Inc,TSS,0.0603%
MSCI Inc,MSCI,0.0602%
Citrix Systems Inc,CTXS,0.0599%
Ball Corp,BLL,0.0596%
Equifax Inc,EFX,0.0596%
ANSYS Inc,ANSS,0.0594%
Mohawk Industries Inc,MHK,0.0593%
Tapestry Inc,TPR,0.0585%
CMS Energy Corp,CMS,0.0584%
J M Smucker Co,SJM,0.0576%
Newell Brands Inc,NWL,0.0574%
Genuine Parts Co,GPC,0.0571%
Alexandria Real Estate Equities Inc,ARE,0.0568%
Synopsys Inc,SNPS,0.0565%
Hershey Co,HSY,0.0561%
Arthur J Gallagher & Co,AJG,0.0554%
McCormick & Company Inc,MKC,0.0552%
United Rentals Inc,URI,0.0552%
GGP Inc,GGP,0.0552%
Xylem Inc,XYL,0.0551%
Martin Marietta Materials Inc,MLM,0.055%
Akamai Technologies Inc,AKAM,0.0546%
EQT Corp,EQT,0.0541%
Vornado Realty Trust,VNO,0.0539%
Take-Two Interactive Software Inc,TTWO,0.0538%
Cboe Global Markets Inc,CBOE,0.0532%
Henry Schein Inc,HSIC,0.0526%
Masco Corp,MAS,0.0524%
C.H. Robinson Worldwide Inc,CHRW,0.0519%
PVH Corp,PVH,0.0517%
Invesco Ltd,IVZ,0.0514%
Raymond James Financial Inc,RJF,0.0514%
Dentsply Sirona Inc,XRAY,0.0508%
Darden Restaurants Inc,DRI,0.0507%
Cadence Design Systems Inc,CDNS,0.0507%
Extra Space Storage Inc,EXR,0.0507%
Molson Coors Brewing Co,TAP,0.0503%
Carmax Inc,KMX,0.0503%
Cooper Companies Inc,COO,0.0497%
Church & Dwight Co Inc,CHD,0.0495%
Hologic Inc,HOLX,0.0491%
Expeditors International of Washington Inc,EXPD,0.049%
Whirlpool Corp,WHR,0.0489%
HCP Inc,HCP,0.0488%
International Flavors & Fragrances Inc,IFF,0.0486%
Wyndham Worldwide Corp,WYN,0.0483%
Gartner Inc,IT,0.0483%
Kansas City Southern,KSU,0.0483%
Cabot Oil & Gas Corp,COG,0.048%
CenterPoint Energy Inc,CNP,0.048%
Albemarle Corp,ALB,0.048%
Incyte Corp,INCY,0.0475%
Norwegian Cruise Line Holdings Ltd,NCLH,0.0475%
Zions Bancorp,ZION,0.0475%
Packaging Corp of America,PKG,0.0474%
FMC Corp,FMC,0.0473%
Huntington Ingalls Industries Inc,HII,0.0472%
Kohls Corp,KSS,0.0471%
Franklin Resources Inc,BEN,0.0467%
CA Inc,CA,0.0467%
Varian Medical Systems Inc,VAR,0.0465%
Mid-America Apartment Communities Inc,MAA,0.0465%
Tiffany & Co,TIF,0.046%
Viacom Inc,VIAB,0.0459%
Cincinnati Financial Corp,CINF,0.0458%
Nasdaq Inc,NDAQ,0.0458%
Universal Health Services Inc,UHS,0.0453%
F5 Networks Inc,FFIV,0.045%
Perrigo Company PLC,PRGO,0.0449%
J B Hunt Transport Services Inc,JBHT,0.0448%
Duke Realty Corp,DRE,0.0446%
Chipotle Mexican Grill Inc,CMG,0.0445%
Nielsen Holdings PLC,NLSN,0.0442%
Michael Kors Holdings Ltd,KORS,0.044%
Verisign Inc,VRSN,0.0437%
Alliant Energy Corp,LNT,0.0437%
Hormel Foods Corp,HRL,0.043%
BorgWarner Inc,BWA,0.0428%
Hasbro Inc,HAS,0.0425%
Iron Mountain Inc,IRM,0.0423%
UDR Inc,UDR,0.0422%
Alliance Data Systems Corp,ADS,0.0421%
Cimarex Energy Co,XEC,0.0416%
Mosaic Co,MOS,0.0416%
LKQ Corp,LKQ,0.0416%
Macy's Inc,M,0.0416%
Qorvo Inc,QRVO,0.0415%
Everest Re Group Ltd,RE,0.0413%
CF Industries Holdings Inc,CF,0.0413%
Avery Dennison Corp,AVY,0.0409%
DaVita Inc,DVA,0.0407%
NRG Energy Inc,NRG,0.0407%
Advanced Micro Devices Inc,AMD,0.0402%
Western Union Co,WU,0.0398%
Torchmark Corp,TMK,0.0397%
IPG Photonics Corp,IPGP,0.0393%
Interpublic Group of Companies Inc,IPG,0.0393%
Affiliated Managers Group Inc,AMG,0.0389%
SL Green Realty Corp,SLG,0.0388%
A. O. Smith Corp,AOS,0.0385%
Pinnacle West Capital Corp,PNW,0.0384%
Unum Group,UNM,0.0384%
Regency Centers Corp,REG,0.0382%
NiSource Inc,NI,0.0381%
Juniper Networks Inc,JNPR,0.0378%
Advance Auto Parts Inc,AAP,0.0376%
Federal Realty Investment Trust,FRT,0.0375%
L Brands Inc,LB,0.0373%
Tractor Supply Co,TSCO,0.0371%
Fortune Brands Home & Security Inc,FBHS,0.0367%
Snap-On Inc,SNA,0.0362%
PerkinElmer Inc,PKI,0.036%
Fluor Corp,FLR,0.0359%
Alaska Air Group Inc,ALK,0.0354%
PulteGroup Inc,PHM,0.0353%
AES Corp,AES,0.0351%
Leucadia National Corp,LUK,0.0345%
Campbell Soup Co,CPB,0.0341%
Robert Half International Inc,RHI,0.034%
DISH Network Corp,DISH,0.0337%
Discovery Inc,DISCK,0.0336%
Coty Inc,COTY,0.0334%
Pentair PLC,PNR,0.0333%
Arconic Inc,ARNC,0.0332%
Helmerich and Payne Inc,HP,0.0328%
FLIR Systems Inc,FLIR,0.0325%
Sealed Air Corp,SEE,0.0323%
Allegion PLC,ALLE,0.0318%
Jacobs Engineering Group Inc,JEC,0.0309%
Garmin Ltd,GRMN,0.0304%
Harley-Davidson Inc,HOG,0.0294%
Apartment Investment and Management Co,AIV,0.0292%
People's United Financial Inc,PBCT,0.0286%
Xerox Corp,XRX,0.0284%
Gap Inc,GPS,0.0281%
Macerich Co,MAC,0.0278%
HanesBrands Inc,HBI,0.0277%
News Corp,NWSA,0.0273%
Kimco Realty Corp,KIM,0.027%
Goodyear Tire & Rubber Co,GT,0.0264%
Flowserve Corp,FLS,0.026%
Nordstrom Inc,JWN,0.0258%
Ralph Lauren Corp,RL,0.0249%
Newfield Exploration Co,NFX,0.0244%
H & R Block Inc,HRB,0.0244%
Leggett & Platt Inc,LEG,0.024%
SCANA Corp,SCG,0.023%
Stericycle Inc,SRCL,0.0229%
Foot Locker Inc,FL,0.0228%
Quanta Services Inc,PWR,0.0215%
Acuity Brands Inc,AYI,0.0213%
Brighthouse Financial Inc,BHF,0.0211%
Mattel Inc,MAT,0.0209%
Assurant Inc,AIZ,0.0203%
Envision Healthcare Corp,EVHC,0.0202%
TripAdvisor Inc,TRIP,0.0182%
Discovery Inc,DISCA,0.0157%
Navient Corp,NAVI,0.0148%
Under Armour Inc,UAA,0.0144%
Under Armour Inc,UA,0.0141%
Range Resources Corp,RRC,0.0137%
News Corp,NWS,0.0084%
