IVW: iShares S&P 500 Growth ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	19832611
Shares Outstanding: 127400000
Expense Ratio: 0.18%
Tracks This Index: S&P 500/Citigroup Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IVW


Holding,Symbol,Weighting
Apple Inc,AAPL,7.5042%
Microsoft Corp,MSFT,6.0309%
Amazon.com Inc,AMZN,5.2836%
Facebook Inc,FB,3.5333%
Alphabet Inc,GOOG,2.6058%
Alphabet Inc,GOOGL,2.5705%
Visa Inc,V,1.9078%
UnitedHealth Group Inc,UNH,1.8926%
Home Depot Inc,HD,1.8176%
Boeing Co,BA,1.5036%
Johnson & Johnson,JNJ,1.4978%
Mastercard Inc,MA,1.4372%
AbbVie Inc,ABBV,1.3398%
Intel Corp,INTC,1.1687%
NVIDIA Corp,NVDA,1.1456%
Netflix Inc,NFLX,1.1393%
Bank of America Corp,BAC,1.1378%
McDonald's Corp,MCD,1.0735%
3M Co,MMM,0.9696%
Adobe Systems Inc,ADBE,0.909%
Booking Holdings Inc,BKNG,0.8838%
Texas Instruments Inc,TXN,0.8479%
Abbott Laboratories,ABT,0.8436%
Cisco Systems Inc,CSCO,0.8142%
Pfizer Inc,PFE,0.8001%
Broadcom Inc,AVGO,0.7846%
Salesforce.com Inc,CRM,0.7053%
PayPal Holdings Inc,PYPL,0.6773%
Coca-Cola Co,KO,0.6085%
Comcast Corp,CMCSA,0.6076%
Walt Disney Co,DIS,0.59%
Oracle Corp,ORCL,0.5876%
PepsiCo Inc,PEP,0.5671%
Amgen Inc,AMGN,0.5594%
Charles Schwab Corp,SCHW,0.5584%
Procter & Gamble Co,PG,0.5541%
Celgene Corp,CELG,0.5471%
Honeywell International Inc,HON,0.5309%
Philip Morris International Inc,PM,0.5207%
Becton Dickinson and Co,BDX,0.5146%
Thermo Fisher Scientific Inc,TMO,0.5071%
American Tower Corp,AMT,0.5032%
Nike Inc,NKE,0.4972%
Altria Group Inc,MO,0.4965%
Accenture PLC,ACN,0.4899%
Merck & Co Inc,MRK,0.4785%
Gilead Sciences Inc,GILD,0.4769%
Automatic Data Processing Inc,ADP,0.4532%
Stryker Corp,SYK,0.4506%
Union Pacific Corp,UNP,0.4503%
Applied Materials Inc,AMAT,0.4447%
Micron Technology Inc,MU,0.4445%
Bristol-Myers Squibb Co,BMY,0.4433%
CSX Corp,CSX,0.4409%
Activision Blizzard Inc,ATVI,0.4349%
Charter Communications Inc,CHTR,0.4272%
Starbucks Corp,SBUX,0.4269%
Intuitive Surgical Inc,ISRG,0.4211%
S&P Global Inc,SPGI,0.4009%
Cognizant Technology Solutions Corp,CTSH,0.4004%
Lowe's Companies Inc,LOW,0.397%
Lockheed Martin Corp,LMT,0.3927%
Medtronic PLC,MDT,0.3902%
Eli Lilly and Co,LLY,0.3879%
Intuit Inc,INTU,0.3798%
Caterpillar Inc,CAT,0.3752%
Illinois Tool Works Inc,ITW,0.3677%
American Express Co,AXP,0.3537%
Intercontinental Exchange Inc,ICE,0.3524%
Cigna Corp,CI,0.3499%
Marriott International Inc,MAR,0.3378%
Boston Scientific Corp,BSX,0.3369%
Biogen Inc,BIIB,0.3346%
Nextera Energy Inc,NEE,0.3276%
Zoetis Inc,ZTS,0.3264%
Constellation Brands Inc,STZ,0.3263%
Vertex Pharmaceuticals Inc,VRTX,0.3169%
United Parcel Service Inc,UPS,0.3142%
BlackRock Inc,BLK,0.3108%
Electronic Arts Inc,EA,0.3056%
Northrop Grumman Corp,NOC,0.3039%
CME Group Inc,CME,0.2994%
Raytheon Co,RTN,0.2971%
Illumina Inc,ILMN,0.2966%
eBay Inc,EBAY,0.2928%
Prologis Inc,PLD,0.2895%
Progressive Corp,PGR,0.2872%
FedEx Corp,FDX,0.2844%
Equinix Inc,EQIX,0.2833%
Analog Devices Inc,ADI,0.2745%
Waste Management Inc,WM,0.27%
Anthem Inc,ANTM,0.2621%
Lam Research Corp,LRCX,0.2581%
Sherwin-Williams Co,SHW,0.2575%
Estee Lauder Companies Inc,EL,0.2504%
Aetna Inc,AET,0.243%
Red Hat Inc,RHT,0.2423%
Monsanto Co,MON,0.2413%
Fiserv Inc,FISV,0.2395%
Crown Castle International Corp,CCI,0.2383%
Edwards Lifesciences Corp,EW,0.2318%
T. Rowe Price Group Inc,TROW,0.2273%
General Dynamics Corp,GD,0.2263%
Roper Technologies Inc,ROP,0.2261%
Moody's Corp,MCO,0.2258%
Qualcomm Inc,QCOM,0.2189%
Colgate-Palmolive Co,CL,0.2174%
Amphenol Corp,APH,0.2157%
Simon Property Group Inc,SPG,0.2045%
Deere & Co,DE,0.2008%
Aptiv PLC,APTV,0.2001%
TJX Companies Inc,TJX,0.1996%
EOG Resources Inc,EOG,0.1993%
TE Connectivity Ltd,TEL,0.1946%
Corning Inc,GLW,0.1942%
Marsh & McLennan Companies Inc,MMC,0.1938%
Dollar Tree Inc,DLTR,0.1904%
Regeneron Pharmaceuticals Inc,REGN,0.1902%
Praxair Inc,PX,0.1885%
Monster Beverage Corp,MNST,0.1829%
Rockwell Collins Inc,COL,0.1811%
Agilent Technologies Inc,A,0.1778%
Aon PLC,AON,0.1706%
Fidelity National Information Services Inc,FIS,0.1696%
Ross Stores Inc,ROST,0.169%
Microchip Technology Inc,MCHP,0.1666%
Centene Corp,CNC,0.1659%
Baxter International Inc,BAX,0.1647%
Southwest Airlines Co,LUV,0.159%
Cerner Corp,CERN,0.1526%
SBA Communications Corp,SBAC,0.1522%
Norfolk Southern Corp,NSC,0.1518%
NetApp Inc,NTAP,0.1515%
Align Technology Inc,ALGN,0.1506%
Global Payments Inc,GPN,0.1504%
Emerson Electric Co,EMR,0.1476%
Motorola Solutions Inc,MSI,0.1466%
Ecolab Inc,ECL,0.1445%
Public Storage,PSA,0.142%
IDEXX Laboratories Inc,IDXX,0.1415%
Autodesk Inc,ADSK,0.14%
Skyworks Solutions Inc,SWKS,0.1397%
Dominion Energy Inc,D,0.1378%
SVB Financial Group,SIVB,0.1376%
VF Corp,VFC,0.1372%
Ametek Inc,AME,0.1361%
E*TRADE Financial Corp,ETFC,0.1361%
Wynn Resorts Ltd,WYNN,0.135%
KLA-Tencor Corp,KLAC,0.1339%
Allstate Corp,ALL,0.1317%
TransDigm Group Inc,TDG,0.1311%
Kimberly-Clark Corp,KMB,0.1311%
DXC Technology Co,DXC,0.1267%
Waters Corp,WAT,0.1264%
D.R. Horton Inc,DHI,0.1255%
HCA Healthcare Inc,HCA,0.1243%
Cintas Corp,CTAS,0.1229%
Rockwell Automation Inc,ROK,0.1226%
Mettler-Toledo International Inc,MTD,0.1225%
Fortive Corp,FTV,0.1213%
Stanley Black & Decker Inc,SWK,0.1185%
CBRE Group Inc,CBRE,0.1172%
Resmed Inc,RMD,0.1157%
Total System Services Inc,TSS,0.1155%
Nektar Therapeutics,NKTR,0.1151%
MSCI Inc,MSCI,0.114%
ANSYS Inc,ANSS,0.1135%
Ameriprise Financial Inc,AMP,0.1128%
Zimmer Biomet Holdings Inc,ZBH,0.1117%
Alexion Pharmaceuticals Inc,ALXN,0.1101%
Digital Realty Trust Inc,DLR,0.1096%
PPG Industries Inc,PPG,0.1073%
Synopsys Inc,SNPS,0.1072%
Paychex Inc,PAYX,0.1063%
Air Products and Chemicals Inc,APD,0.1059%
