IWD: iShares Russell 1000 Value ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	35545888
Shares Outstanding: 298400000
Expense Ratio: 0.2%
Tracks This Index: Russell 1000 Value Index
ETFdb.com Category: Large Cap Value Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWD


Holding,Symbol,Weighting
JPMorgan Chase & Co,JPM,3.1052%
Berkshire Hathaway Inc,BRK.B,3.0958%
Exxon Mobil Corp,XOM,2.7113%
Bank of America Corp,BAC,2.3557%
Johnson & Johnson,JNJ,2.3489%
Intel Corp,INTC,2.0539%
Chevron Corp,CVX,1.976%
Wells Fargo & Co,WFC,1.9239%
Cisco Systems Inc,CSCO,1.8105%
Pfizer Inc,PFE,1.719%
AT&T Inc,T,1.6426%
Citigroup Inc,C,1.4564%
Procter & Gamble Co,PG,1.4148%
Merck & Co Inc,MRK,1.2351%
Walmart Inc,WMT,1.032%
Oracle Corp,ORCL,1.0161%
Philip Morris International Inc,PM,0.9426%
General Electric Co,GE,0.8479%
Medtronic PLC,MDT,0.8372%
Abbott Laboratories,ABT,0.8148%
Verizon Communications Inc,VZ,0.8128%
Schlumberger NV,SLB,0.7953%
United Technologies Corp,UTX,0.736%
Amgen Inc,AMGN,0.7253%
Goldman Sachs Group Inc,GS,0.6836%
U.S. Bancorp,USB,0.647%
DowDuPont Inc,DWDP,0.6448%
ConocoPhillips,COP,0.6416%
Nextera Energy Inc,NEE,0.6366%
Qualcomm Inc,QCOM,0.6184%
Time Warner Inc,TWX,0.6012%
American Express Co,AXP,0.5851%
PNC Financial Services Group Inc,PNC,0.5689%
CVS Health Corp,CVS,0.559%
Morgan Stanley,MS,0.5494%
BlackRock Inc,BLK,0.5358%
Chubb Ltd,CB,0.5147%
Danaher Corp,DHR,0.5081%
EOG Resources Inc,EOG,0.5072%
Anthem Inc,ANTM,0.4924%
Occidental Petroleum Corp,OXY,0.4888%
Duke Energy Corp,DUK,0.4672%
Mondelez International Inc,MDLZ,0.4535%
Bank of New York Mellon Corp,BK,0.4414%
CME Group Inc,CME,0.441%
Allergan plc,AGN,0.4235%
Valero Energy Corp,VLO,0.4089%
Phillips 66,PSX,0.4037%
Walt Disney Co,DIS,0.3963%
General Motors Co,GM,0.395%
Southern Co,SO,0.3835%
Thermo Fisher Scientific Inc,TMO,0.3821%
Colgate-Palmolive Co,CL,0.3816%
Honeywell International Inc,HON,0.372%
Walgreens Boots Alliance Inc,WBA,0.3697%
Ford Motor Co,F,0.3638%
American International Group Inc,AIG,0.3618%
Bristol-Myers Squibb Co,BMY,0.3588%
Prudential Financial Inc,PRU,0.3569%
Dominion Energy Inc,D,0.3533%
BB&T Corp,BBT,0.347%
Coca-Cola Co,KO,0.3396%
MetLife Inc,MET,0.3396%
Norfolk Southern Corp,NSC,0.3371%
Capital One Financial Corp,COF,0.3353%
Express Scripts Holding Co,ESRX,0.3257%
Target Corp,TGT,0.3226%
Exelon Corp,EXC,0.322%
Aetna Inc,AET,0.3175%
International Business Machines Corp,IBM,0.3133%
Raytheon Co,RTN,0.3072%
Marathon Petroleum Corp,MPC,0.3055%
Emerson Electric Co,EMR,0.3053%
Twenty-First Century Fox Inc,FOXA,0.3015%
Anadarko Petroleum Corp,APC,0.2983%
HP Inc,HPQ,0.2945%
eBay Inc,EBAY,0.2921%
Travelers Companies Inc,TRV,0.2887%
Air Products and Chemicals Inc,APD,0.2877%
Aflac Inc,AFL,0.2851%
Delta Air Lines Inc,DAL,0.2848%
State Street Corp,STT,0.2839%
Prologis Inc,PLD,0.2837%
American Electric Power Company Inc,AEP,0.2834%
Pioneer Natural Resources Co,PXD,0.2768%
Johnson Controls International PLC,JCI,0.2709%
Kraft Heinz Co,KHC,0.2702%
Eaton Corporation PLC,ETN,0.2665%
Baxter International Inc,BAX,0.2648%
SunTrust Banks Inc,STI,0.2605%
Kinder Morgan Inc,KMI,0.255%
General Dynamics Corp,GD,0.2464%
McKesson Corp,MCK,0.2362%
Sempra Energy,SRE,0.2314%
Weyerhaeuser Co,WY,0.2263%
Hewlett Packard Enterprise Co,HPE,0.2227%
Public Service Enterprise Group Inc,PEG,0.216%
HCA Healthcare Inc,HCA,0.2133%
Carnival Corp,CCL,0.2121%
Discover Financial Services,DFS,0.2118%
Synchrony Financial,SYF,0.2112%
M&T Bank Corp,MTB,0.211%
Cash Component,CASH,0.2082%
Gilead Sciences Inc,GILD,0.2055%
Consolidated Edison Inc,ED,0.2049%
Archer Daniels Midland Co,ADM,0.2029%
Allstate Corp,ALL,0.2005%
Zimmer Biomet Holdings Inc,ZBH,0.1972%
Xcel Energy Inc,XEL,0.1961%
PG&E Corp,PCG,0.1948%
Concho Resources Inc,CXO,0.1932%
Fifth Third Bancorp,FITB,0.1897%
AvalonBay Communities Inc,AVB,0.1856%
T. Rowe Price Group Inc,TROW,0.182%
Equity Residential,EQR,0.1817%
Intercontinental Exchange Inc,ICE,0.181%
Northern Trust Corp,NTRS,0.1808%
Andeavor,ANDV,0.1791%
Corning Inc,GLW,0.1788%
Paccar Inc,PCAR,0.1774%
KeyCorp,KEY,0.1758%
Regions Financial Corp,RF,0.1753%
Newmont Mining Corp,NEM,0.1737%
Welltower Inc,WELL,0.17%
Cardinal Health Inc,CAH,0.1693%
WEC Energy Group Inc,WEC,0.1686%
Edison International,EIX,0.1677%
Citizens Financial Group Inc,CFG,0.1673%
PPL Corp,PPL,0.1633%
Mylan NV,MYL,0.163%
Western Digital Corp,WDC,0.1624%
Twitter Inc,TWTR,0.1621%
Nucor Corp,NUE,0.1618%
LyondellBasell Industries NV,LYB,0.16%
Stanley Black & Decker Inc,SWK,0.1595%
Best Buy Co Inc,BBY,0.1579%
Eversource Energy,ES,0.1573%
Tyson Foods Inc,TSN,0.1563%
Devon Energy Corp,DVN,0.1547%
DTE Energy Co,DTE,0.1547%
Ventas Inc,VTR,0.1538%
Hartford Financial Services Group Inc,HIG,0.1536%
Williams Companies Inc,WMB,0.1532%
Royal Caribbean Cruises Ltd,RCL,0.1529%
United Continental Holdings Inc,UAL,0.1516%
PepsiCo Inc,PEP,0.1502%
Willis Towers Watson PLC,WLTW,0.1501%
CenturyLink Inc,CTL,0.1477%
Laboratory Corporation of America Holdings,LH,0.1435%
Centene Corp,CNC,0.1419%
Textron Inc,TXT,0.1373%
Freeport-McMoRan Inc,FCX,0.1362%
Comerica Inc,CMA,0.1361%
Hess Corp,HES,0.1354%
E*TRADE Financial Corp,ETFC,0.1349%
Dollar General Corp,DG,0.1343%
Agilent Technologies Inc,A,0.1339%
Charter Communications Inc,CHTR,0.1338%
Motorola Solutions Inc,MSI,0.1337%
Markel Corp,MKL,0.1331%
Noble Energy Inc,NBL,0.1321%
Boston Properties Inc,BXP,0.1318%
Cummins Inc,CMI,0.13%
Huntington Bancshares Inc,HBAN,0.1299%
Essex Property Trust Inc,ESS,0.1291%
Marathon Oil Corp,MRO,0.1287%
NXP Semiconductors NV,NXPI,0.1276%
American Water Works Company Inc,AWK,0.1274%
Baker Hughes A GE Co,BHGE,0.1267%
FirstEnergy Corp,FE,0.1262%
Principal Financial Group Inc,PFG,0.1259%
Twenty-First Century Fox Inc,FOX,0.1249%
Halliburton Co,HAL,0.1228%
Lincoln National Corp,LNC,0.1228%
Apache Corp,APA,0.1227%
Eastman Chemical Co,EMN,0.1223%
WestRock Co,WRK,0.1219%
National Oilwell Varco Inc,NOV,0.1213%
Republic Services Inc,RSG,0.121%
Entergy Corp,ETR,0.1206%
MGM Resorts International,MGM,0.12%
Realty Income Corp,O,0.1186%
L3 Technologies Inc,LLL,0.1175%
Host Hotels & Resorts Inc,HST,0.1174%
Fidelity National Information Services Inc,FIS,0.1174%
Ameren Corp,AEE,0.1166%
Loews Corp,L,0.1166%
Conagra Brands Inc,CAG,0.114%
Quest Diagnostics Inc,DGX,0.114%
Lennar Corp,LEN,0.1126%
Charles Schwab Corp,SCHW,0.1121%
Ametek Inc,AME,0.1107%
CMS Energy Corp,CMS,0.1093%
Newell Brands Inc,NWL,0.1086%
Harris Corp,HRS,0.1084%
Alexandria Real Estate Equities Inc,ARE,0.1071%
Mohawk Industries Inc,MHK,0.1034%
J M Smucker Co,SJM,0.1032%
Dover Corp,DOV,0.1025%
Micron Technology Inc,MU,0.1017%
