IWF: iShares Russell 1000 Growth ETF
Inception Date: 2000-05-22
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	39938206
Shares Outstanding: 292400000
Expense Ratio: 0.2%
Tracks This Index: Russell 1000 Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWF


Holding,Symbol,Weighting
Apple Inc,AAPL,6.9005%
Microsoft Corp,MSFT,5.3988%
Amazon.com Inc,AMZN,4.8726%
Facebook Inc,FB,3.2046%
Alphabet Inc,GOOG,2.3849%
Alphabet Inc,GOOGL,2.3437%
Visa Inc,V,1.7691%
UnitedHealth Group Inc,UNH,1.7229%
Home Depot Inc,HD,1.6877%
Boeing Co,BA,1.3909%
Mastercard Inc,MA,1.3251%
AbbVie Inc,ABBV,1.2301%
Comcast Corp,CMCSA,1.0344%
NVIDIA Corp,NVDA,1.0107%
Netflix Inc,NFLX,0.9911%
McDonald's Corp,MCD,0.9882%
Coca-Cola Co,KO,0.9306%
PepsiCo Inc,PEP,0.9297%
3M Co,MMM,0.8686%
Adobe Systems Inc,ADBE,0.8417%
Booking Holdings Inc,BKNG,0.8184%
Altria Group Inc,MO,0.8179%
Walt Disney Co,DIS,0.7877%
Texas Instruments Inc,TXN,0.7824%
Verizon Communications Inc,VZ,0.7635%
Union Pacific Corp,UNP,0.7208%
Accenture PLC,ACN,0.7194%
Broadcom Inc,AVGO,0.7134%
Nike Inc,NKE,0.6837%
Costco Wholesale Corp,COST,0.6505%
Salesforce.com Inc,CRM,0.6474%
International Business Machines Corp,IBM,0.6383%
PayPal Holdings Inc,PYPL,0.6249%
Starbucks Corp,SBUX,0.5978%
Eli Lilly and Co,LLY,0.5921%
United Parcel Service Inc,UPS,0.5892%
Caterpillar Inc,CAT,0.5687%
DowDuPont Inc,DWDP,0.5438%
Lowe's Companies Inc,LOW,0.5385%
Lockheed Martin Corp,LMT,0.5237%
Celgene Corp,CELG,0.4988%
Honeywell International Inc,HON,0.4836%
Gilead Sciences Inc,GILD,0.4789%
Becton Dickinson and Co,BDX,0.4685%
FedEx Corp,FDX,0.458%
American Tower Corp,AMT,0.4436%
Stryker Corp,SYK,0.4378%
Monsanto Co,MON,0.4216%
Biogen Inc,BIIB,0.4215%
Automatic Data Processing Inc,ADP,0.42%
Applied Materials Inc,AMAT,0.4092%
TJX Companies Inc,TJX,0.4085%
Charles Schwab Corp,SCHW,0.4034%
Johnson & Johnson,JNJ,0.3924%
Activision Blizzard Inc,ATVI,0.3895%
Northrop Grumman Corp,NOC,0.3823%
Intuitive Surgical Inc,ISRG,0.3813%
S&P Global Inc,SPGI,0.3661%
Cognizant Technology Solutions Corp,CTSH,0.3658%
CSX Corp,CSX,0.3504%
Intuit Inc,INTU,0.3485%
Simon Property Group Inc,SPG,0.345%
Deere & Co,DE,0.3354%
Illinois Tool Works Inc,ITW,0.3353%
Bristol-Myers Squibb Co,BMY,0.3212%
Marriott International Inc,MAR,0.3143%
Marsh & McLennan Companies Inc,MMC,0.3121%
Crown Castle International Corp,CCI,0.3115%
Tesla Inc,TSLA,0.3087%
Boston Scientific Corp,BSX,0.3086%
Zoetis Inc,ZTS,0.303%
Praxair Inc,PX,0.2923%
Micron Technology Inc,MU,0.291%
Vertex Pharmaceuticals Inc,VRTX,0.2889%
Thermo Fisher Scientific Inc,TMO,0.2874%
Humana Inc,HUM,0.2864%
Ecolab Inc,ECL,0.2851%
Constellation Brands Inc,STZ,0.2823%
Cigna Corp,CI,0.2751%
Electronic Arts Inc,EA,0.2734%
Amgen Inc,AMGN,0.2704%
Aon PLC,AON,0.2681%
Illumina Inc,ILMN,0.2676%
Progressive Corp,PGR,0.2625%
Equinix Inc,EQIX,0.2546%
Analog Devices Inc,ADI,0.2521%
Charter Communications Inc,CHTR,0.2495%
Halliburton Co,HAL,0.2366%
Lam Research Corp,LRCX,0.2359%
Public Storage,PSA,0.2338%
Sherwin-Williams Co,SHW,0.2337%
Sysco Corp,SYY,0.2327%
Ross Stores Inc,ROST,0.2323%
Kimberly-Clark Corp,KMB,0.2309%
Cash Component,CASH,0.2248%
Waste Management Inc,WM,0.2237%
Estee Lauder Companies Inc,EL,0.2233%
DXC Technology Co,DXC,0.2218%
Southwest Airlines Co,LUV,0.2217%
Red Hat Inc,RHT,0.2214%
Fiserv Inc,FISV,0.2203%
ServiceNow Inc,NOW,0.2157%
Edwards Lifesciences Corp,EW,0.2121%
Las Vegas Sands Corp,LVS,0.2082%
Yum! Brands Inc,YUM,0.2079%
Moody's Corp,MCO,0.2073%
PPG Industries Inc,PPG,0.1935%
Amphenol Corp,APH,0.193%
Roper Technologies Inc,ROP,0.1923%
ONEOK Inc,OKE,0.186%
Aptiv PLC,APTV,0.1859%
Regeneron Pharmaceuticals Inc,REGN,0.1821%
Worldpay Inc,WP,0.1805%
Raytheon Co,RTN,0.1678%
Monster Beverage Corp,MNST,0.1675%
O'Reilly Automotive Inc,ORLY,0.1672%
General Electric Co,GE,0.1651%
Dr Pepper Snapple Group Inc,DPS,0.1643%
Rockwell Automation Inc,ROK,0.1642%
Rockwell Collins Inc,COL,0.164%
Autodesk Inc,ADSK,0.1632%
Dollar Tree Inc,DLTR,0.1606%
General Dynamics Corp,GD,0.1576%
Align Technology Inc,ALGN,0.1534%
Fortive Corp,FTV,0.1529%
Intercontinental Exchange Inc,ICE,0.1526%
Alexion Pharmaceuticals Inc,ALXN,0.1522%
NXP Semiconductors NV,NXPI,0.1519%
Paychex Inc,PAYX,0.1505%
