IWR: iShares Russell Midcap ETF
Inception Date: 2001-07-17
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	16846828
Shares Outstanding: 82150000
Expense Ratio: 0.2%
Tracks This Index: Russell Midcap Index
ETFdb.com Category: All Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: http://etfdb.com/etf/IWR


Holding,Symbol,Weighting
Zoetis Inc,ZTS,0.5617%
Marathon Petroleum Corp,MPC,0.5257%
Illumina Inc,ILMN,0.5018%
Progressive Corp,PGR,0.4894%
Prologis Inc,PLD,0.4886%
Analog Devices Inc,ADI,0.4692%
Fidelity National Information Services Inc,FIS,0.4638%
SunTrust Banks Inc,STI,0.4488%
Lam Research Corp,LRCX,0.4416%
Ross Stores Inc,ROST,0.4313%
DXC Technology Co,DXC,0.4124%
Red Hat Inc,RHT,0.4122%
Fiserv Inc,FISV,0.4112%
ServiceNow Inc,NOW,0.4034%
Sempra Energy,SRE,0.3999%
Edwards Lifesciences Corp,EW,0.3941%
Weyerhaeuser Co,WY,0.3905%
Moody's Corp,MCO,0.3871%
Roper Technologies Inc,ROP,0.379%
Dollar General Corp,DG,0.375%
T. Rowe Price Group Inc,TROW,0.3731%
Public Service Enterprise Group Inc,PEG,0.3728%
Autodesk Inc,ADSK,0.3725%
VF Corp,VFC,0.3721%
Discover Financial Services,DFS,0.3657%
M&T Bank Corp,MTB,0.3642%
Synchrony Financial,SYF,0.3638%
Amphenol Corp,APH,0.3594%
Consolidated Edison Inc,ED,0.3531%
ONEOK Inc,OKE,0.3459%
Aptiv PLC,APTV,0.3458%
Zimmer Biomet Holdings Inc,ZBH,0.3401%
Xcel Energy Inc,XEL,0.339%
Worldpay Inc,WP,0.335%
Concho Resources Inc,CXO,0.3336%
Cummins Inc,CMI,0.3277%
Western Digital Corp,WDC,0.3263%
Fifth Third Bancorp,FITB,0.3254%
AvalonBay Communities Inc,AVB,0.3219%
Parker-Hannifin Corp,PH,0.3191%
Dollar Tree Inc,DLTR,0.318%
Fortive Corp,FTV,0.3152%
Northern Trust Corp,NTRS,0.313%
Hilton Worldwide Holdings Inc,HLT,0.3129%
O'Reilly Automotive Inc,ORLY,0.3112%
Andeavor,ANDV,0.3108%
Williams Companies Inc,WMB,0.3103%
Rockwell Automation Inc,ROK,0.3084%
Digital Realty Trust Inc,DLR,0.3081%
Rockwell Collins Inc,COL,0.307%
Stanley Black & Decker Inc,SWK,0.3065%
Dr Pepper Snapple Group Inc,DPS,0.3061%
Paccar Inc,PCAR,0.3055%
Agilent Technologies Inc,A,0.3052%
Ingersoll-Rand PLC,IR,0.3049%
KeyCorp,KEY,0.3034%
Regions Financial Corp,RF,0.3009%
Newmont Mining Corp,NEM,0.2999%
Twitter Inc,TWTR,0.297%
International Paper Co,IP,0.296%
Freeport-McMoRan Inc,FCX,0.2935%
Cardinal Health Inc,CAH,0.2931%
Welltower Inc,WELL,0.292%
WEC Energy Group Inc,WEC,0.2919%
Edison International,EIX,0.2903%
Citizens Financial Group Inc,CFG,0.2895%
Devon Energy Corp,DVN,0.2863%
Align Technology Inc,ALGN,0.2846%
PPL Corp,PPL,0.282%
Ameriprise Financial Inc,AMP,0.2814%
Mylan NV,MYL,0.2811%
Paychex Inc,PAYX,0.2805%
Nucor Corp,NUE,0.2795%
Centene Corp,CNC,0.2773%
Microchip Technology Inc,MCHP,0.2769%
Best Buy Co Inc,BBY,0.2722%
Eversource Energy,ES,0.2718%
IHS Markit Ltd,INFO,0.2717%
Tyson Foods Inc,TSN,0.2698%
DTE Energy Co,DTE,0.2696%
Fleetcor Technologies Inc,FLT,0.2688%
Boston Properties Inc,BXP,0.2674%
Ventas Inc,VTR,0.2665%
Hartford Financial Services Group Inc,HIG,0.2661%
Royal Caribbean Cruises Ltd,RCL,0.2644%
American Airlines Group Inc,AAL,0.2623%
United Continental Holdings Inc,UAL,0.2602%
SBA Communications Corp,SBAC,0.2598%
Willis Towers Watson PLC,WLTW,0.2587%
NetApp Inc,NTAP,0.2576%
CenturyLink Inc,CTL,0.254%
Palo Alto Networks Inc,PANW,0.2512%
Motorola Solutions Inc,MSI,0.2508%
Harris Corp,HRS,0.2504%
Laboratory Corporation of America Holdings,LH,0.25%
TD Ameritrade Holding Corp,AMTD,0.2491%
Symantec Corp,SYMC,0.2477%
Workday Inc,WDAY,0.2464%
Autozone Inc,AZO,0.2458%
Omnicom Group Inc,OMC,0.2444%
Global Payments Inc,GPN,0.2436%
Cerner Corp,CERN,0.2395%
IDEXX Laboratories Inc,IDXX,0.2392%
Skyworks Solutions Inc,SWKS,0.2378%
Xilinx Inc,XLNX,0.2375%
Textron Inc,TXT,0.2362%
Comerica Inc,CMA,0.2344%
Hess Corp,HES,0.2337%
E*TRADE Financial Corp,ETFC,0.2326%
SVB Financial Group,SIVB,0.2297%
Noble Energy Inc,NBL,0.2283%
KLA-Tencor Corp,KLAC,0.2281%
Ametek Inc,AME,0.2271%
Citrix Systems Inc,CTXS,0.226%
Essex Property Trust Inc,ESS,0.2249%
Huntington Bancshares Inc,HBAN,0.2234%
Apache Corp,APA,0.2234%
Marathon Oil Corp,MRO,0.223%
MGM Resorts International,MGM,0.2222%
Markel Corp,MKL,0.2209%
TransDigm Group Inc,TDG,0.2208%
Maxim Integrated Products Inc,MXIM,0.2207%
IQVIA Holdings Inc,IQV,0.2201%
Wynn Resorts Ltd,WYNN,0.2198%
American Water Works Company Inc,AWK,0.2194%
Verisk Analytics Inc,VRSK,0.2174%
FirstEnergy Corp,FE,0.2169%
Total System Services Inc,TSS,0.2167%
Principal Financial Group Inc,PFG,0.216%
Baker Hughes A GE Co,BHGE,0.2159%
First Republic Bank,FRC,0.214%
Clorox Co,CLX,0.2138%
Cintas Corp,CTAS,0.2132%
Vulcan Materials Co,VMC,0.2128%
D.R. Horton Inc,DHI,0.2126%
Lincoln National Corp,LNC,0.2119%
Eastman Chemical Co,EMN,0.2111%
AmerisourceBergen Corp,ABC,0.2103%
Entergy Corp,ETR,0.2101%
National Oilwell Varco Inc,NOV,0.2101%
WestRock Co,WRK,0.2095%
Republic Services Inc,RSG,0.2071%
Splunk Inc,SPLK,0.2069%
Celanese Corp,CE,0.2067%
Waters Corp,WAT,0.2066%
Biomarin Pharmaceutical Inc,BMRN,0.2064%
Ulta Beauty Inc,ULTA,0.2059%
Arista Networks Inc,ANET,0.2045%
Realty Income Corp,O,0.2041%
Host Hotels & Resorts Inc,HST,0.2036%
Ameren Corp,AEE,0.2032%
L3 Technologies Inc,LLL,0.203%
Fastenal Co,FAST,0.2027%
W W Grainger Inc,GWW,0.2027%
Mettler-Toledo International Inc,MTD,0.2023%
Dell Technologies Inc,DVMT,0.202%
XL Group Ltd,XL,0.2008%
Loews Corp,L,0.2002%
Expedia Group Inc,EXPE,0.1997%
Quest Diagnostics Inc,DGX,0.1996%
Dover Corp,DOV,0.1978%
ANSYS Inc,ANSS,0.1973%
Kellogg Co,K,0.1972%
Conagra Brands Inc,CAG,0.1962%
CBRE Group Inc,CBRE,0.1954%
Yum China Holdings Inc,YUMC,0.1944%
Lennar Corp,LEN,0.1942%
Resmed Inc,RMD,0.1924%
Equifax Inc,EFX,0.1923%
MSCI Inc,MSCI,0.1921%
Ball Corp,BLL,0.1899%
Mohawk Industries Inc,MHK,0.1884%
Tapestry Inc,TPR,0.1881%
CMS Energy Corp,CMS,0.1869%
CoStar Group Inc,CSGP,0.1867%
Newell Brands Inc,NWL,0.1864%
Alexandria Real Estate Equities Inc,ARE,0.1828%
Synopsys Inc,SNPS,0.182%
Genuine Parts Co,GPC,0.1818%
United Rentals Inc,URI,0.1805%
Lear Corp,LEA,0.1799%
Diamondback Energy Inc,FANG,0.1797%
Brown-Forman Corp,BF.B,0.1792%
Broadridge Financial Solutions Inc,BR,0.179%
J M Smucker Co,SJM,0.1787%
Martin Marietta Materials Inc,MLM,0.1785%
Xylem Inc,XYL,0.1773%
Abiomed Inc,ABMD,0.1767%
McCormick & Company Inc,MKC,0.1764%
Cash Component,CASH,0.1761%
Hershey Co,HSY,0.1755%
Arthur J Gallagher & Co,AJG,0.1753%
Teleflex Inc,TFX,0.1735%
Cheniere Energy Inc,LNG,0.1735%
EQT Corp,EQT,0.1733%
GGP Inc,GGP,0.1719%
Vornado Realty Trust,VNO,0.1716%
Annaly Capital Management Inc,NLY,0.1711%
Henry Schein Inc,HSIC,0.171%
Cboe Global Markets Inc,CBOE,0.1708%
Masco Corp,MAS,0.1692%
TransUnion,TRU,0.1691%
Akamai Technologies Inc,AKAM,0.1684%
Square Inc,SQ,0.1679%
Take-Two Interactive Software Inc,TTWO,0.1667%
PVH Corp,PVH,0.1663%
Ally Financial Inc,ALLY,0.1655%
Dentsply Sirona Inc,XRAY,0.1642%
C.H. Robinson Worldwide Inc,CHRW,0.1641%
Raymond James Financial Inc,RJF,0.164%
Carmax Inc,KMX,0.1635%
Darden Restaurants Inc,DRI,0.1632%
HollyFrontier Corp,HFC,0.1628%
Invesco Ltd,IVZ,0.1624%
Church & Dwight Co Inc,CHD,0.1623%
CDW Corp,CDW,0.1617%
Cadence Design Systems Inc,CDNS,0.1594%
Expeditors International of Washington Inc,EXPD,0.1591%
HCP Inc,HCP,0.1586%
XPO Logistics Inc,XPO,0.1579%
International Flavors & Fragrances Inc,IFF,0.1571%
Kansas City Southern,KSU,0.1569%
Tiffany & Co,TIF,0.1566%
Hologic Inc,HOLX,0.1561%
CenterPoint Energy Inc,CNP,0.1561%
Cabot Oil & Gas Corp,COG,0.1558%
Extra Space Storage Inc,EXR,0.1554%
Cooper Companies Inc,COO,0.1548%
Cincinnati Financial Corp,CINF,0.1543%
Nielsen Holdings PLC,NLSN,0.154%
Zions Bancorp,ZION,0.1539%
Albemarle Corp,ALB,0.1536%
Wyndham Worldwide Corp,WYN,0.1535%
FMC Corp,FMC,0.1528%
Domino's Pizza Inc,DPZ,0.1524%
CA Inc,CA,0.1523%
Whirlpool Corp,WHR,0.1519%
Varian Medical Systems Inc,VAR,0.1519%
Kohls Corp,KSS,0.1512%
Incyte Corp,INCY,0.1512%
NVR Inc,NVR,0.1508%
Molson Coors Brewing Co,TAP,0.1508%
Gartner Inc,IT,0.1506%
Qurate Retail Inc,QRTEA,0.1497%
Huntington Ingalls Industries Inc,HII,0.1491%
Packaging Corp of America,PKG,0.1486%
Viacom Inc,VIAB,0.1483%
Norwegian Cruise Line Holdings Ltd,NCLH,0.1481%
Mid-America Apartment Communities Inc,MAA,0.148%
Chipotle Mexican Grill Inc,CMG,0.1478%
F5 Networks Inc,FFIV,0.147%
Bunge Ltd,BG,0.1465%
Copart Inc,CPRT,0.1465%
BorgWarner Inc,BWA,0.1459%
Steel Dynamics Inc,STLD,0.1456%
Targa Resources Corp,TRGP,0.1447%
Universal Health Services Inc,UHS,0.1446%
Verisign Inc,VRSN,0.1439%
IDEX Corp,IEX,0.1438%
Perrigo Company PLC,PRGO,0.1436%
Nasdaq Inc,NDAQ,0.1431%
J B Hunt Transport Services Inc,JBHT,0.143%
Alliant Energy Corp,LNT,0.1413%
Duke Realty Corp,DRE,0.1403%
Hasbro Inc,HAS,0.1402%
Alcoa Corp,AA,0.1397%
Reinsurance Group of America Inc,RGA,0.1389%
Fidelity National Financial Inc,FNF,0.1384%
East West Bancorp Inc,EWBC,0.1384%
Spirit AeroSystems Holdings Inc,SPR,0.1382%
Alliance Data Systems Corp,ADS,0.1379%
Arch Capital Group Ltd,ACGL,0.1377%
Torchmark Corp,TMK,0.1374%
Lululemon Athletica Inc,LULU,0.1371%
Iron Mountain Inc,IRM,0.1369%
PTC Inc,PTC,0.1368%
Keysight Technologies Inc,KEYS,0.1368%
Macy's Inc,M,0.1366%
UDR Inc,UDR,0.1361%
Mosaic Co,MOS,0.1357%
Hormel Foods Corp,HRL,0.1355%
Michael Kors Holdings Ltd,KORS,0.1353%
Atmos Energy Corp,ATO,0.1348%
Amdocs Ltd,DOX,0.1346%
WellCare Health Plans Inc,WCG,0.134%
Qorvo Inc,QRVO,0.1339%
Lamb Weston Holdings Inc,LW,0.1338%
LKQ Corp,LKQ,0.1337%
SS&C Technologies Holdings Inc,SSNC,0.1337%
Voya Financial Inc,VOYA,0.1328%
DaVita Inc,DVA,0.1322%
ON Semiconductor Corp,ON,0.132%
Cimarex Energy Co,XEC,0.1316%
Advanced Micro Devices Inc,AMD,0.1316%
Everest Re Group Ltd,RE,0.1313%
Avery Dennison Corp,AVY,0.131%
Juniper Networks Inc,JNPR,0.1307%
Burlington Stores Inc,BURL,0.13%
NRG Energy Inc,NRG,0.1299%
Jack Henry & Associates Inc,JKHY,0.1299%
IAC/InterActiveCorp,IAC,0.1299%
CF Industries Holdings Inc,CF,0.1295%
Sirius XM Holdings Inc,SIRI,0.1283%
Interpublic Group of Companies Inc,IPG,0.1279%
Chemours Co,CC,0.1276%
