VB: Vanguard Small Cap ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	21796730
Shares Outstanding: 147465000
Expense Ratio: 0.05%
Tracks This Index: CRSP US Small Cap Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VB


Holding,Symbol,Weighting
TransUnion,TRU,0.3449%
CDW Corp,CDW,0.3313%
Copart Inc,CPRT,0.3083%
IDEX Corp,IEX,0.2912%
Steel Dynamics Inc,STLD,0.2866%
East West Bancorp Inc,EWBC,0.278%
PTC Inc,PTC,0.2779%
Atmos Energy Corp,ATO,0.2753%
Spirit AeroSystems Holdings Inc,SPR,0.2746%
Keysight Technologies Inc,KEYS,0.2743%
SS&C Technologies Holdings Inc,SSNC,0.2731%
ON Semiconductor Corp,ON,0.2697%
WellCare Health Plans Inc,WCG,0.2688%
Leidos Holdings Inc,LDOS,0.2669%
Old Dominion Freight Line Inc,ODFL,0.2663%
Burlington Stores Inc,BURL,0.265%
NRG Energy Inc,NRG,0.2614%
Vail Resorts Inc,MTN,0.2584%
Jack Henry & Associates Inc,JKHY,0.2584%
Chemours Co,CC,0.2518%
A. O. Smith Corp,AOS,0.2516%
bluebird bio Inc,BLUE,0.2473%
GoDaddy Inc,GDDY,0.2427%
Vistra Energy Corp,VST,0.2401%
UGI Corp,UGI,0.2376%
Fortinet Inc,FTNT,0.2361%
STERIS plc,STE,0.2285%
PerkinElmer Inc,PKI,0.2265%
Tyler Technologies Inc,TYL,0.2253%
GrubHub Inc,GRUB,0.2249%
Veeva Systems Inc,VEEV,0.2237%
American Financial Group Inc,AFG,0.2228%
HEICO Corp,HEI,0.2205%
Orbital ATK Inc,OA,0.2204%
Microsemi Corp,MSCC,0.2178%
Westar Energy Inc,WR,0.2167%
Lennox International Inc,LII,0.2143%
Graco Inc,GGG,0.2135%
Marketaxess Holdings Inc,MKTX,0.2077%
US Foods Holding Corp,USFD,0.2075%
Parsley Energy Inc,PE,0.2063%
Servicemaster Global Holdings Inc,SERV,0.2049%
Neurocrine Biosciences Inc,NBIX,0.2036%
Equity LifeStyle Properties Inc,ELS,0.2036%
Allegion PLC,ALLE,0.2032%
Ultimate Software Group Inc,ULTI,0.2028%
Sun Communities Inc,SUI,0.2023%
Kilroy Realty Corp,KRC,0.2022%
Zebra Technologies Corp,ZBRA,0.2017%
Middleby Corp,MIDD,0.2011%
Berry Global Group Inc,BERY,0.2007%
KAR Auction Services Inc,KAR,0.2001%
Pinnacle Foods Inc,PF,0.2001%
Gaming and Leisure Properties Inc,GLPI,0.1992%
Great Plains Energy Inc,GXP,0.1986%
WPX Energy Inc,WPX,0.1978%
WEX Inc,WEX,0.1963%
Caesars Entertainment Corp,CZR,0.1963%
Nektar Therapeutics,NKTR,0.1962%
WP Carey Inc,WPC,0.1948%
HD Supply Holdings Inc,HDS,0.1945%
Teradyne Inc,TER,0.1922%
Signature Bank,SBNY,0.1918%
PacWest Bancorp,PACW,0.1908%
Nordson Corp,NDSN,0.1893%
BWX Technologies Inc,BWXT,0.189%
Carlisle Companies Inc,CSL,0.1879%
Cullen/Frost Bankers Inc,CFR,0.1869%
Herbalife Nutrition Ltd,HLF,0.1856%
DexCom Inc,DXCM,0.1849%
RPM International Inc,RPM,0.1836%
Guidewire Software Inc,GWRE,0.1833%
Apartment Investment and Management Co,AIV,0.1828%
SAGE Therapeutics Inc,SAGE,0.1824%
Diamondback Energy Inc,FANG,0.1814%
West Pharmaceutical Services Inc,WST,0.1807%
RSP Permian Inc,RSPP,0.1806%
Brown & Brown Inc,BRO,0.1805%
Service Corporation International,SCI,0.1803%
Broadridge Financial Solutions Inc,BR,0.1801%
Abiomed Inc,ABMD,0.1798%
Aspen Technology Inc,AZPN,0.1797%
Energen Corp,EGN,0.179%
Gentex Corp,GNTX,0.1786%
Aqua America Inc,WTR,0.1782%
JetBlue Airways Corp,JBLU,0.1774%
Liberty Property Trust,LPT,0.1759%
DCT Industrial Trust Inc,DCT,0.1755%
Teleflex Inc,TFX,0.175%
Exelixis Inc,EXEL,0.174%
Commerce Bancshares Inc,CBSH,0.1738%
Douglas Emmett Inc,DEI,0.1735%
Eaton Vance Corp,EV,0.1734%
Exact Sciences Corp,EXAS,0.1727%
Proofpoint Inc,PFPT,0.1711%
First Horizon National Corp,FHN,0.171%
Liberty Media Corp,FWONK,0.1709%
Teledyne Technologies Inc,TDY,0.1704%
AveXis Inc,AVXS,0.17%
Huntsman Corp,HUN,0.1699%
Synovus Financial Corp,SNV,0.1693%
New Residential Investment Corp,NRZ,0.1692%
Hexcel Corp,HXL,0.169%
National Retail Properties Inc,NNN,0.1686%
Toro Co,TTC,0.1683%
Vectren Corp,VVC,0.1672%
Toll Brothers Inc,TOL,0.1662%
Encompass Health Corp,EHC,0.1653%
Aptargroup Inc,ATR,0.1653%
MKS Instruments Inc,MKSI,0.1652%
Donaldson Company Inc,DCI,0.1648%
Royal Gold Inc,RGLD,0.1646%
EPAM Systems Inc,EPAM,0.1642%
HollyFrontier Corp,HFC,0.164%
Bank of the Ozarks,OZRK,0.1636%
Janus Henderson Group PLC,0RPW,0.1626%
Hill-Rom Holdings Inc,HRC,0.1618%
United States Steel Corp,X,0.1614%
Lamar Advertising Co,LAMR,0.1613%
Western Alliance Bancorp,WAL,0.1601%
Webster Financial Corp,WBS,0.1597%
XPO Logistics Inc,XPO,0.1595%
Dunkin' Brands Group Inc,DNKN,0.1594%
Newfield Exploration Co,NFX,0.1592%
Bright Horizons Family Solutions Inc,BFAM,0.1592%
H & R Block Inc,HRB,0.159%
Bio-Techne Corp,TECH,0.1588%
Zillow Group Inc,Z,0.1568%
Tableau Software Inc,DATA,0.1567%
Nutanix Inc,NTNX,0.1565%
AECOM,ACM,0.1565%
MDU Resources Group Inc,MDU,0.1565%
Catalent Inc,CTLT,0.1556%
Core Laboratories NV,CLB,0.1548%
CommScope Holding Company Inc,COMM,0.1544%
Live Nation Entertainment Inc,LYV,0.1541%
Booz Allen Hamilton Holding Corp,BAH,0.1538%
American Campus Communities Inc,ACC,0.1538%
First American Financial Corp,FAF,0.1537%
Leggett & Platt Inc,LEG,0.1533%
CubeSmart,CUBE,0.1531%
First Solar Inc,FSLR,0.1527%
Ionis Pharmaceuticals Inc,IONS,0.1526%
Domino's Pizza Inc,DPZ,0.152%
Packaging Corp of America,PKG,0.1516%
Oshkosh Corp,OSK,0.1513%
Thor Industries Inc,THO,0.1511%
Omega Healthcare Investors Inc,OHI,0.1504%
Bio Rad Laboratories Inc,BIO,0.1503%
CyrusOne Inc,CONE,0.1501%
Knight-Swift Transportation Holdings Inc,KNX,0.1501%
Pool Corp,POOL,0.15%
Lincoln Electric Holdings Inc,LECO,0.1492%
Transocean Ltd,RIG,0.149%
Brunswick Corp,BC,0.1489%
Sterling Bancorp,STL,0.1485%
Littelfuse Inc,LFUS,0.148%
LPL Financial Holdings Inc,LPLA,0.1479%
Park Hotels & Resorts Inc,PK,0.1477%
Hudson Pacific Properties Inc,HPP,0.1476%
Targa Resources Corp,TRGP,0.1476%
Foot Locker Inc,FL,0.1475%
Umpqua Holdings Corp,UMPQ,0.1473%
Starwood Property Trust Inc,STWD,0.1471%
Renaissancere Holdings Ltd,RNR,0.147%
Olin Corp,OLN,0.1466%
Insulet Corp,PODD,0.1459%
Healthcare Trust Of America Inc,HTA,0.1457%
Sonoco Products Co,SON,0.1456%
Wintrust Financial Corp,WTFC,0.1448%
Quanta Services Inc,PWR,0.1447%
Validus Holdings Ltd,VR,0.1447%
Watsco Inc,WSO,0.1445%
athenahealth Inc,ATHN,0.1442%
Howard Hughes Corp,HHC,0.1438%
Zendesk Inc,ZEN,0.1438%
Curtiss-Wright Corp,CW,0.1437%
Chemed Corp,CHE,0.1434%
Interactive Brokers Group Inc,IBKR,0.1433%
Old Republic International Corp,ORI,0.143%
Cavium Inc,CAVM,0.1423%
Grand Canyon Education Inc,LOPE,0.1418%
Charles River Laboratories International Inc,CRL,0.1417%
IAC/InterActiveCorp,IAC,0.1414%
Teradata Corp,TDC,0.1413%
Paycom Software Inc,PAYC,0.1412%
SLM Corp,SLM,0.1408%
Alcoa Corp,AA,0.1407%
American Homes 4 Rent,AMH,0.1401%
Genpact Ltd,G,0.1397%
Murphy Oil Corp,MUR,0.1396%
Fair Isaac Corp,FICO,0.139%
Texas Capital Bancshares Inc,TCBI,0.1387%
Rayonier Inc,RYN,0.1383%
Patterson-UTI Energy Inc,PTEN,0.1382%
Sarepta Therapeutics Inc,SRPT,0.1379%
Forest City Realty Trust Inc,FCE.A,0.1376%
Prosperity Bancshares Inc,PB,0.1373%
Hanover Insurance Group Inc,THG,0.1371%
National Instruments Corp,NATI,0.1368%
Sabre Corp,SABR,0.1367%
Post Holdings Inc,POST,0.1359%
Popular Inc,BPOP,0.1358%
Carter's Inc,CRI,0.1356%
Rollins Inc,ROL,0.1352%
Cypress Semiconductor Corp,CY,0.1351%
Pinnacle Financial Partners Inc,PNFP,0.1344%
Blackbaud Inc,BLKB,0.1343%
Medical Properties Trust Inc,MPW,0.134%
Arris International PLC,ARRS,0.1339%
Trinity Industries Inc,TRN,0.1338%
Avnet Inc,AVT,0.1337%
Idacorp Inc,IDA,0.1335%
Assurant Inc,AIZ,0.1334%
Kirby Corp,KEX,0.1327%
Eagle Materials Inc,EXP,0.1323%
Entegris Inc,ENTG,0.1322%
W. R. Grace & Co,GRA,0.1321%
