VWO: Vanguard FTSE Emerging Markets ETF
Inception Date: 2005-03-10
Fund Holdings as of: 2018-05-02
Total Assets Under Management (in thousands):	66601919
Shares Outstanding: 1465390000
Expense Ratio: 0.14%
Tracks This Index: FTSE Emerging Index
ETFdb.com Category: Emerging Markets Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VWO


Holding,Symbol,Weighting
Tencent Holdings Ltd,700,4.9488%
Taiwan Semiconductor Manufacturing Co Ltd,TSM,3.2347%
Alibaba Group Holding Ltd,BABA,2.6497%
Naspers Ltd,NPN,1.8192%
China Construction Bank Corp,939,1.668%
Industrial and Commercial Bank of China Ltd,1398,1.2786%
Baidu Inc,BIDU,0.951%
China Mobile Ltd,941,0.8887%
Ping An Insurance Group Co of China Ltd,2318,0.8576%
Housing Development Finance Corporation Ltd,HDFC,0.8164%
Reliance Industries Ltd,RIL,0.8016%
Vale SA,VALE,0.7898%
Bank of China Ltd,3988,0.7704%
Itau Unibanco Holding SA,ITUB,0.7464%
Hon Hai Precision Industry Co Ltd,2317,0.7382%
Sberbank Rossii PAO,SBER,0.7032%
Infosys Ltd,INFO,0.6084%
Petroleo Brasileiro SA Petrobras,PBR,0.5762%
State Bank of India,SBID,0.5644%
NK Lukoil PAO,LKOD,0.5432%
Ambev SA,ABEV3,0.5135%
CNOOC Ltd,883,0.5012%
Banco Bradesco SA,BBD,0.4885%
America Movil SAB de CV,AMXL,0.4678%
China Petroleum & Chemical Corp,386,0.4299%
Tata Consultancy Services Ltd,TCS,0.4227%
JD.com Inc,JD,0.3836%
Standard Bank Group Ltd,SBK,0.3795%
Petroleo Brasileiro SA Petrobras,PBR.A,0.3566%
China Life Insurance Co Ltd,2628,0.3429%
Sasol Ltd,SOL,0.3408%
Fomento Economico Mexicano SAB de CV,FEMSAUBD,0.3407%
Gazprom PAO,OGZD,0.3396%
Public Bank Bhd,PBBANK,0.3348%
MTN Group Ltd,MTN,0.3191%
Formosa Plastics Corp,1301,0.3109%
FirstRand Ltd,FSR,0.3003%
Agricultural Bank of China Ltd,1288,0.2986%
Novolipetsk Steel PAO,NLMK,0.2954%
Bank Central Asia Tbk PT,BBCA,0.2794%
Tenaga Nasional Bhd,TENAGA,0.2784%
Malayan Banking Bhd,MAYBANK,0.2766%
CP All PCL,CPALL,0.2766%
Country Garden Holdings Co Ltd,2007,0.2751%
Nan Ya Plastics Corp,1303,0.2748%
Credicorp Ltd,BAP,0.2747%
Grupo Financiero Banorte SAB de CV,GFNORTEO,0.2697%
Maruti Suzuki India Ltd,MSIL,0.2691%
Hindustan Unilever Ltd,HUVR,0.2617%
China Merchants Bank Co Ltd,3968,0.2598%
NetEase Inc,NTES,0.2572%
PetroChina Co Ltd,857,0.2549%
Axis Bank Ltd,AXSB,0.2545%
Chunghwa Telecom Co Ltd,CHT,0.2544%
PTT PCL,PTT-F,0.2515%
Itausa Investimentos Itau SA,ITSA4,0.2491%
MediaTek Inc,2454,0.2438%
B3 SA Brasil Bolsa Balcao,B3SA3,0.2433%
Wal Mart de Mexico SAB de CV,WALMEX*,0.2429%
Geely Automobile Holdings Ltd,175,0.2421%
Yageo Corp,2327,0.2413%
Cathay Financial Holding Co Ltd,2882,0.2365%
Telekomunikasi Indonesia (Persero) Tbk Perusahaan Perseroan PT,TLKM,0.2342%
Novatek PAO,NVTK,0.232%
Siam Cement PCL,SCC-R,0.2263%
CTBC Financial Holding Co Ltd,2891,0.2259%
CSPC Pharmaceutical Group Ltd,1093,0.2248%
Banco do Brasil SA,BBAS3,0.2226%
China Overseas Land & Investment Ltd,688,0.2222%
ITC Ltd,ITC,0.22%
PTT PCL,PTT,0.2166%
Ctrip.Com International Ltd,CTRP,0.215%
Bank Rakyat Indonesia (Persero) Tbk PT,BBRI,0.2148%
Sunny Optical Technology Group Co Ltd,2382,0.2099%
Fubon Financial Holding Co Ltd,2881,0.2079%
Uni-President Enterprises Corp,1216,0.2077%
Formosa Chemicals & Fibre Corp,1326,0.2035%
CIMB Group Holdings Bhd,CIMB,0.2003%
Sunac China Holdings Ltd,1918,0.1957%
Astra International Tbk PT,ASII,0.1881%
Sanlam Ltd,SLM,0.1877%
OTP Bank Nyrt,OTP,0.1856%
Siam Commercial Bank PCL,SCB,0.1845%
Grupo Mexico SAB de CV,GMEXICOB,0.1827%
China Pacific Insurance Group Co Ltd,2601,0.1824%
China Evergrande Group,3333,0.1803%
Powszechna Kasa Oszczednosci Bank Polski SA,PKO,0.1762%
New Oriental Education & Technology Group Inc,EDU,0.1727%
Qatar National Bank QPSC,QNBK,0.17%
Cemex SAB de CV,CEMEXCPO,0.1686%
Bank Mandiri (Persero) Tbk PT,BMRI,0.1683%
TAL Education Group,TAL,0.1679%
China Resources Land Ltd,1109,0.1677%
Yes Bank Ltd,YESBANK,0.1673%
Kasikornbank PCL,KBANK-F,0.1658%
Barclays Africa Group Ltd,BGA,0.1655%
China Steel Corp,2002,0.1655%
Mega Financial Holding Co Ltd,2886,0.1644%
Tatneft' PAO,ATAD,0.1605%
First Abu Dhabi Bank PJSC,FAB,0.1595%
Delta Electronics Inc,2308,0.1591%
Sino Biopharmaceutical Ltd,1177,0.1583%
Remgro Ltd,REM,0.1557%
PICC Property and Casualty Co Ltd,2328,0.1552%
Grupo Televisa SAB,TLEVISACPO,0.1545%
China Unicom Hong Kong Ltd,762,0.1538%
Shoprite Holdings Ltd,SHP,0.1534%
Sun Pharmaceutical Industries Ltd,SUNP,0.1519%
Advanced Info Service PCL,ADVANC,0.1516%
Airports of Thailand PCL,AOT,0.1507%
SM Investments Corp,SM,0.1501%
ASE Industrial Holding Co Ltd,ASX.WI,0.1447%
Aspen Pharmacare Holdings Ltd,APN,0.1438%
Hengan International Group Company Ltd,1044,0.1436%
United Microelectronics Corp,UMC,0.1422%
Oil and Natural Gas Corporation Ltd,ONGC,0.1417%
SINA Corp,SINA,0.1407%
GMK Noril'skiy Nikel' PAO,MNOD,0.1404%
Bharti Airtel Ltd,BHARTI,0.1388%
HCL Technologies Ltd,HCLT,0.138%
Mahindra and Mahindra Ltd,MM,0.1379%
Emirates Telecommunications Group Co PJSC,ETISALAT,0.1368%
Polski Koncern Naftowy Orlen SA,PKN,0.1357%
CITIC Ltd,267,0.1322%
Bid Corporation Ltd,BID,0.1321%
Bidvest Group Ltd,BVT,0.1319%
Magnit PAO,MGNT,0.1305%
Ultrapar Participacoes SA,UGPA3,0.13%
Taiwan Cooperative Financial Holding Co Ltd,5880,0.1286%
58.com Inc,WUBA,0.1285%
Mr Price Group Ltd,MRP,0.128%
PTT Exploration and Production PCL,PTTEP,0.1273%
Ping An Insurance Group Co of China Ltd,601318,0.127%
ANTA Sports Products Ltd,2020,0.1269%
Central Pattana PCL,CPN,0.1267%
NK Rosneft' PAO,ROSN,0.1266%
China Telecom Corp Ltd,728,0.1265%
Hua Nan Financial Holdings Co Ltd,2880,0.126%
Vedanta Ltd,SSLT,0.1259%
Vodacom Group Ltd,VOD,0.1254%
Sociedad Quimica y Minera de Chile SA,SQM,0.1232%
Taiwan Mobile Co Ltd,3045,0.1227%
Catcher Technology Co Ltd,2474,0.1227%
Vipshop Holdings Ltd,VIPS,0.1206%
China Shenhua Energy Co Ltd,1088,0.1205%
Shenzhou International Group Holdings Ltd,2313,0.1201%
Lojas Renner SA,LREN3,0.1192%
Bancolombia SA,BCOLOMBIA,0.1189%
Empresas Copec SA,COPEC,0.1182%
E.SUN Financial Holding Co Ltd,2884,0.1152%
Kweichow Moutai Co Ltd,600519,0.1152%
Tsingtao Brewery Co Ltd,168,0.1146%
Powszechny Zaklad Ubezpieczen SA,PZU,0.1143%
Larsen & Toubro Ltd,LT,0.1132%
First Financial Holding Co Ltd,2892,0.113%
China Merchants Bank Co Ltd,600036,0.1122%
Indiabulls Housing Finance Ltd,IBULHSGFIN,0.1121%
Commercial International Bank Egypt SAE,COMI,0.1107%
Eicher Motors Ltd,EIM,0.1103%
President Chain Store Corp,2912,0.1085%
PTT Global Chemical PCL,PTTGC,0.1083%
Growthpoint Properties Ltd,GRT,0.1082%
Enel Americas SA,ENIA,0.1076%
SACI Falabella,FALABELLA,0.1076%
Bangkok Dusit Medical Services PCL,BDMS,0.1071%
Cielo SA,CIEL3,0.1067%
Far Eastern New Century Corp,1402,0.1053%
Kroton Educacional SA,KROT3,0.105%
Suzano Papel e Celulose SA,SUZB3,0.1049%
Tata Motors Ltd,TTMT,0.1041%
Beigene Ltd,BGNE,0.1034%
Bharat Petroleum Corporation Ltd,BPCL,0.1032%
PETRONAS Chemicals Group Bhd,PCHEM,0.1032%
Asustek Computer Inc,2357,0.1028%
China Gas Holdings Ltd,384,0.1027%
ENN Energy Holdings Ltd,2688,0.1027%
Guangdong Investment Ltd,270,0.1026%
China Conch Venture Holdings Ltd,586,0.1015%
Anhui Conch Cement Co Ltd,914,0.1013%
Axiata Group Bhd,AXIATA,0.0997%
Sinopac Financial Holdings Co Ltd,2890,0.0985%
SM Prime Holdings Inc,SMPH,0.0983%
Hero MotoCorp Ltd,HEROMOTOCO,0.0965%
Emaar Properties PJSC,EMAAR,0.0948%
Asian Paints Ltd,APNT,0.0947%
Lojas Americanas SA,LAME4,0.0945%
Coal India Ltd,COAL,0.0944%
China Resources Beer Holdings Co Ltd,291,0.0939%
China Development Financial Holding Corp,2883,0.0936%
Fosun International Ltd,656,0.0934%
Ayala Land Inc,ALI,0.0932%
Bank Polska Kasa Opieki SA,PEO,0.0924%
Grasim Industries Ltd,GRASIM,0.0923%
Indian Oil Corpn Ltd,IOCL,0.0922%
Banco Santander Brasil SA,SANB11,0.0912%
Yuanta Financial Holdings Co Ltd,2885,0.0911%
Taishin Financial Holding Co Ltd,2887,0.0908%
Tiger Brands Ltd,TBS,0.0904%
Taiwan Cement Corp,1101,0.0903%
JSW Steel Ltd,JSWSTEEL,0.0899%
BDO Unibank Inc,BDO,0.0897%
SINOPHARM GROUP CO LTD,1099,0.0893%
Ecopetrol SA,EC,0.0889%
LATAM Airlines Group SA,LTM,0.0888%
Formosa Petrochemical Corp,6505,0.0884%
China Taiping Insurance Holdings Co Ltd,966,0.0884%
Chang Hwa Commercial Bank Ltd,2801,0.0882%
Genting Bhd,GENTING,0.088%
Telefonica Brasil SA,VIV,0.0875%
Zee Entertainment Enterprises Ltd,Z,0.0875%
Sime Darby Plantation Bhd,SIMEPLT,0.0873%
Banco Santander-Chile,BSAC,0.0873%
UltraTech Cement Ltd,UTCEM,0.0872%
Turkiye Garanti Bankasi AS,GARAN,0.0869%
Woolworths Holdings Ltd,WHL,0.0861%
Far EasTone Telecommunications Co Ltd,4904,0.086%
Redefine Properties Ltd,RDF,0.0858%
Fibria Celulose SA,FBR,0.0858%
Nedbank Group Ltd,NED,0.0857%
WIN Semiconductors Corp,3105,0.0855%
MOL Plc,MOL,0.0854%
BB Seguridade Participacoes SA,BBSE3,0.0849%
Klabin SA,KLBN11,0.0847%
China Resources Power Holdings Co Ltd,836,0.0844%
Transneft' PAO,TRNFP,0.0843%
China Minsheng Banking Corp Ltd,600016,0.0841%
Lenovo Group Ltd,992,0.0841%
Industries Qatar QSC,IQCD,0.0831%
Fibra Uno Administracion SA de CV,FUNO11,0.0831%
Gerdau SA,GGB,0.0827%
Bajaj Finance Ltd,BAJFINANCE,0.0819%
Longfor Properties Co Ltd,960,0.0818%
Raia Drogasil SA,RADL3,0.0816%
China Resources Gas Group Ltd,1193,0.0809%
China Medical System Holdings Ltd,867,0.0809%
China First Capital Group Ltd,1269,0.0806%
Embraer SA,ERJ,0.0803%
Titan Company Ltd,TTAN,0.08%
Chailease Holding Co Ltd,5871,0.0799%
Guangzhou Automobile Group Co Ltd,2238,0.0795%
CITIC Securities Co Ltd,6030,0.0793%
NTPC Ltd,NTPC,0.0789%
Minor International PCL,MINT,0.0788%
Discovery Ltd,DSY,0.0787%
Pegatron Corp,4938,0.0785%
Brilliance China Automotive Holdings Ltd,1114,0.0783%
