IDENT,NAME,MGR,INFOS,SICOVAM,TYPE,LIMITE_PERTE,ENTITE,MARKET,QUOTATION,HEDGEFUND,CURRENCY,BUSINESS_LINE_ID,MARKED_AS_CLOSED
1,ROOT,,,67425467,4,,10000260,,,,0,,0
4386,AUD/CAD,4412,,67473656,4,0,10000579,,,,0,,0
4387,AUD/NZD,4412,,67473657,4,0,0,,,,0,,0
4388,AUD/USD,4412,,67421617,4,0,10000579,,,,0,,0
4389,EUR/CHF,4412,,67349856,4,0,10000579,,,,0,,0
4390,EUR/GBP,4412,,67350716,4,0,10000579,,,,0,,0
4391,EUR/JPY,4412,,67349859,4,0,0,,,,0,,0
4392,EUR/USD,4412,,67344950,4,0,10000579,,,,0,,0
4393,GBP/JPY,4412,,67355833,4,0,10000579,,,,0,,0
4394,NOK/SEK,4412,,67473658,4,0,10000579,,,,0,,0
4395,NZD/USD,4412,,67473659,4,0,10000579,,,,0,,0
4396,NZD/CAD,4412,,67473660,4,0,10000579,,,,0,,0
4397,USD/CAD,4412,,67415832,4,0,10000579,,,,0,,0
4398,USD/CHF,4412,,67472494,4,0,10000579,,,,0,,0
4399,USD/INR,4412,,67416969,4,0,10000579,,,,0,,0
4400,USD/JPY,4412,,67355002,4,0,10000579,,,,0,,0
4401,USD/KRW,4412,,67417078,4,0,10000579,,,,0,,0
4402,USD/SGD,4412,,67360930,4,0,10000579,,,,0,,0
4403,USD/ZAR,4412,,67473661,4,0,10000579,,,,0,,0
4406,GOG,1,,67425467,4,0,10000579,,,,0,,0
4407,CASH,4406,,67425467,4,0,10000579,,,,0,,0
4408,TRADING,4406,,67425467,4,0,10000579,,,,0,,0
4409,Volatility Trading,4408,,67425464,4,0,10000579,,,,55923524,,0
4410,NPAL CB Trading,4408,,67425467,4,0,10000579,,,,0,,0
4411,Macro Trading,4408,,67425467,4,0,10000579,,,,0,,0
4412,FX Trading,4408,,67425467,4,0,10000579,,,,0,,0
4414,Credit Trading,4408,,67425467,4,0,10000579,,,,0,,0
4415,NPAL Management,4408,,67425467,4,0,10000579,,,,0,,0
4484,USD/MXN,4412,,67481682,4,0,10000579,,,,0,,0
4485,USD/RUB,4412,,67481683,4,0,10000579,,,,0,,0
4486,USD/THB,4412,,67455074,4,0,10000579,,,,0,,0
4487,USD/TRY,4412,,67472496,4,0,10000579,,,,0,,0
4488,GBP/USD,4412,,67350312,4,0,10000579,,,,0,,0
4625,USD/HKD,4412,,67345666,4,0,10000579,,,,0,,0
4626,USD/TWD,4412,,67359894,4,0,10000579,,,,0,,0
4643,HK-GOG MT,4411,,67425467,4,0,10000579,,,,0,,0
4664,sguy,11976,,67425490,4,0,10000579,,,,55923524,,0
