_name,GOG Delta Cash no-beta,GOG Cash Gamma (USD),Vega curr. global,Theta curr. global,GOG IR01 (USD),GOG CR01 (USD),GOG PV10% Risky,GOG VoD0 (USD),GOG RR01 (USD),Issuer,Number of securities,Asset Value curr. global,Strike,Underlying Spot,Delta,Delta Cash,FX Rate,GOG FX,FX Delta,TYPESICO,Notional (bonds),Notional (swaps),Clearing ID,Contract size,Instrument type,GOG Instrument Name,Epsilon curr. global,Weighted Vega,Beta,GOG CB Premium (USD),Delta curr. global,Delta long,Delta short,Vega long,Vega short,REF:RIC,GOG_IT Portfolio/Position Code,SMOBook,Allotment,Currency,Nominal,GOG MARK (DLY),Underlying Currency,Instrument code,Folio Path (SLOW!!)
USD/ZAR,,,,-57.16,,,,,,,"-320,984.23",,,,1.00,,0.07,14.23,,,0.00,0.00,,1.00,Forex,USD/ZAR,,,,,,,,,,,"194,594.00",ACBHG003,FX,ZAR,,14.22,,67473661,/1/11455/11457/11458/17455/18498/17975
USD/CHF,,,,0.82,,,,,,,"-6,743.53",,,,1.00,,1.01,0.99,,,0.00,0.00,,1.00,Forex,USD/CHF,,,,,,,,,,,"194,597.00",ACBHG003,FX,CHF,,0.99,,67472494,/1/11455/11457/11458/17455/18498/17975
HKD/CNY,,,,-31.99,,,,,,,"567,981.02",,,,1.00,,0.14,6.94,,,0.00,0.00,,1.00,Forex,HKD/CNY,,,,,,,,,,,-412.00,ACBHG003,FX,CNY,,0.89,,67417618,/1/11455/11457/11458/17455/18495/17756/20139
INR/USD,,,,-22.56,,,,,,,"10,469,060.38",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,INR/USD,,,,,,,,,,,-384.00,ACBHG003,FX,USD,,0.02,,67418032,/1/11455/11457/11458/17455/18357
USD/JPY,,,,-249.06,,,,,,,"2,500,000.00",,,,1.00,,0.01,112.55,,,0.00,0.00,,1.00,Forex,USD/JPY,,,,,,,,,,,"164,073.00",ACBHG003,FX,JPY,,105.15,,67355002,/1/11455/11457/11458/17455/18496/17577
USD/JPY,,,,-598.05,,,,,,,"6,003,104.42",,,,1.00,,0.01,112.55,,,0.00,0.00,,1.00,Forex,USD/JPY,,,,,,,,,,,"166,862.00",ACBHG003,FX,JPY,,105.15,,67355002,/1/11455/11457/11458/17455/18496/19521
USD/JPY,,,,-199.25,,,,,,,"2,000,000.00",,,,1.00,,0.01,112.55,,,0.00,0.00,,1.00,Forex,USD/JPY,,,,,,,,,,,"165,795.00",ACBHG003,FX,JPY,,105.15,,67355002,/1/11455/11457/11458/17455/18496/18155
KRW/USD,,,,7.23,,,,,,,"233,373,085.63",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,KRW/USD,,,,,,,,,,,-392.00,ACBHG003,FX,USD,,0.00,,67417109,/1/11455/11457/11458/17455/18517
KRW/USD,,,,-176.60,,,,,,,"-5,698,069,341.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,KRW/USD,,,,,,,,,,,"163,597.00",ACBHG003,FX,USD,,0.00,,67417109,/1/11455/11457/11458/17455/18517
USD versus KRW 2017/02/13 NDF,,,,5.97,0.00,,,,,,"-170,004.37","1,455.36",,,1.00,,0.00,"1,133.68",,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus KRW 2017/02/13 NDF,,,,,,,,,,,"166,217.00",ACBHG003,NDF,KRW,,"1,133.79",,69310795,/1/11455/11457/11458/17455/18517
USD versus KRW 2017/04/13 NDF,,,,-0.27,0.00,,,,,,"7,611.23",-62.14,,,1.00,,0.00,"1,133.68",,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus KRW 2017/04/13 NDF,,,,,,,,,,,"168,562.00",ACBHG003,NDF,KRW,,"1,133.79",,69333698,/1/11455/11457/11458/17455/18517
USD versus KRW 2017/05/08 NDF,,,,2.50,0.00,,,,,,"-71,106.39",-194.03,,,1.00,,0.00,"1,133.68",,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus KRW 2017/05/08 NDF,,,,,,,,,,,"171,787.00",ACBHG003,NDF,KRW,,"1,133.79",,69360479,/1/11455/11457/11458/17455/18517
USD versus KRW 2017/06/30 NDF,,,,-3.08,0.00,,,,,,"87,588.68",934.29,,,1.00,,0.00,"1,133.68",,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus KRW 2017/06/30 NDF,,,,,,,,,,,"177,838.00",ACBHG003,NDF,KRW,,"1,133.79",,69420715,/1/11455/11457/11458/17455/18517
USD versus KRW 2017/07/12 NDF,,,,-1.92,0.00,,,,,,"54,613.44",-19.56,,,1.00,,0.00,"1,133.68",,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus KRW 2017/07/12 NDF,,,,,,,,,,,"179,268.00",ACBHG003,NDF,KRW,,"1,133.79",,69435857,/1/11455/11457/11458/17455/18517
KRW/USD,,,,-1.91,,,,,,,"-61,746,514.00",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,KRW/USD,,,,,,,,,,,"176,780.00",ACBHG003,FX,USD,,0.00,,67417109,/1/11455/11457/11458/17455/18517/20596
USD versus INR 2016/11/15 NDF,,,,4.17,0.00,,,,,,"26,315.99","2,534.49",,,1.00,,0.01,73.54,,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus INR 2016/11/15 NDF,,,,,,,,,,,"160,656.00",ACBHG003,NDF,INR,,73.50,,69160017,/1/11455/11457/11458/17455/18517/18595
USD versus INR 2017/01/17 NDF,,,,-13.14,0.00,,,,,,"-82,933.22","-7,532.95",,,1.00,,0.01,73.54,,,0.00,0.00,,1.00,Non Deliverable Forward Forex,USD versus INR 2017/01/17 NDF,,,,,,,,,,,"163,167.00",ACBHG003,NDF,INR,,73.50,,69277888,/1/11455/11457/11458/17455/18517/18595
THB/USD,,,,0.05,,,,,,,"-99,999.98",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,THB/USD,,,,,,,,,,,-413.00,ACBHG003,FX,USD,,0.03,,67455073,/1/11455/11457/11458/17455/17937
KRW/USD,,,,-0.17,,,,,,,"-5,532,935.10",,,,1.00,,1.00,1.00,,,0.00,0.00,,1.00,Forex,KRW/USD,,,,,,,,,,,-408.00,ACBHG003,FX,USD,,0.00,,67417109,/1/11455/11457/11458/17455/17937
